Rank,Site,Manufacturer,Computer,Country,Year,Cores,RMax,RPeak,Nmax,Nhalf,Power,Processor Family,Processor,Proc. Frequency,Processor Cores,System Family,System Model,Operating System,Accelerator,Architecture,Segment,Application Area,Interconnect Family,Interconnect,Region,Continent
311,Kyushu University,Fujitsu,"PRIMERGY RX200 S6, Xeon X5670 2.93 GHz, Infiniband QDR",Japan,2011,4704,50190,55130,1435392,0,0,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),2930,6,Fujitsu Cluster,PRIMERGY RX200 S6,Linux,None,Cluster,Academic,Research,Infiniband,Infiniband QDR,Eastern Asia,Asia
312,IT Services Provider (D),Hewlett-Packard,"Cluster Platform 3000 BL460c G6, Xeon X5550 2.66 GHz, GigE",United States,2011,8900,49734.3,94696,0,0,0,Intel EM64T,Intel EM64T Xeon X55xx (Nehalem-EP),2660,4,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c G6,Linux,None,Cluster,Industry,Not Specified,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
313,Lockheed Martin,IBM,"BladeCenter HS22 Cluster, Xeon QC X55xx 2.26 GHz, Infiniband",United States,2010,6032,49647.8,54529.3,0,0,167.87,Intel EM64T,Intel EM64T Xeon L55xx (Nehalem-EP),2260,4,IBM BladeCenter,"BladeCenter HS22 Cluster, NH Xeon quad core",Linux,None,Cluster,Industry,Not Specified,Infiniband,Infiniband,North America,Americas
314,Bureau of Meteorology / CSIRO HPCCC,Oracle,"Sun Blade x6048, Xeon X5570 2.93 Ghz, Infiniband QDR",Australia,2010,4600,49590,53912,1127280,0,220,Intel EM64T,Intel EM64T Xeon X55xx (Nehalem-EP),2930,4,Sun Blade System,Sun Blade 6048,CentOS,None,Cluster,Research,Not Specified,Infiniband,Infiniband,Australia and New Zealand,Oceania
315,University of Zuerich,Oracle,"Sun Blade x6275, Xeon X55xx 2.8 Ghz, Infiniband QDR",Switzerland,2009,4600,49590,51520,1127280,0,218,Intel EM64T,Intel EM64T Xeon X55xx (Nehalem-EP),2800,4,Sun Blade System,Sun Blade x6275,SUSE Linux Enterprise Server 10,None,Cluster,Academic,Research,Infiniband,Infiniband,Western Europe,Europe
316,Information Service,IBM,"BladeCenter HS22 Cluster, Xeon QC E5xx 2.53 GHz, GigEthernet",France,2011,8752,49510,88570.2,0,0,276.7,Intel EM64T,Intel EM64T Xeon E55xx (Nehalem-EP),2530,4,IBM BladeCenter,"BladeCenter HS22 Cluster, NH Xeon quad core",Linux,None,Cluster,Industry,Information Service,Gigabit Ethernet,Gigabit Ethernet,Western Europe,Europe
317,Government,IBM,"BladeCenter HS22 Cluster, Xeon X56xx 2.53 GHz, GigEthernet",Russia,2011,8772,49430.4,88772.6,0,0,223.74,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),2530,6,IBM BladeCenter,"BladeCenter HS22 Cluster, WM Xeon 6-core",Linux,None,Cluster,Government,Not Specified,Gigabit Ethernet,Gigabit Ethernet,Eastern Europe,Europe
318,IT Service Provider,Hewlett-Packard,"Cluster Platform 3000 BL460c G6, Xeon E5670 2.93 GHz, GigE",United States,2011,7962,49183.9,93314.6,0,0,0,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),2930,6,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c G6,Linux,None,Cluster,Industry,Logistic Services,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
319,IT Service Provider,Hewlett-Packard,"Cluster Platform 3000 BL460c G6, Xeon E5670 2.93 GHz, GigE",United States,2011,7962,49183.9,93314.6,0,0,0,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),2930,6,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c G6,Linux,None,Cluster,Industry,Logistic Services,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
320,IT Service Provider,Hewlett-Packard,"Cluster Platform 3000 BL460c G6, Xeon E5670 2.93 GHz, GigE",United States,2011,7962,49183.9,93314.6,0,0,0,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),2930,6,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c G6,Linux,None,Cluster,Industry,Logistic Services,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
321,Internet Service,IBM,"xSeries x3650M2 Cluster, Xeon QC E55xx 2.53 Ghz, GigE",China,2011,8672,49057,87761,0,0,253.77,Intel EM64T,Intel EM64T Xeon E55xx (Nehalem-EP),2530,4,IBM xSeries,xSeries x3650M2 Cluster Xeon QC,Linux,None,Cluster,Industry,Information Service,Gigabit Ethernet,Gigabit Ethernet,Eastern Asia,Asia
322,Internet Service,IBM,"xSeries x3650M2 Cluster, Xeon QC E55xx 2.53 Ghz, GigE",China,2011,8672,49057,87761,0,0,253.77,Intel EM64T,Intel EM64T Xeon E55xx (Nehalem-EP),2530,4,IBM xSeries,xSeries x3650M2 Cluster Xeon QC,Linux,None,Cluster,Industry,Information Service,Gigabit Ethernet,Gigabit Ethernet,Eastern Asia,Asia
323,Internet Service,IBM,"xSeries x3650M2 Cluster, Xeon QC E55xx 2.53 Ghz, GigE",China,2011,8672,49057,87761,0,0,253.77,Intel EM64T,Intel EM64T Xeon E55xx (Nehalem-EP),2530,4,IBM xSeries,xSeries x3650M2 Cluster Xeon QC,Linux,None,Cluster,Industry,Information Service,Gigabit Ethernet,Gigabit Ethernet,Eastern Asia,Asia
324,Internet Service,IBM,"xSeries x3650M2 Cluster, Xeon QC E55xx 2.53 Ghz, GigE",China,2011,8672,49057,87761,0,0,253.77,Intel EM64T,Intel EM64T Xeon E55xx (Nehalem-EP),2530,4,IBM xSeries,xSeries x3650M2 Cluster Xeon QC,Linux,None,Cluster,Industry,Internet Provider,Gigabit Ethernet,Gigabit Ethernet,Eastern Asia,Asia
325,SciNet/University of Toronto,IBM,"Power 575, p6 4.7 GHz, Infiniband",Canada,2008,3328,48932.7,62566.4,0,0,531.88,Power,POWER6,4700,2,IBM pSeries,pSeries 575,AIX,None,MPP,Research,Not Specified,Infiniband,Infiniband,North America,Americas
326,Web Company (F),Hewlett-Packard,"HP DL180 Cluster G6, Xeon E5540 2.53 GHz, GigE",United States,2011,9216,48924.3,93265.9,0,0,0,Intel EM64T,Intel EM64T Xeon E55xx (Nehalem-EP),2530,4,HP Cluster Platform 3000,HP DL180 Cluster G6,Linux,None,Cluster,Industry,WWW,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
327,Web Company (F),Hewlett-Packard,"HP DL180 Cluster G6, Xeon E5540 2.53 GHz, GigE",United States,2011,9216,48924.3,93265.9,0,0,0,Intel EM64T,Intel EM64T Xeon E55xx (Nehalem-EP),2530,4,HP Cluster Platform 3000,HP DL180 Cluster G6,Linux,None,Cluster,Industry,WWW,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
328,Electronics,IBM,"BladeCenter HS22 Cluster, WM Xeon 6-core 2.66Ghz, Infiniband",United States,2011,5136,48614,54647,0,0,137.21,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),2660,6,IBM BladeCenter,"BladeCenter HS22 Cluster, WM Xeon 6-core",Linux,None,Cluster,Industry,Electronics,Infiniband,Infiniband,North America,Americas
329,Electronics,IBM,"BladeCenter HS22 Cluster, WM Xeon 6-core 2.66Ghz, Infiniband",United States,2011,5136,48614,54647,0,0,137.21,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),2660,6,IBM BladeCenter,"BladeCenter HS22 Cluster, WM Xeon 6-core",Linux,None,Cluster,Industry,Electronics,Infiniband,Infiniband,North America,Americas
