Rank,Site,Manufacturer,Computer,Country,Year,Cores,RMax,RPeak,Nmax,Nhalf,Power,Processor Family,Processor,Proc. Frequency,Processor Cores,System Family,System Model,Operating System,Accelerator,Architecture,Segment,Application Area,Interconnect Family,Interconnect,Region,Continent
366,Service Provider,IBM,"xSeries x3550M3, Xeon X56xx 2.53 GHz, GigE",China,2011,8208,46252,83065,0,0,248.98,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),2530,6,IBM xSeries,xSeries x3550M3 Cluster,Linux,None,Cluster,Industry,Service,Gigabit Ethernet,Gigabit Ethernet,Eastern Asia,Asia
367,Service Provider,IBM,"xSeries x3550M3, Xeon X56xx 2.53 GHz, GigE",China,2011,8208,46252,83065,0,0,248.98,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),2530,6,IBM xSeries,xSeries x3550M3 Cluster,Linux,None,Cluster,Industry,Service,Gigabit Ethernet,Gigabit Ethernet,Eastern Asia,Asia
368,IT Services Provider (D),Hewlett-Packard,"Cluster Platform 3000 BL460c G6, Xeon X5670 2.93 GHz, GigE",United States,2011,7458,46158.6,87407.8,0,0,0,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),2930,6,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c G6,Linux,None,Cluster,Industry,Not Specified,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
369,Arrow Enterprise Computing Solutions,Hewlett-Packard,Cluster Platform 4000 BL465c G7,United States,2011,10020,46112.5,88176,0,0,0,AMD x86_64,AMD x86_64 Opteron 12 Core,2200,12,HP Cluster Platform 4000BL,Cluster Platform 4000 BL465c G7,Linux,None,Cluster,Industry,Not Specified,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
370,Los Alamos National Laboratory,SGI,"SGI Altix XE 1300 Cluster Solutions, 2.66GHZ, Infiniband",United States,2010,4896,46081.7,52093.4,0,0,0,Intel EM64T,Intel EM64T Xeon 53xx (Clovertown),2667,4,SGI Altix,SGI Altix XE 1300,SLES10 + SGI ProPack 5,None,MPP,Research,Not Specified,Infiniband,Infiniband DDR,North America,Americas
371,Distribution,IBM,"xSeries x3550 Cluster, QC HT Xeon 2.66 GHz, Infiniband",United States,2010,6624,46040,70638.3,0,0,384.19,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),2666,4,IBM xSeries,xSeries x3550 Cluster Xeon quad core HT,Linux,None,Cluster,Industry,Database,Infiniband,Infiniband,North America,Americas
372,HPC2N - Umea University,IBM,"BladeCenter HS21 Cluster, Xeon QC HT 2.5 GHz, IB, Windows HPC 2008/CentOS",Sweden,2008,5376,46040,53760,1113600,150000,173.21,Intel EM64T,Intel EM64T Xeon L54xx (Harpertown),2500,4,IBM BladeCenter,"BladeCenter HS21 Cluster, HT Xeon quad core",Windows HPC 2008,None,Cluster,Academic,Not Specified,Infiniband,Infiniband,Northern Europe,Europe
373,IT Provider (P),Hewlett-Packard,"HP DL160 Cluster G6, Xeon X5650 2.66 GHz, GigE",United States,2011,8208,45988,87333,0,0,0,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),2660,6,HP Cluster Platform 3000,HP DL160 Cluster G6,Linux,None,Cluster,Industry,Information Service,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
374,IT Service Provider,Hewlett-Packard,"Cluster Platform 3000 BL460c G6, Xeon E5650 2.66 GHz, GigE",United States,2010,8196,45923.1,87205.4,0,0,0,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),2660,6,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c G6,Linux,None,Cluster,Industry,Logistic Services,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
375,Semiconductor Company (P),Hewlett-Packard,"Cluster Platform 3000 BL460c, Xeon 54xx 3.0GHz, GigEthernet",United States,2011,7248,45819.7,86976,0,0,0,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),3000,4,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c,Linux,None,Cluster,Industry,Finance,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
376,Semiconductor Company (P),Hewlett-Packard,"Cluster Platform 3000 BL460c, Xeon 54xx 3.0GHz, GigEthernet",United States,2011,7248,45819.7,86976,0,0,0,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),3000,4,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c,Linux,None,Cluster,Industry,Finance,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
377,Communications,IBM,"xSeries x3650M2 Cluster Xeon QC GT 2.66 GHz, GigEthernet",France,2011,8088,45754.1,86250.4,0,0,354.86,Intel EM64T,Intel EM64T Xeon X55xx (Nehalem-EP),2660,4,IBM xSeries,xSeries x3650 Cluster Xeon quad core,Linux,None,Cluster,Industry,Telecomm,Gigabit Ethernet,Gigabit Ethernet,Western Europe,Europe
378,Communications,IBM,"xSeries x3650M2 Cluster Xeon QC GT 2.66 GHz, GigEthernet",France,2011,8088,45754.1,86250.4,0,0,354.86,Intel EM64T,Intel EM64T Xeon X55xx (Nehalem-EP),2660,4,IBM xSeries,xSeries x3650 Cluster Xeon quad core,Linux,None,Cluster,Industry,Telecomm,Gigabit Ethernet,Gigabit Ethernet,Western Europe,Europe
379,Ohio Supercomputer Center,IBM,"xSeries x3455 Cluster Opteron, DC 2.6 GHz/QC 2.5 GHz, Infiniband",United States,2009,9304,45730,73072,1200000,0,637,AMD x86_64,AMD x86_64 Opteron Quad Core,2500,4,IBM xSeries,xSeries x3455 Cluster Opteron,Linux,None,Cluster,Academic,Not Specified,Infiniband,Infiniband,North America,Americas
380,IT Service Provider,Hewlett-Packard,"Cluster Platform 3000 BL460c G6, Xeon X5570 2.93 GHz, GigE",United States,2010,7384,45713.5,86540,0,0,0,Intel EM64T,Intel EM64T Xeon X55xx (Nehalem-EP),2930,4,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c G6,Linux,None,Cluster,Industry,Logistic Services,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
381,Information Services,Hewlett-Packard,"Cluster Platform 3000 BL460c G6, Xeon X5570 2.93 GHz, GigE",United States,2010,7384,45713.5,86540,0,0,0,Intel EM64T,Intel EM64T Xeon X55xx (Nehalem-EP),2930,4,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c G6,Linux,None,Cluster,Industry,Information Service,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
382,DOE/SC/LBNL/NERSC,IBM,"iDataPlex, Xeon X55xx QC 2.66 GHz, Infiniband",United States,2010,4960,45701.9,52893.4,0,0,160.27,Intel EM64T,Intel EM64T Xeon X55xx (Nehalem-EP),2660,4,IBM iDataPlex,xSeries iDataPlex,Linux,None,Cluster,Research,Not Specified,Infiniband,Infiniband,North America,Americas
383,Government,IBM,"BladeCenter HS22 Cluster, Xeon QC X55xx 2.53 GHz, GigEthernet",United States,2010,7952,45617.3,80474.2,0,0,251.41,Intel EM64T,Intel EM64T Xeon E55xx (Nehalem-EP),2530,4,IBM BladeCenter,"BladeCenter HS22 Cluster, NH Xeon quad core",Linux,None,Cluster,Government,Not Specified,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
384,IT Service Provider,Hewlett-Packard,"Cluster Platform 3000 BL460c G7, Xeon X5650 2.66 Ghz, GigE",United States,2011,8124,45532,86439.4,0,0,0,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),2660,6,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c G7,Linux,None,Cluster,Industry,Logistic Services,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
385,Telecommunications,IBM,"BladeCenter HS22 Cluster, Xeon QC GT 2.53 GHz, GigEthernet",Italy,2010,8048,45527.5,81445.8,0,0,254.44,Intel EM64T,Intel EM64T Xeon E55xx (Nehalem-EP),2530,4,IBM BladeCenter,"BladeCenter HS22 Cluster, NH Xeon quad core",Linux,None,Cluster,Industry,Not Specified,Gigabit Ethernet,Gigabit Ethernet,Southern Europe,Europe
386,Government,IBM,"xSeries x3650M3, Xeon X56xx 2.53 GHz, GigE",Russia,2011,8076,45508.6,81729.1,0,0,244.97,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),2530,6,IBM xSeries,xSeries x3650M3 Cluster,Linux,None,Cluster,Government,Not Specified,Gigabit Ethernet,Gigabit Ethernet,Eastern Europe,Europe
387,IT Service Provider (D),Hewlett-Packard,"Cluster Platform 3000 BL460c G6, Xeon E5540 2.53 GHz, GigE",United States,2010,8520,45349.5,86222.4,0,0,0,Intel EM64T,Intel EM64T Xeon E55xx (Nehalem-EP),2530,4,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c G6,Linux,None,Cluster,Industry,Information Service,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
388,Hewlett-Packard,Hewlett-Packard,"HP ProLiant SL390s G7 Xeon X5650, Nvidia M2070, Infiniband QDR",United States,2011,1352,45316.2,86979.4,0,0,0,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),2660,6,HP Cluster Platform 3000SL,Cluster Platform SL390s G7,Linux,NVIDIA 2070,Cluster,Vendor,Not Specified,Infiniband,Infiniband QDR,North America,Americas
389,Actebis Peacock GmbH,Hewlett-Packard,"Cluster Platform 3000 BL460c G6, Xeon L5640 2.26 GHz, 10G",Germany,2011,6372,45085.4,57602.9,0,0,0,Intel EM64T,Intel EM64T Xeon L56xx (Westmere-EP),2260,6,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c G6,Linux,None,Cluster,Industry,Service,Gigabit Ethernet,10G Ethernet,Western Europe,Europe
390,Actebis Peacock GmbH,Hewlett-Packard,"Cluster Platform 3000 BL460c G6, Xeon L5640 2.26 GHz, 10G",Germany,2011,6372,45085.4,57602.9,0,0,0,Intel EM64T,Intel EM64T Xeon L56xx (Westmere-EP),2260,6,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c G6,Linux,None,Cluster,Industry,Service,Gigabit Ethernet,10G Ethernet,Western Europe,Europe
391,Actebis Peacock GmbH,Hewlett-Packard,"Cluster Platform 3000 BL460c G6, Xeon L5640 2.26 GHz, 10G",Germany,2011,6372,45085.4,57602.9,0,0,0,Intel EM64T,Intel EM64T Xeon L56xx (Westmere-EP),2260,6,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c G6,Linux,None,Cluster,Industry,Service,Gigabit Ethernet,10G Ethernet,Western Europe,Europe
392,Hosting Services,Hewlett-Packard,"Cluster Platform 3000 BL460c G1, Xeon L5410 2.33 GHz, GigE",United States,2009,9216,45056.8,85893.1,0,0,0,Intel EM64T,Intel EM64T Xeon L54xx (Harpertown),2333,4,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c G1,Linux,None,Cluster,Industry,Not Specified,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
393,Network Company (B),IBM,"xSeries x3650M2 Cluster Xeon QC GT 2.66 GHz, GigEthernet",United States,2011,7952,44984,84609,0,0,348.89,Intel EM64T,Intel EM64T Xeon X55xx (Nehalem-EP),2660,4,IBM xSeries,xSeries x3650 Cluster Xeon quad core,Linux,None,Cluster,Industry,Not Specified,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
394,Logistic Services (C),Hewlett-Packard,"Cluster Platform 3000 BL460c G6, Xeon E5540 2.53 GHz, GigE",United States,2010,8444,44958,85453.3,0,0,0,Intel EM64T,Intel EM64T Xeon E55xx (Nehalem-EP),2530,4,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c G6,Linux,None,Cluster,Industry,Logistic Services,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
395,Geoscience,IBM,"iDataPlex DX360M3, Xeon 2.8, Infiniband",United States,2011,4536,44835,50803,0,0,106.31,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),2800,6,IBM iDataPlex,iDataPlex DX360M3,Linux,None,Cluster,Industry,Geophysics,Infiniband,Infiniband QDR,North America,Americas
396,Geoscience,IBM,"iDataPlex DX360M3, Xeon 2.8, Infiniband",United States,2011,4536,44835,50803,0,0,106.31,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),2800,6,IBM iDataPlex,iDataPlex DX360M3,Linux,None,Cluster,Industry,Geophysics,Infiniband,Infiniband QDR,North America,Americas
397,Government,IBM,"BladeCenter HS22 Cluster, Xeon QC GT 2.53 GHz, Infiniband",Russia,2010,4864,44817.3,49223.7,0,0,174.15,Intel EM64T,Intel EM64T Xeon E55xx (Nehalem-EP),2530,4,IBM BladeCenter,"BladeCenter HS22 Cluster, NH Xeon quad core",Linux,None,Cluster,Government,Not Specified,Infiniband,Infiniband,Eastern Europe,Europe
398,Engineering Company,IBM,"xSeries x3650M3, Xeon X56xx 2.93 GHz, Infiniband",United States,2011,4332,44806,50771,0,0,163.89,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),2930,6,IBM xSeries,xSeries x3650M3 Cluster,Linux,None,Cluster,Industry,Service,Infiniband,Infiniband,North America,Americas
399,Web Company (F),Hewlett-Packard,"HP DL180 Cluster G6, Xeon E5540 2.53 GHz, GigE",United States,2011,8400,44731.2,85008,0,0,0,Intel EM64T,Intel EM64T Xeon E55xx (Nehalem-EP),2530,4,HP Cluster Platform 3000,HP DL180 Cluster G6,Linux,None,Cluster,Industry,WWW,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
400,Government,IBM,"BladeCenter HS22 Cluster, Xeon QC GT 2.53 GHz, GigEthernet",United States,2010,7896,44667.6,79907.5,0,0,249.64,Intel EM64T,Intel EM64T Xeon E55xx (Nehalem-EP),2530,4,IBM BladeCenter,"BladeCenter HS22 Cluster, NH Xeon quad core",Linux,None,Cluster,Government,Not Specified,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
401,Banking,IBM,"BladeCenter HS22 Cluster, Xeon X56xx 2.53 GHz, GigEthernet",Russia,2011,7920,44629.4,80150.4,0,0,202,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),2530,6,IBM BladeCenter,"BladeCenter HS22 Cluster, WM Xeon 6-core",Linux,None,Cluster,Industry,Finance,Gigabit Ethernet,Gigabit Ethernet,Eastern Europe,Europe
402,Banking,IBM,"BladeCenter HS22 Cluster, Xeon X56xx 2.53 GHz, GigEthernet",Russia,2011,7920,44629.4,80150.4,0,0,202,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),2530,6,IBM BladeCenter,"BladeCenter HS22 Cluster, WM Xeon 6-core",Linux,None,Cluster,Industry,Finance,Gigabit Ethernet,Gigabit Ethernet,Eastern Europe,Europe
403,IT Service Provider,Hewlett-Packard,"Cluster Platform 3000 BL460c G6, Xeon E5520 2.26 GHz, GigE",United States,2010,9400,44544.4,84976,0,0,0,Intel EM64T,Intel EM64T Xeon E55xx (Nehalem-EP),2267,4,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c G6,Linux,None,Cluster,Industry,Logistic Services,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
404,Financial Institution (P),IBM,"BladeCenter HS22 Cluster, Xeon QC GT 2.53 GHz, GigEthernet",United Kingdom,2010,7872,44531.9,79664.6,0,0,248.88,Intel EM64T,Intel EM64T Xeon E55xx (Nehalem-EP),2530,4,IBM BladeCenter,"BladeCenter HS22 Cluster, NH Xeon quad core",Linux,None,Cluster,Industry,Not Specified,Gigabit Ethernet,Gigabit Ethernet,Northern Europe,Europe
405,Financial Institution (P),IBM,"BladeCenter HS22 Cluster, Xeon QC GT 2.53 GHz, GigEthernet",United Kingdom,2010,7872,44531.9,79664.6,0,0,248.88,Intel EM64T,Intel EM64T Xeon E55xx (Nehalem-EP),2530,4,IBM BladeCenter,"BladeCenter HS22 Cluster, NH Xeon quad core",Linux,None,Cluster,Industry,Not Specified,Gigabit Ethernet,Gigabit Ethernet,Northern Europe,Europe
406,Forschungszentrum Juelich (FZJ),IBM,"QPACE SFB TR Cluster, PowerXCell 8i, 3.2 GHz, 3D-Torus",Germany,2009,4608,44500,55705.6,487551,0,57.54,Power,PowerXCell 8i,3200,9,IBM Cluster,QPACE Cluster PowerXCell 8i,Linux,IBM PowerXCell 8i,Cluster,Research,Not Specified,Custom,Custom,Western Europe,Europe
407,Universitaet Regensburg,IBM,"QPACE SFB TR Cluster, PowerXCell 8i, 3.2 GHz, 3D-Torus",Germany,2009,4608,44500,55705.6,487551,0,57.54,Power,PowerXCell 8i,3200,9,IBM Cluster,QPACE Cluster PowerXCell 8i,Linux,IBM PowerXCell 8i,Cluster,Academic,Not Specified,Custom,Custom,Western Europe,Europe
408,Universitaet Wuppertal,IBM,"QPACE SFB TR Cluster, PowerXCell 8i, 3.2 GHz, 3D-Torus",Germany,2009,4608,44500,55705.6,487551,0,57.54,Power,PowerXCell 8i,3200,9,IBM Cluster,QPACE Cluster PowerXCell 8i,Linux,IBM PowerXCell 8i,Cluster,Academic,Not Specified,Custom,Custom,Western Europe,Europe
409,IT Services Provider (D),Hewlett-Packard,"Cluster Platform 3000 BL460c G6, Xeon X5570 2.93 GHz, GigE",United States,2011,7132,44195.5,83587,0,0,0,Intel EM64T,Intel EM64T Xeon X55xx (Nehalem-EP),2930,4,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c G6,Linux,None,Cluster,Industry,Information Service,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
410,Telecommunication Company,IBM,"BladeCenter HS22 Cluster, Xeon QC GT 2.53 GHz, GigEthernet",China,2010,7752,43853,78450.2,0,0,245.09,Intel EM64T,Intel EM64T Xeon E55xx (Nehalem-EP),2530,4,IBM BladeCenter,"BladeCenter HS22 Cluster, NH Xeon quad core",Linux,None,Cluster,Industry,Telecomm,Gigabit Ethernet,Gigabit Ethernet,Eastern Asia,Asia
411,Telecommunication Company,IBM,"BladeCenter HS22 Cluster, Xeon QC GT 2.53 GHz, GigEthernet",China,2010,7752,43853,78450.2,0,0,245.09,Intel EM64T,Intel EM64T Xeon E55xx (Nehalem-EP),2530,4,IBM BladeCenter,"BladeCenter HS22 Cluster, NH Xeon quad core",Linux,None,Cluster,Industry,Telecomm,Gigabit Ethernet,Gigabit Ethernet,Eastern Asia,Asia
412,Electronics,IBM,"xSeries x3550M2 Cluster Xeon QC GT 2.26 GHz, Infiniband",United States,2010,5320,43787.5,48241.8,0,0,233.42,Intel EM64T,Intel EM64T Xeon E55xx (Nehalem-EP),2267,4,IBM xSeries,xSeries x3550 Cluster Xeon quad core GT,Linux,None,Cluster,Industry,Electronics,Infiniband,Infiniband,North America,Americas
413,Web Content Provider,Hewlett-Packard,"HP DL160 Cluster G6, Xeon X5650 2.66 GHz, GigE",United States,2011,7800,43770,82992,0,0,0,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),2660,6,HP Cluster Platform 3000,HP DL160 Cluster G6,Linux,None,Cluster,Industry,WWW,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
414,Financial Services (H),Hewlett-Packard,"Cluster Platform 3000 BL460c G1, Xeon L5420 2.5 GHz, GigE",United States,2009,8312,43752.4,83120,0,0,0,Intel EM64T,Intel EM64T Xeon L54xx (Harpertown),2500,4,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c G1,Linux,None,Cluster,Industry,Finance,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
415,Bank (J),IBM,"xSeries x3650M3, Xeon X56xx 2.93 GHz, GigE",United Kingdom,2011,7728,43547.5,90572.2,0,0,246.01,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),2930,6,IBM xSeries,xSeries x3650M3 Cluster,Linux,None,Cluster,Industry,Finance,Gigabit Ethernet,Gigabit Ethernet,Northern Europe,Europe
416,Bank (J),IBM,"xSeries x3650M3, Xeon X56xx 2.93 GHz, GigE",United Kingdom,2011,7728,43547.5,90572.2,0,0,246.01,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),2930,6,IBM xSeries,xSeries x3650M3 Cluster,Linux,None,Cluster,Industry,Finance,Gigabit Ethernet,Gigabit Ethernet,Northern Europe,Europe
417,Actebis Peacock GmbH,Hewlett-Packard,"Cluster Platform 3000 BL460c G6, Xeon L5640 2.26 GHz, 10G",Germany,2010,6144,43510.5,55541.8,0,0,0,Intel EM64T,Intel EM64T Xeon L56xx (Westmere-EP),2260,6,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c G6,Linux,None,Cluster,Industry,Service,Gigabit Ethernet,10G Ethernet,Western Europe,Europe
418,Actebis Peacock GmbH,Hewlett-Packard,"Cluster Platform 3000 BL460c G6, Xeon L5640 2.26 GHz, 10G",Germany,2010,6144,43510.5,55541.8,0,0,0,Intel EM64T,Intel EM64T Xeon L56xx (Westmere-EP),2260,6,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c G6,Linux,None,Cluster,Industry,Service,Gigabit Ethernet,10G Ethernet,Western Europe,Europe
419,Arrow Enterprise Computing Solutions,Hewlett-Packard,"Cluster Platform 3000 BL460c G7, Xeon X5670 2.93 Ghz, GigE",United States,2011,7008,43447.4,82133.8,0,0,0,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),2930,6,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c G7,Linux,None,Cluster,Industry,Not Specified,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
420,System Integrator (A),Hewlett-Packard,"HP ProLiant SL390s G7 Xeon 4C X5677, GigE",Taiwan,2011,5904,43404.4,81711.4,0,0,0,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),3470,6,HP Cluster Platform 3000SL,Cluster Platform SL390s G7,Linux,None,Cluster,Industry,Not Specified,Gigabit Ethernet,Gigabit Ethernet,Eastern Asia,Asia
421,Financial Service Provider,Hewlett-Packard,"Cluster Platform SL170z, Xeon X5650 2.66 Ghz, Infiniband",United States,2011,5184,43370.1,55157.8,0,0,0,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),2660,6,HP Cluster Platform 3000SL,Cluster Platform SL170z,Linux,None,Cluster,Industry,Finance,Infiniband,Infiniband QDR,North America,Americas
422,IT Services Provider (B),Hewlett-Packard,"Cluster Platform 3000 BL460c, Xeon 54xx 3.0GHz, GigEthernet",Canada,2010,6820,43322.8,81840,0,0,0,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),3000,4,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c,Linux,None,Cluster,Industry,Not Specified,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
423,National Fusion Research Institute,Hewlett-Packard,"HP BL685cG7, Opteron 12C, 2.2GHz, Infiniband","Korea, South",2011,6912,43233,60825,1268064,0,0,AMD x86_64,AMD x86_64 Opteron 12 Core,2200,12,HP Blade Cluster,HP BL-685cG7 Blade System,Linux,None,Cluster,Research,Not Specified,Infiniband,Infiniband,Eastern Asia,Asia
424,Web Company (C),Hewlett-Packard,"Cluster Platform 4000 BL685c G7, Opteron 8C 2.4 Ghz, GigE",China,2011,8560,43214.7,82176,0,0,0,AMD x86_64,AMD x86_64 Opteron 8 Core,2400,8,HP Cluster Platform 4000BL,Cluster Platform 4000 BL685c G7,Linux,None,Cluster,Industry,Not Specified,Gigabit Ethernet,Gigabit Ethernet,Eastern Asia,Asia
425,Fermi National Accelerator Laboratory,Koi Computers,"Koi 1042G-TF Cluster, Opteron 8-core 2Ghz, Infiniband",United States,2010,7680,43050,61440,1200000,0,0,AMD x86_64,AMD x86_64 Opteron 8 Core,2000,8,KOI Cluster,Koi 1042G-TF Cluster,Linux,None,Cluster,Research,Research,Infiniband,Infiniband QDR,North America,Americas
426,Consulting (C),Hewlett-Packard,"Cluster Platform 3000 BL460c G1, Xeon E5450 3.0 GHz, GigE",United States,2009,6768,43000.9,81216,0,0,0,Intel EM64T,Intel EM64T Xeon X54xx (Harpertown),3000,4,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c G1,Linux,None,Cluster,Industry,Consulting,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
427,IT Service Provider (B),IBM,"BladeCenter HS22 Cluster, Xeon QC X55xx 2.53 GHz, GigEthernet",United States,2011,7600,42993.1,76912,0,0,240.28,Intel EM64T,Intel EM64T Xeon E55xx (Nehalem-EP),2530,4,IBM BladeCenter,"BladeCenter HS22 Cluster, NH Xeon quad core",Linux,None,Cluster,Industry,Information Processing Service,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
428,IT Service Provider (B),IBM,"BladeCenter HS22 Cluster, Xeon QC X55xx 2.53 GHz, GigEthernet",United States,2011,7600,42993.1,76912,0,0,240.28,Intel EM64T,Intel EM64T Xeon E55xx (Nehalem-EP),2530,4,IBM BladeCenter,"BladeCenter HS22 Cluster, NH Xeon quad core",Linux,None,Cluster,Industry,Information Processing Service,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
429,IT Service Provider (B),IBM,"BladeCenter HS22 Cluster, Xeon QC X55xx 2.53 GHz, GigEthernet",United States,2011,7600,42993.1,76912,0,0,240.28,Intel EM64T,Intel EM64T Xeon E55xx (Nehalem-EP),2530,4,IBM BladeCenter,"BladeCenter HS22 Cluster, NH Xeon quad core",Linux,None,Cluster,Industry,Information Processing Service,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
430,Nagasaki University,Self-made,"DEGIMA Cluster, Intel i5, ATI Radeon GPU, Infiniband QDR",Japan,2011,7920,42830,111150,524800,0,31.13,Intel Core,Intel Core Core i3,2930,2,NOW - Intel,DEGIMA Cluster,Linux,ATI GPU,Cluster,Academic,Research,Infiniband,Infiniband QDR,Eastern Asia,Asia
431,Central Research Institute of Electric Power Industry/CRIEPI,SGI,"SGI Altix ICE 8200EX, Xeon X5560 quad core 2.8 GHz",Japan,2010,4096,42690,45875.2,1183560,0,183.7,Intel EM64T,Intel EM64T Xeon X55xx (Nehalem-EP),2800,4,SGI Altix,SGI Altix ICE 8200EX,SLES10 + SGI ProPack 5,None,MPP,Research,Not Specified,Infiniband,Infiniband,Eastern Asia,Asia
432,National Institute for Materials Science,SGI,"SGI Altix ICE 8200EX, Xeon X5560 quad core 2.8 GHz",Japan,2009,4096,42690,45875.2,1183560,0,183.7,Intel EM64T,Intel EM64T Xeon X55xx (Nehalem-EP),2800,4,SGI Altix,SGI Altix ICE 8200EX,SLES10 + SGI ProPack 5,None,MPP,Research,Not Specified,Infiniband,Infiniband,Eastern Asia,Asia
433,Financial Services (H),IBM,"BladeCenter HS22 Cluster, Xeon QC X55xx 2.26 GHz, GigE",United States,2011,8856,42565,80058.2,0,0,246.47,Intel EM64T,Intel EM64T Xeon L55xx (Nehalem-EP),2260,4,IBM BladeCenter,"BladeCenter HS22 Cluster, NH Xeon quad core",Linux,None,Cluster,Industry,Finance,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
434,Financial Services (H),IBM,"BladeCenter HS22 Cluster, Xeon QC X55xx 2.26 GHz, GigE",United States,2011,8856,42565,80058.2,0,0,246.47,Intel EM64T,Intel EM64T Xeon L55xx (Nehalem-EP),2260,4,IBM BladeCenter,"BladeCenter HS22 Cluster, NH Xeon quad core",Linux,None,Cluster,Industry,Finance,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
435,Financial Services (H),IBM,"BladeCenter HS22 Cluster, Xeon QC X55xx 2.26 GHz, GigE",United States,2011,8856,42565,80058.2,0,0,246.47,Intel EM64T,Intel EM64T Xeon L55xx (Nehalem-EP),2260,4,IBM BladeCenter,"BladeCenter HS22 Cluster, NH Xeon quad core",Linux,None,Cluster,Industry,Finance,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
