Rank,Site,Manufacturer,Computer,Country,Year,Cores,RMax,RPeak,Nmax,Nhalf,Power,Measured Size,Processor Family,Processor,Proc. Frequency,Processor Cores,System Family,System Model,Operating System,Architecture,Segment,Application Area,Interconnect Family,Interconnect,Region,Continent
25,Government,Hewlett-Packard,"Cluster Platform 3000 BL2x220, L54xx 2.5 Ghz, Infiniband",France,2009,24704,179634,247040,0,0,0,0,Intel EM64T,Intel EM64T Xeon L54xx (Harpertown),2500,4,HP Cluster Platform 3000BL,Cluster Platform 3000 BL 2x220,Linux,Cluster,Government,Not Specified,Infiniband,Infinband DDR 4x,Western Europe,Europe
26,University of Edinburgh,Cray Inc.,"Cray XT4, 2.3 GHz",United Kingdom,2009,22656,174083,208435,0,0,0,0,AMD x86_64,AMD x86_64 Opteron Quad Core,2300,4,Cray XT,Cray XT4,UNICOS/lc,MPP,Academic,Research,Proprietary,XT4 Internal Interconnect,Northern Europe,Europe
27,Swiss Scientific Computing Center (CSCS),Cray Inc.,Cray XT5 SixCore 2.4 GHz,Switzerland,2009,22032,168700,211507,1798464,0,713,0,AMD x86_64,AMD x86_64 Opteron Six Core,2400,6,Cray XT,Cray XT5 SixCore,CNL,MPP,Research,Not Specified,Proprietary,XT4 Internal Interconnect,Western Europe,Europe
28,SciNet/University of Toronto,IBM,"iDataPlex, Xeon E55xx QC 2.53 GHz, GigE",Canada,2009,30240,168600,306029,0,0,869.4,30240,Intel EM64T,Intel EM64T Xeon E55xx (Nehalem-EP),2530,4,IBM Cluster,xSeries iDataPlex,Linux,Cluster,Research,Research,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
29,Government,Cray Inc.,Cray XT5 QC 2.4 GHz,United States,2009,20960,165600,201216,0,0,0,0,AMD x86_64,AMD x86_64 Opteron Quad Core,2400,4,Cray XT,Cray XT5 QuadCore,CNL,MPP,Government,Defense,Proprietary,XT4 Internal Interconnect,North America,Americas
30,ERDC DSRC,SGI,"SGI Altix ICR 8200 Enh. LX, Xeon X5560 2.8Ghz",United States,2009,15360,160200,172032,2280600,0,774.5,0,Intel EM64T,Intel EM64T Xeon X55xx (Nehalem-EP),2800,4,SGI Altix,SGI Altix ICE 8200 Enhanced LX,SLES10 + SGI ProPack 5,MPP,Government,Defense,Infiniband,Infiniband DDR,North America,Americas
31,University of Colorado,Dell,"PowerEdge C6100 Cluster, Xeon X5660 2.8 Ghz, Infiniband",United States,2010,15648,152200,175258,1757600,0,0,0,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),2800,6,Dell PowerEdge Cluster,PowerEdge C6100 Cluster,Linux,Cluster,Academic,Research,Infiniband,Infiniband QDR,North America,Americas
32,New Mexico Computing Applications Center (NMCAC),SGI,"SGI Altix ICE 8200, Xeon quad core 3.0 GHz",United States,2007,14336,133200,172032,1800100,0,861.63,0,Intel EM64T,Intel EM64T Xeon 53xx (Clovertown),3000,4,SGI Altix,SGI Altix ICE 8200,SLES10 + SGI ProPack 5,MPP,Research,Research,Infiniband,Infiniband,North America,Americas
33,"Computational Research Laboratories, TATA SONS",Hewlett-Packard,"Cluster Platform 3000 BL460c, Xeon 53xx 3GHz, Infiniband",India,2008,14384,132800,172608,1850000,250000,786,0,Intel EM64T,Intel EM64T Xeon 53xx (Clovertown),3000,4,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c,Linux,Cluster,Industry,Not Specified,Infiniband,Infiniband DDR,South-central Asia,Asia
34,Lawrence Livermore National Laboratory,Appro International,"Appro XtremeServer 1143H, Opteron QC 2.2Ghz, Infiniband",United States,2008,18224,131600,162200,1854663,0,0,0,AMD x86_64,AMD x86_64 Opteron Quad Core,2200,4,Appro XtremeServer,Appro XtremeServer 1143H,Redhat Linux,Cluster,Research,Research,Infiniband,Infiniband,North America,Americas
35,DOE/NNSA/LANL,IBM,"BladeCenter QS22/LS21 Cluster, PowerXCell 8i 3.2 Ghz / Opteron DC 1.8 GHz, Infiniband",United States,2009,14400,126500,161856,805759,0,276,1,Power,PowerXCell 8i,3200,9,IBM Cluster,BladeCenter QS22 Cluster,Linux,Cluster,Research,Not Specified,Infiniband,Infiniband,North America,Americas
36,National Institute for Computational Sciences/University of Tennessee,Cray Inc.,Cray XT4 QuadCore 2.3 GHz,United States,2008,17956,125128,165195,1367871,0,888.82,0,AMD x86_64,AMD x86_64 Opteron Quad Core,2300,4,Cray XT,Cray XT4 QuadCore,CNL,MPP,Academic,Research,Proprietary,XT4 Internal Interconnect,North America,Americas
37,Japan Agency for Marine -Earth Science and Technology,NEC,SX-9/E/1280M160,Japan,2009,1280,122400,131072,1556480,0,0,0,NEC,NEC,3200,1,NEC Vector,SX-9/E,Super-UX,MPP,Research,Research,Fat Tree,Fat Tree Network,Eastern Asia,Asia
38,IDRIS,IBM,Blue Gene/P Solution,France,2008,40960,119310,139264,0,0,315,4096,Power,PowerPC 450,850,4,IBM BlueGene,BlueGene/P,CNK/SLES 9,MPP,Academic,Not Specified,Proprietary,Proprietary,Western Europe,Europe
39,ECMWF,IBM,"Power 575, p6 4.7 GHz, Infiniband",United Kingdom,2008,8320,115900,156416,0,0,1329.7,0,Power,POWER6,4700,2,IBM pSeries,pSeries 575,AIX,MPP,Research,Not Specified,Infiniband,Infiniband,Northern Europe,Europe
40,ECMWF,IBM,"Power 575, p6 4.7 GHz, Infiniband",United Kingdom,2009,8320,115900,156416,0,0,1329.7,0,Power,POWER6,4700,2,IBM pSeries,pSeries 575,AIX,MPP,Research,Weather and Climate Research,Infiniband,Infiniband,Northern Europe,Europe
41,DKRZ - Deutsches Klimarechenzentrum,IBM,"Power 575, p6 4.7 GHz, Infiniband",Germany,2008,8064,115900,151603,1128959,0,1288.69,0,Power,POWER6,4700,2,IBM pSeries,pSeries 575,AIX,MPP,Research,Weather and Climate Research,Infiniband,Infiniband,Western Europe,Europe
42,JAXA,Fujitsu,"Fujitsu FX1, Quadcore  SPARC64 VII  2.52 GHz, Infiniband DDR",Japan,2009,12032,110600,121282,3308800,0,1020.5,0,Sparc,SPARC64 VII,2500,4,Fujitsu Cluster,Fujitsu FX1,Open Solaris,Cluster,Research,Aerospace,Infiniband,Infiniband DDR,Eastern Asia,Asia
43,US Army Research Laboratory (ARL),SGI,"SGI Altix ICE 8200 Enhanced LX, Xeon Nehalem quad core 2.8 GHz",United States,2009,10752,109300,120422,1908480,0,475,10752,Intel EM64T,Intel EM64T Xeon X55xx (Nehalem-EP),2800,4,SGI Altix,SGI Altix ICE 8200,SLES10 + SGI ProPack 5,MPP,Research,Defense,Infiniband,Infiniband,North America,Americas
44,Commissariat a l'Energie Atomique (CEA),Bull SA,Bull bullx super-node S6010/S6030,France,2010,14400,108800,130522,1837056,0,1150,0,Intel EM64T,Intel EM64T Xeon 75xx (Nehalem-EX),2260,8,Bull bullx super-node,bullx super-node S6010/S6030,Linux,Cluster,Research,Defense,Infiniband,Infiniband QDR,Western Europe,Europe
45,Commissariat a l'Energie Atomique (CEA)/CCRT,Bull SA,BULL Novascale R422-E2,France,2010,11520,108500,129998,1714176,0,477,0,Intel EM64T,Intel EM64T Xeon X55xx (Nehalem-EP),2930,4,Bull Cluster,NovaScale R422-E2,Linux,Cluster,Research,Not Specified,Infiniband,Infiniband DDR,Western Europe,Europe
46,Joint Supercomputer Center,Hewlett-Packard,"Cluster Platform 3000 BL460c/BL2x220, Xeon 54xx 3 Ghz, Infiniband",Russia,2009,11680,107448,140160,0,0,0,0,Intel EM64T,Intel EM64T Xeon X54xx (Harpertown),3000,4,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c/BL 2x220,Linux,Cluster,Academic,Research,Infiniband,Infinband DDR 4x,Eastern Europe,Europe
47,HLRN at Universitaet Hannover / RRZN,SGI,"SGI Altix ICE 8200EX, Xeon QC E5472 3.0 GHz/X5570 2.93 GHz",Germany,2009,10240,107100,120730,1535480,0,0,0,Intel EM64T,Intel EM64T Xeon X55xx (Nehalem-EP),2930,4,SGI Altix,SGI Altix ICE 8200,SLES10 + SGI ProPack 5,MPP,Academic,Research,Infiniband,Infiniband,Western Europe,Europe
48,HLRN at ZIB/Konrad Zuse-Zentrum fuer Informationstechnik,SGI,"SGI Altix ICE 8200EX, Xeon QC E5472 3.0 GHz/X5570 2.93 GHz",Germany,2009,10240,107100,120730,1535480,0,0,0,Intel EM64T,Intel EM64T Xeon X55xx (Nehalem-EP),2930,4,SGI Altix,SGI Altix ICE 8200,SLES10 + SGI ProPack 5,MPP,Academic,Research,Infiniband,Infiniband,Western Europe,Europe
49,Total Exploration Production,SGI,"SGI Altix ICE 8200EX, Xeon quad core 3.0 GHz",France,2008,10240,106100,122880,1535480,0,442,512,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),3000,4,SGI Altix,SGI Altix ICE 8200,SLES10 + SGI ProPack 5,MPP,Industry,Geophysics,Infiniband,Infiniband,Western Europe,Europe
50,Government Agency,Hewlett-Packard,"Cluster Platform 3000 BL460c, Xeon 53xx 2.66GHz, Infiniband",Sweden,2007,13728,102800,146430,575000,0,0,0,Intel EM64T,Intel EM64T Xeon 53xx (Clovertown),2667,4,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c,Linux,Cluster,Government,Defense,Infiniband,Infiniband DDR,Northern Europe,Europe
51,"Computer Network Information Center, Chinese Academy of Science",Lenovo,"DeepComp 7000, HS21/x3950 Cluster, Xeon QC HT 3 GHz/2.93 GHz, Infiniband",China,2008,12216,102800,145965,1600000,0,0,112,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),3000,4,Lenovo Cluster,Lenovo DeepComp 7000,Linux,Cluster,Academic,Research,Infiniband,Infiniband,Eastern Asia,Asia
52,Lawrence Livermore National Laboratory,Appro International,"Appro Xtreme-X3 Server - Quad Opteron Quad Core 2.3 GHz, Infiniband",United States,2009,13552,102200,127200,1651780,0,0,0,AMD x86_64,AMD x86_64 Opteron Quad Core,2300,4,Appro XtremeServer,Appro XtremeServers,Redhat Linux,Cluster,Research,Research,Infiniband,Infinband DDR 4x,North America,Americas
53,"Information Technology Center, The University of Tokyo",Hitachi,Hitachi opteron QC 2.3 GHz Myrinet 10G,Japan,2009,15104,101741,138956,1740800,0,831.5,16,AMD x86_64,AMD x86_64 Opteron Quad Core,2300,4,Hitachi Cluster,Hitachi Cluster,Linux,Cluster,Academic,Research,Myrinet,Myrinet 10G,Eastern Asia,Asia
54,Kurchatov Institute Moscow,Hewlett-Packard,"Cluster Platform 3000 BL2x220, E54xx 3.0 Ghz, Infiniband",Russia,2010,10304,101213,123648,0,0,0,0,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),3000,4,HP Cluster Platform 3000BL,Cluster Platform 3000 BL 2x220,Linux,Cluster,Research,Not Specified,Infiniband,Infiniband,Eastern Europe,Europe
55,Max-Planck-Gesellschaft MPI/IPP,IBM,"Power 575, p6 4.7 GHz, Infiniband",Germany,2009,6848,98423,128742,0,0,1095,0,Power,POWER6,4700,2,IBM pSeries,pSeries 575,AIX,MPP,Research,Not Specified,Infiniband,Infiniband,Western Europe,Europe
56,Institute of Physical and Chemical Res. (RIKEN),Fujitsu,"RIKEN Intergrated Cluster of Clusters, Xeon X5570 2.93GHz, Infiniband DDR",Japan,2009,9048,97940,106042,1287936,0,0,0,Intel EM64T,Intel EM64T Xeon X55xx (Nehalem-EP),2930,4,Fujitsu Cluster,Fujitsu RX200S5 Cluster,RedHat Enterprise 5,Cluster,Research,Research,Infiniband,Infiniband DDR,Eastern Asia,Asia
57,Pacific Northwest National Laboratory,Hewlett-Packard,"Cluster Platform 4000 DL185G5, Opteron QC 2.2 GHz, Infiniband DDR",United States,2008,18176,97071,159949,488000,0,0,0,AMD x86_64,AMD x86_64 Opteron Quad Core,2200,4,HP Cluster Platform 4000,HP Cluster Platform 4000 DL185G5 Cluster,Linux,Cluster,Research,Life Science,Infiniband,Infiniband DDR,North America,Americas
58,EDF R&D,IBM,Blue Gene/P Solution,France,2008,32768,95450,111411,0,0,252,4096,Power,PowerPC 450,850,4,IBM BlueGene,BlueGene/P,CNK/SLES 9,MPP,Industry,Research,Proprietary,Proprietary,Western Europe,Europe
59,IT Service Provider,Hewlett-Packard,"Cluster Platform 3000 BL2x220, E54xx 3.0 Ghz, Infiniband",Germany,2009,10240,94737.1,122880,0,0,0,0,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),3000,4,HP Cluster Platform 3000BL,Cluster Platform 3000 BL 2x220,Linux,Cluster,Industry,Information Service,Infiniband,Infiniband,Western Europe,Europe
60,IBM Thomas J. Watson Research Center,IBM,eServer Blue Gene Solution,United States,2005,40960,91290,114688,983039,0,448,2048,Power,PowerPC 440,700,2,IBM BlueGene,BlueGene/L,CNK/SLES 9,MPP,Research,Information Processing Service,Proprietary,Proprietary,North America,Americas
61,Naval Oceanographic Office - NAVO MSRC,Cray Inc.,Cray XT5 QC 2.3 GHz,United States,2008,12733,90840,117143,0,0,588.9,0,AMD x86_64,AMD x86_64 Opteron Quad Core,2300,4,Cray XT,Cray XT5 QuadCore,CNL,MPP,Research,Not Specified,Proprietary,XT4 Internal Interconnect,North America,Americas
62,Manufacturing Company,Hewlett-Packard,"Cluster Platform 3000 BL460c G6, Xeon X5570 2.93 GHz, Infiniband",France,2009,8576,88550,100511,0,0,0,0,Intel EM64T,Intel EM64T Xeon X55xx (Nehalem-EP),2930,4,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c G6,Linux,Cluster,Industry,Aerospace,Infiniband,Infinband DDR 4x,Western Europe,Europe
63,Bull,Bull SA,Bull bullx super-node S6010/S6030,France,2010,11520,87470,104602,1643136,0,0,0,Intel EM64T,Intel EM64T Xeon 75xx (Nehalem-EX),2260,8,Bull bullx super-node,bullx super-node S6010/S6030,Linux,Cluster,Vendor,Benchmarking,Infiniband,Infiniband QDR,Western Europe,Europe
64,"GSIC Center, Tokyo Institute of Technology",NEC/Sun,"Sun Fire x4600/x6250, Opteron 2.4/2.6 GHz, Xeon E5440 2.833 GHz, ClearSpeed CSX600, nVidia GT200; Voltaire Infiniband",Japan,2009,31024,87010,163188,1059839,0,1103,0,AMD x86_64,AMD x86_64 Opteron Dual Core,2400,2,Sun Fire - Cluster,Fire x4600 Cluster,SuSE Linux Enterprise Server 9,Cluster,Academic,Research,Infiniband,Infiniband,Eastern Asia,Asia
65,University of Southern California,Dell/Sun/IBM,"PowerEdge 1950/SunFire X2200/iDataPlex/IBM dx340  Intel 53xx/54xx 2.33Ghz, Opteron 2.3 Ghz, E5410 2.33GHz Myrinet 10G",United States,2010,11664,83290,107308,1365200,0,0,0,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),2333,4,Dell/Sun/IBM Cluster,PowerEdge 1950/SunFire X2200/iDataPlex Cluster,CentOS,Cluster,Academic,Not Specified,Myrinet,Myrinet 10G,North America,Americas
66,Lawrence Livermore National Laboratory,Appro International,"Appro Xtreme-X3 Opteron 2.0GHz, Infiniband DDR",United States,2009,13440,83080,107500,1370880,685440,700,13440,AMD x86_64,AMD x86_64 Opteron Quad Core,2000,4,Appro XtremeServer,Appro Xtreme-X3,Linux,Cluster,Research,Research,Infiniband,Infiniband DDR,North America,Americas
67,"Stony Brook/BNL, New York Center for Computational Sciences",IBM,eServer Blue Gene Solution,United States,2007,36864,82161,103219,0,0,403.2,2048,Power,PowerPC 440,700,2,IBM BlueGene,BlueGene/L,CNK/SLES 9,MPP,Research,Research,Proprietary,Proprietary,North America,Americas
68,Maui High-Performance Computing Center (MHPCC),Dell,"Dell PowerEdge M610 Cluster, Nehalem-EP 2.8Ghz, Infiniband",United States,2009,9210,80580,103219,0,0,0,0,Intel EM64T,Intel EM64T Xeon X55xx (Nehalem-EP),2800,4,Dell PowerEdge Cluster,PowerEdge M610 Cluster,Linux,Cluster,Research,Research,Infiniband,Infiniband,North America,Americas
69,Naval Oceanographic Office - NAVO MSRC,IBM,"Power 575, p6 4.7 GHz, Infiniband",United States,2009,5440,78680,102272,0,0,869.42,32,Power,POWER6,4700,2,IBM pSeries,pSeries 575,AIX,MPP,Research,Not Specified,Infiniband,Infiniband,North America,Americas
70,CINECA,IBM,"Power 575, p6 4.7 GHz, Infiniband",Italy,2009,5376,78680,101069,907199,0,859.19,0,Power,POWER6,4700,2,IBM pSeries,pSeries 575,AIX,MPP,Academic,Not Specified,Infiniband,Infiniband,Southern Europe,Europe
71,"Center for Computational Sciences, University of Tsukuba",Appro International,"Appro Xtreme-X3 Server - Quad Opteron Quad Core 2.3 GHz, Infiniband",Japan,2009,10368,77280,95385,1562400,0,671.8,0,AMD x86_64,AMD x86_64 Opteron Quad Core,2300,4,Appro XtremeServer,Appro XtremeServers,Redhat Linux,Cluster,Academic,Research,Infiniband,Infinband DDR 4x,Eastern Asia,Asia
72,CLUMEQ - Université Laval,Sun Microsystems,"Sun Blade x6048, Xeon X5560 2.8 Ghz, Infiniband QDR",Canada,2009,7616,77170,85299,1160376,0,332,7616,Intel EM64T,Intel EM64T Xeon X55xx (Nehalem-EP),2800,4,Sun Blade System,Sun Blade 6048,Linux,Cluster,Academic,Research,Infiniband,Infiniband,North America,Americas
73,US Army Research Laboratory (ARL),Cray Inc.,Cray XT5 QC 2.3 GHz,United States,2008,10400,76800,95680,0,0,481,0,AMD x86_64,AMD x86_64 Opteron Quad Core,2300,4,Cray XT,Cray XT5 QuadCore,CNL,MPP,Research,Not Specified,Proprietary,XT4 Internal Interconnect,North America,Americas
74,CSC (Center for Scientific Computing),Cray Inc.,Cray XT5/XT4 QC 2.3 GHz,Finland,2009,10864,76510,101997,0,0,520.8,0,AMD x86_64,AMD x86_64 Opteron Quad Core,2300,4,Cray XT,Cray XT5 QuadCore,CNL,MPP,Academic,Not Specified,Proprietary,XT4 Internal Interconnect,Northern Europe,Europe
75,DOE/NNSA/LLNL,IBM,eServer pSeries p5 575 1.9 GHz,United States,2006,12208,75760,92781,1383600,0,1992.96,0,Power,POWER5,1900,2,IBM pSeries,pSeries 575,AIX,MPP,Research,Research,SP Switch,Federation,North America,Americas
76,KTH - Royal Institute of Technology,Cray Inc.,Cray XT6m 12-Core 2.1 GHz,Sweden,2010,11016,75120,92534.4,1306392,0,0,0,AMD x86_64,AMD x86_64 Opteron 12 Core,2100,12,Cray XT,Cray XT6m,Linux,MPP,Academic,Research,Custom,Custom,Northern Europe,Europe
77,University of Minnesota/Supercomputing Institute,Hewlett-Packard,"Cluster Platform 3000 BL280c G6, Xeon X55xx 2.8Ghz, Infiniband",United States,2009,8448,74390,94617.6,0,0,0,0,Intel EM64T,Intel EM64T Xeon X55xx (Nehalem-EP),2800,4,HP Cluster Platform 3000BL,Cluster Platform 3000 BL280c G6,Linux,Cluster,Academic,Not Specified,Infiniband,Infiniband,North America,Americas
78,National Centers for Environment Prediction,IBM,"Power 575, p6 4.7 GHz, Infiniband",United States,2009,4992,73060,93849.6,0,0,797,0,Power,POWER6,4700,2,IBM pSeries,pSeries 575,AIX,MPP,Research,Not Specified,Infiniband,Infiniband,North America,Americas
79,National Centers for Environment Prediction,IBM,"Power 575, p6 4.7 GHz, Infiniband",United States,2008,4992,73060,93849.6,0,0,797.82,32,Power,POWER6,4700,2,IBM pSeries,pSeries 575,AIX,MPP,Research,Not Specified,Infiniband,Infiniband,North America,Americas
80,"Rensselaer Polytechnic Institute, Computational Center for Nanotechnology Innovations",IBM,eServer Blue Gene Solution,United States,2007,32768,73032,91750,884735,0,358.4,2048,Power,PowerPC 440,700,2,IBM BlueGene,BlueGene/L,CNK/SLES 9,MPP,Academic,Research,Proprietary,Proprietary,North America,Americas
81,US Army Research Laboratory (ARL),SGI,"SGI Altix ICE 8200 Enhanced LX, Xeon X5560 quad core 2.8 GHz",United States,2009,6656,70000,74547.2,1501752,0,350.1,6656,Intel EM64T,Intel EM64T Xeon X55xx (Nehalem-EP),2800,4,SGI Altix,SGI Altix ICE 8200,SLES10 + SGI ProPack 5,MPP,Research,Not Specified,Infiniband,Infiniband,North America,Americas
82,NCSA,Dell,"PowerEdge 1955, 2.33 GHz, Infiniband, Windows Server 2008/Red Hat Enterprise Linux 4",United States,2007,9600,68480,89587.2,1008384,0,0,0,Intel EM64T,Intel EM64T Xeon 53xx (Clovertown),2333,4,Dell PowerEdge Cluster,PowerEdge 1955,Windows HPC 2008,Cluster,Academic,Not Specified,Infiniband,Infiniband SDR,North America,Americas
83,University of Southampton,IBM,"iDataPlex, Xeon E55xx QC 2.26 GHz, Infiniband, Windows HPC2008 R2",United Kingdom,2009,8000,66680,72320,1610000,0,222.62,0,Intel EM64T,Intel EM64T Xeon E55xx (Nehalem-EP),2267,4,IBM Cluster,xSeries iDataPlex,Windows HPC 2008,Cluster,Academic,Not Specified,Infiniband,Infiniband,Northern Europe,Europe
84,NASA/Ames Research Center/NAS,SGI,"SGI Altix 1.5/1.6/1.66 GHz, Voltaire Infiniband",United States,2008,13824,66567,82944,1478736,0,0,0,Intel IA-64,Intel IA-64 Itanium2 Montecito Dual Core,1600,2,SGI Altix,SGI Altix 3700,SuSE Linux Enterprise Server 9,MPP,Research,Not Specified,Mixed,Numalink/Infiniband,North America,Americas
85,Clemson University,Dell/Sun/IBM,"PowerEdge 1950/SunFire X2200/iDataPlex/IBM dx340  Intel 53xx/54xx 2.33Ghz, Opteron 2.3 Ghz, E5410 2.33GHz Myrinet 10G",United States,2010,8856,66180,81475.2,1227600,0,0,0,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),2333,4,Dell/Sun/IBM Cluster,PowerEdge 1950/SunFire X2200/iDataPlex Cluster,Linux,Cluster,Academic,Not Specified,Myrinet,Myrinet 10G,North America,Americas
86,NACAD/COPPE/UFRJ,Sun Microsystems,"Sun Blade x6048, Xeon X5560 2.8 Ghz, Infiniband QDR",Brazil,2009,6464,64630,72396.8,1405152,0,430,6464,Intel EM64T,Intel EM64T Xeon X55xx (Nehalem-EP),2800,4,Sun Blade System,Sun Blade 6048,Linux,Cluster,Academic,Research,Infiniband,Infiniband,South America,Americas
87,Barcelona Supercomputing Center,IBM,"BladeCenter JS21 Cluster, PPC 970, 2.3 GHz, Myrinet",Spain,2006,10240,63830,94208,0,0,0,0,Power,PowerPC 970,2300,2,IBM Cluster,BladeCenter JS21 CLuster,SuSE Linux Enterprise Server 9,Cluster,Academic,Medicine,Myrinet,Myrinet,Southern Europe,Europe
88,IBM Poughkeepsie Benchmarking Center,IBM,"BladeCenter QS22/LS21 Cluster, PowerXCell 8i 3.2 Ghz / Opteron DC 1.8 GHz, Infiniband",United States,2008,7200,63250,80928,0,0,138,0,Power,PowerXCell 8i,3200,9,IBM Cluster,BladeCenter QS22 Cluster,Linux,Cluster,Vendor,Software,Infiniband,Infiniband,North America,Americas
89,KTH - Royal Institute of Technology,Dell,"PowerEdge SC1435 Dual core Opteron 2.2 GHz, Infiniband",Sweden,2010,9800,61760,86024.4,1450624,0,0,0,AMD x86_64,AMD x86_64 Opteron Dual Core,2200,2,Dell PowerEdge Cluster,PowerEdge SC1435,Linux,Cluster,Academic,Not Specified,Infiniband,Infiniband,Northern Europe,Europe
90,NCAR (National Center for Atmospheric Research),IBM,"Power 575, p6 4.7 GHz, Infiniband",United States,2008,4064,59684.1,76403.2,0,0,649.51,0,Power,POWER6,4700,2,IBM pSeries,pSeries 575,AIX,MPP,Research,Weather and Climate Research,Infiniband,Infiniband,North America,Americas
91,National Institute for Fusion Science (NIFS),Hitachi,"Hitachi SR16000 Model L2/128, Power6 4.7Ghz, Infiniband",Japan,2009,4096,56650,77004.8,1100000,0,645,4096,Power,POWER6,4700,2,Hitachi SR16000,Hitachi SR16000 Model L2,AIX,MPP,Research,Research,Infiniband,Infiniband,Eastern Asia,Asia
92,Leibniz Rechenzentrum,SGI,Altix 4700 1.6 GHz,Germany,2007,9728,56520,62259.2,1583232,0,990.24,9728,Intel IA-64,Intel IA-64 Itanium2 Montecito Dual Core,1600,2,SGI Altix,SGI Altix 4700,SUSE Linux Enterprise Server 10,MPP,Academic,Not Specified,NUMAlink,NUMAlink,Western Europe,Europe
93,ERDC MSRC,Cray Inc.,Cray XT4 QuadCore 2.1 GHz,United States,2008,8464,56250,71097,0,0,418.97,0,AMD x86_64,AMD x86_64 Opteron Quad Core,2100,4,Cray XT,Cray XT4 QuadCore,CNL,MPP,Research,Not Specified,Proprietary,XT4 Internal Interconnect,North America,Americas
94,Indian Institute of Tropical Meteorology,IBM,"Power 575, p6 4.7 GHz, Infiniband",India,2010,3744,55110,70387.2,0,0,598.37,0,Power,POWER6,4700,2,IBM pSeries,pSeries 575,AIX,MPP,Research,Research,Infiniband,Infiniband,South-central Asia,Asia
95,Cray Inc.,Cray Inc.,Cray XE6 12-core 2.0 GHz,United States,2010,8470,54610,67760,1053528,0,158.2,0,AMD x86_64,AMD x86_64 Opteron 12 Core,2000,12,Cray XT,Cray XT6,Linux,MPP,Vendor,Benchmarking,Custom,Custom,North America,Americas
96,"University of Tokyo/Human Genome Center, IMS",Sun Microsystems,"SunBlade x6250, Xeon E5450 3GHz, Infiniband",Japan,2009,5760,54210,69120,786712,0,0,0,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),3000,4,Sun Blade System,Sun Blade x6250,Linux,Cluster,Academic,Medicine,Infiniband,Infiniband DDR,Eastern Asia,Asia
97,Cray Inc.,Cray Inc.,Cray XT6 12-Core 2.0/2.1/2.2 GHz,United States,2010,8352,53180,69427.2,1102464,0,155.7,0,AMD x86_64,AMD x86_64 Opteron 12 Core,2000,12,Cray XT,Cray XT6,Linux,MPP,Vendor,Benchmarking,Custom,Custom,North America,Americas
98,Georgia Institute of Technology,Penguin Computing,"Altus 704 Cluster, 6C Opteron 8431 2.4 Ghz, Infiniband",United States,2010,8640,53050,82944,1152000,0,246,0,AMD x86_64,AMD x86_64 Opteron Six Core,2400,6,Penguin Computing Cluster,Altus 704 Cluster,Linux,Cluster,Research,Biology,Infiniband,Infinband DDR 4x,North America,Americas
99,NNSA/Sandia National Laboratories,Dell,"PowerEdge 1850, 3.6 GHz, Infiniband",United States,2006,9024,53000,64972.8,0,0,0,0,Intel EM64T,Intel EM64T Xeon EM64T,3600,1,Dell PowerEdge Cluster,PowerEdge 1850,Linux,Cluster,Research,Research,Infiniband,Infiniband,North America,Americas
100,Commissariat a l'Energie Atomique (CEA),Bull SA,"NovaScale 5160, Itanium2 1.6 GHz, Quadrics",France,2006,9968,52840,63795.2,0,0,0,0,Intel IA-64,Intel IA-64 Itanium2 Montecito Dual Core,1600,2,Bull SMP Cluster,NovaScale 5160,Linux,Constellations,Research,Defense,Quadrics,Quadrics,Western Europe,Europe
101,IDRIS,IBM,"Power 575, p6 4.7 GHz, Infiniband",France,2008,3584,52810,67379.2,0,0,572.79,32,Power,POWER6,4700,2,IBM pSeries,pSeries 575,AIX,MPP,Academic,Not Specified,Infiniband,Infiniband,Western Europe,Europe
102,Purdue University,Hewlett-Packard,"Cluster Platform 3000 DL165, Opteron 2.5 GHz, 10GigE",United States,2010,7944,52192.1,79440,0,0,0,0,AMD x86_64,AMD x86_64 Opteron Quad Core,2500,4,HP Cluster Platform 3000,HP DL165 Cluster,Linux,Cluster,Academic,Research,Gigabit Ethernet,10G Ethernet,North America,Americas
103,ETH Zuerich,Sun Microsystems,"Sun Blade X6440, Opteron 2.5 Ghz, Infiniband QDR",Switzerland,2009,6464,51880,64640,1032192,0,152,6464,AMD x86_64,AMD x86_64 Opteron Quad Core,2500,4,Sun Blade System,Sun Blade x6440,Linux,Cluster,Academic,Research,Infiniband,Infiniband,Western Europe,Europe
