Rank,Site,Manufacturer,Computer,Country,Year,Cores,RMax,RPeak,Nmax,Nhalf,Power,Measured Size,Processor Family,Processor,Proc. Frequency,Processor Cores,System Family,System Model,Operating System,Architecture,Segment,Application Area,Interconnect Family,Interconnect,Region,Continent
471,Irish Centre for High-End Computing,SGI,"SGI Altix ICE 8200EX, Xeon quad core 2.80 GHz",Ireland,2008,2560,25110,28672,775560,0,122.76,2560,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),2800,4,SGI Altix,SGI Altix ICE 8200,SLES10 + SGI ProPack 5,MPP,Research,Not Specified,Infiniband,Infiniband,Northern Europe,Europe
472,Kurchatov Institute Moscow,Hewlett-Packard,"Cluster Platform 3000 BL460c, Xeon 53xx 2.33GHz, Infiniband",Russia,2008,3456,25080,32209.9,0,0,167,0,Intel EM64T,Intel EM64T Xeon 53xx (Clovertown),2333,4,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c,Linux,Cluster,Research,Research,Infiniband,Infiniband DDR,Eastern Europe,Europe
473,Financial Institution,Hewlett-Packard,"Cluster Platform 3000 BL460c, Xeon E54xx 2.83 GHz, GigEthernet",United Kingdom,2009,4128,24988,46729,0,0,0,0,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),2830,4,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c,Linux,Cluster,Industry,Finance,Gigabit Ethernet,Gigabit Ethernet,Northern Europe,Europe
474,SHARCNET - University of Western Ontario,Hewlett-Packard,"Cluster Platform 3000 BL260c G5, Xeon QC 2.83Ghz, Infiniband",Canada,2009,2688,24810,30428,756352,0,0,0,Intel EM64T,Intel EM64T Xeon L54xx (Harpertown),2830,4,HP Cluster Platform 3000BL,Cluster Platform 3000 BL260c G5,Linux,Cluster,Academic,Research,Infiniband,Infiniband,North America,Americas
475,Computacenter (UK) LTD,Hewlett-Packard,"Cluster Platform 3000 BL460c, Xeon 54xx 3.0GHz, GigEthernet",United Kingdom,2009,3856,24768.8,46272,0,0,0,0,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),3000,4,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c,Linux,Cluster,Industry,Information Service,Gigabit Ethernet,Gigabit Ethernet,Northern Europe,Europe
476,Insight Direct,Hewlett-Packard,"Cluster Platform 3000 BL460c, Xeon 54xx 3.0GHz, GigEthernet",United States,2009,3844,24692.9,46128,0,0,0,0,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),3000,4,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c,Linux,Cluster,Industry,Not Specified,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
477,Digital Media (J),IBM,"BladeCenter HS21 Cluster, Xeon QC HT 3 GHz, GigEthernet",United States,2009,8064,24670,96768,0,0,319.9,112,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),3000,4,IBM Cluster,"BladeCenter HS21 Cluster, HT Xeon quad core",Linux,Cluster,Industry,Gaming,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
478,Communications,IBM,"BladeCenter HS21 Cluster, Xeon QC HT 2.66 GHz, GigEthernet",Israel,2009,8176,24670,87221.6,0,0,381,0,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),2666,4,IBM Cluster,"BladeCenter HS21 Cluster, HT Xeon quad core",Linux,Cluster,Industry,Information Service,Gigabit Ethernet,Gigabit Ethernet,Western Asia,Asia
479,Gaming,IBM,"BladeCenter HS21 Cluster, Xeon QC HT 3 GHz, GigEthernet",France,2009,7200,24670,86400,0,0,285.62,112,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),3000,4,IBM Cluster,"BladeCenter HS21 Cluster, HT Xeon quad core",Linux,Cluster,Industry,Gaming,Gigabit Ethernet,Gigabit Ethernet,Western Europe,Europe
480,Financial Institution (P),IBM,"BladeCenter HS21 Cluster, Xeon QC HT 2.83 GHz, GigEthernet",France,2009,6992,24670,79149.4,0,0,275,112,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),2830,4,IBM Cluster,"BladeCenter HS21 Cluster, HT Xeon quad core",Linux,Cluster,Industry,Finance,Gigabit Ethernet,Gigabit Ethernet,Western Europe,Europe
