"Green500 Rank","Site","Manufacturer","Computer","Country","MFW","Power","Top500 Rank","How"
166,"  NOAA/Oak Ridge National Laboratory","Cray Inc.","Cray XT6-HE, Opteron 6100 12C 2.1GHz","United States",318.688524590164,610,83,"Top500"
167,"  NASA/Ames Research Center/NAS","SGI","SGI Altix ICE X/8200EX/8400EX, Xeon 54xx 3.0/5570/5670/E5-2670 2.93/2.6/3.06/3.0 Ghz, Infiniband QDR/FDR","United States",311.763230499122,3987,11,"Top500"
168,"  Electronics","IBM","xSeries x3550M3 Cluster, Xeon X5650 6C 2.66 GHz, Infiniband QDR","United States",305.332536837913,251.1,317,"Submission"
169,"  Electronics","IBM","xSeries x3550M3 Cluster, Xeon X5650 6C 2.66 GHz, Infiniband QDR","United States",305.332536837913,251.1,318,"Submission"
170,"  Electronics","IBM","xSeries x3550M3 Cluster, Xeon X5650 6C 2.66 GHz, Infiniband QDR","United States",305.330851943755,241.8,364,"Submission"
171,"  National Institute for Computational Sciences/University of Tennessee","Cray Inc.","Cray XT5-HE Opteron Six Core 2.6 GHz","United States",297.443365695793,3090,21,"Top500"
172,"  National Computational Infrastructure National Facility (NCI-NF)","Oracle","Sun Blade x6048, Xeon X5570 2.93 Ghz, Infiniband QDR","Australia",297.257419688632,425.22,139,"Derived"
173,"  Lawrence Livermore National Laboratory","Appro","Xtreme-X , Xeon E5-2670 8C 2.600GHz, Infiniband QDR","United States",288.730053191489,1203.2,46,"Derived"
174,"  Defence","IBM","BladeCenter HX5, Xeon E7-4870 10C 2.40 GHz, Infiniband QDR","Australia",286.737400530504,226.2,454,"Submission"
175,"  IT Service Provider","HP","Cluster Platform 3000 280c G7, Xeon X5672 4C 3.20GHz, Infiniband QDR","United States",281.555339536176,216.03,500,"Derived"
176,"  DOE/NNSA/LANL/SNL","Cray Inc.","Cray XE6, Opteron 6136 8C 2.40GHz, Custom","United States",278.894472361809,3980,15,"Top500"
177,"  Lawrence Livermore National Laboratory","Dell","Dell DCS Xanadu 2.5, Xeon E55xx 2.4Ghz, Infiniband DDR","United States",277.762860102037,260.69,373,"Derived"
178,"  University of Alaska - Arctic Region Supercomputing Center","Cray Inc.","Cray XE6 8-core 2.3 GHz","United States",277.285767743545,320.68,236,"Derived"
179,"  Centre for High Performance Computing","Dell/Oracle","Blade X6275/ PowerEdge C6100 Cluster, Xeon X5570/X5670/ 4C 2.93 GHz, Infiniband QDR","South Africa",271.708311181995,225.72,497,"Derived"
180,"  Cray Inc.","Cray Inc.","Cray XE6, Opteron 6272 16C 2.1/2.2/2.3 GHz, Cray Gemini interconnect","United States",268.219705065185,467.9,142,"Derived"
181,"  Compute Canada/WestGrid/University of Calgary","HP","DL170/SL390 , Xeon E5649 2.53GHz/L5520 4C 2.26GHz, Infiniband QDR, NVIDIA 2070","Canada",265.020967427345,410.16,167,"Derived"
182,"  Energy Company (A)","IBM","BladeCenter HS22 Cluster, Xeon QC X55xx 2.66 GHz, Infiniband","Italy",260.621162444113,335.5,246,"Submission"
183,"  NASA/Goddard Space Flight Center","IBM","iDataPlex, Xeon X55xx QC 2.8 GHz, Infiniband","United States",256.850366236484,286.7,366,"Submission"
184,"  SciNet/University of Toronto/Compute Canada","IBM","xSeries iDataPlex, Xeon E5540 4C 2.53GHz, Infiniband","Canada",254.01067961165,1030,66,"Submission"
185,"  Idaho National Laboratory","Appro","Appro Xtreme-X3 Opteron 2.4GHz, Infiniband QDR","United States",252.861111111111,360,225,"Top500"
186,"  NOAA/ESRL/GSD","Raytheon/Aspen Systems","Raytheon/Aspen Cluster, Xeon X5560/X5650 2.8/2.66 Ghz, QDR Infinband","United States",251.866600298656,502.25,138,"Derived"
187,"  Government","HP","Cluster Platform 3000 BL280c G6, Xeon X5670 6C 2.93GHz, Gigabit Ethernet","United Kingdom",250.826739130435,460,155,"Top500"
188,"  Lawrence Livermore National Laboratory","Dell","Dell Xanadu 3 Cluster, Xeon X5660 2.8 Ghz, QLogic InfiniBand QDR","United States",241.965918657648,688.94,105,"Derived"
189,"  Total Exploration Production","SGI","SGI Altix ICE 8200EX, Xeon quad core 3.0 GHz","France",240.045248868778,442,173,"Top500"
190,"  Clemson University","Dell/Sun/IBM","PE1950/SF X2200/iDPx/IBM dx340/HP DL165 Intel 53xx/54xx 2.33, Opteron 2.3, E5410 2.33GHz Myrinet 10G","United States",237.269878574226,408.48,194,"Derived"
191,"  CLUMEQ - Universit Laval","Sun","Sun Blade x6048, Xeon X5560 2.8 Ghz, Infiniband QDR","Canada",232.439759036145,332,314,"Top500"
192,"  Financial Services (H)","IBM","BladeCenter HS22 Cluster (WM), Xeon L5640 6C 2.260GHz, Gigabit Ethernet","United States",232.37788974511,337.4,306,"Submission"
193,"  Financial Services (H)","IBM","BladeCenter HS22 Cluster (WM), Xeon L5640 6C 2.26 GHz, Gigabit Ethernet","United States",232.354344122658,293.5,415,"Submission"
194,"  Web Company (F)","HP","Cluster Platform SL170s/160z, Xeon X5650 6C 2.66 GHz, Gigabit Ethernet","United States",232.117479867361,295.54,405,"Derived"
195,"  Web Company (F)","HP","Cluster Platform SL170s/160z, Xeon X5650 6C 2.66 GHz, Gigabit Ethernet","United States",232.117479867361,295.54,406,"Derived"
196,"  Tsinghua University","Inspur","Inspur TS10000 HPC Server, Xeon X56xx 2.93 Ghz, QDR Infiniband","China",231.420272435897,399.36,211,"Derived"
197,"  Japan Atomic Energy Agency (JAEA)","Fujitsu","BX900 Xeon X5570 2.93GHz , Infiniband QDR","Japan",230.324909747292,831,84,"Top500"
198,"  Geoscience (P)","HP","Cluster Platform SL170s, Xeon X5650 6C 2.66GHz, Infiniband QDR","United States",230.148094000433,369.36,269,"Derived"
199,"  US Army Research Laboratory (ARL)","SGI","SGI Altix ICE 8200 Enhanced LX, Xeon Nehalem quad core 2.8 GHz","United States",230.105263157895,475,164,"Top500"
200,"  Commissariat a l'Energie Atomique (CEA)","Bull","Bull bullx super-node S6010/S6030","France",228.758169934641,4590,17,"Top500"
201,"  Institute of Physical and Chemical Res. (RIKEN)","Fujitsu","RIKEN Intergrated Cluster of Clusters, Xeon X5570 2.93GHz, Infiniband DDR","Japan",227.884033691656,429.78,190,"Derived"
202,"  Commissariat a l'Energie Atomique (CEA)/CCRT","Bull","BULL Novascale R422-E2","France",227.463312368973,477,168,"Top500"
203,"  University of Tokyo/Institute for Solid State Physics","SGI","SGI Altix ICE 8400EX Xeon X5570 4-core 2.93 GHz, Infiniband","Japan",225.034770514604,719,110,"Top500"
204,"  DOE/SC/Pacific Northwest National Laboratory","Atipa","Atipa Cluster, Opteron 6272 16C 2.100GHz, Infiniband QDR","United States",224.12,456,179,"Derived"
205,"  Grand Equipement National de Calcul Intensif - Centre Informatique National de l'Enseignement Suprieur (GENCI-CINES)","SGI","SGI Altix ICE 8200EX, Xeon E5472 3.0/X5560 2.8 GHz","France",223.496240601504,1064,75,"Top500"
206,"  Lawrence Livermore National Laboratory","Dell","Dell Xanadu 3 Cluster, Xeon X5660 2.8 Ghz, QLogic InfiniBand QDR","United States",222.947368421053,475,174,"Derived"
207,"  Network Company","IBM","BladeCenter HS22 Cluster (WM), Xeon E5649 6C 2.53 GHz, Gigabit Ethernet","China",220.935711140467,454.2,186,"Submission"
208,"  Banking (M)","IBM","BladeCenter HS22 Cluster (WM), Xeon E5649 6C 2.530GHz, Gigabit Ethernet","United States",220.896485004837,310.1,407,"Submission"
209,"  University of Southern California","Dell/Sun/IBM","PowerEdge 1950/SunFire X2200/IBM dx340/dx360/HP SL160/DL165, Xeon/Opteron 2.3-2.67GHz, Myrinet 10G","United States",220.421727494633,680.06,120,"Derived"
210,"  Texas Advanced Computing Center/Univ. of Texas","Sun","SunBlade x6420, Opteron QC 2.3 Ghz, Infiniband","United States",216.6,2000,40,"Top500"
211,"  KISTI Supercomputing Center","Sun","Sun Blade x6048,  X6275, IB QDR M9 switch, Sun HPC stack Linux edition","Korea, South",215.529411764706,1275,64,"Top500"
212,"  Digital Media","IBM","iDataPlex DX360M3, Xeon E5645 6C 2.400GHz, Gigabit Ethernet","United States",215.405484247375,342.8,362,"Submission"
213,"  Digital Media","IBM","iDataPlex DX360M3, Xeon E5645 6C 2.400GHz, Gigabit Ethernet","United States",215.405484247375,342.8,363,"Submission"
214,"  Semiconductor Company","IBM","xSeries iDataPlex, Xeon X5650 6C 2.66 GHz, Gigabit Ethernet","United States",215.388334844364,330.9,378,"Submission"
215,"  Financial Institution (P)","IBM","iDataPlex DX360M3, Xeon X5650 6C 2.660GHz, Gigabit Ethernet","United Kingdom",215.351380042463,376.8,292,"Submission"
216,"  Defense","IBM","BladeCenter HS21 Cluster, Xeon QC HT 2.83 GHz, Infiniband","United States",214.792214623882,380.2,287,"Submission"
217,"  Defense","IBM","BladeCenter HS21 Cluster, Xeon QC HT 2.83 GHz, Infiniband","United States",214.792214623882,380.2,288,"Submission"
218,"  Defense","IBM","BladeCenter HS21 Cluster, Xeon QC HT 2.83 GHz, Infiniband","United States",214.792214623882,380.2,289,"Submission"
219,"  Defense","IBM","BladeCenter HS21 Cluster, Xeon QC HT 2.83 GHz, Infiniband","United States",214.792214623882,380.2,290,"Submission"
220,"  Netwok Equipment Provider","IBM","BladeCenter HS22 Cluster (WM), Xeon X5650 6C 2.66 GHz, Gigabit Ethernet","Germany",210.950643776824,372.8,305,"Submission"
221,"  Classified","IBM","BladeCenter HS22 Cluster (WM), Xeon X5650 6C 2.660GHz, Gigabit Ethernet","United Kingdom",210.934417040359,356.8,349,"Submission"
222,"  Telecommunication Company","IBM","BladeCenter HS22 Cluster, WM Xeon 6-core 2.66Ghz, GigE","United States",210.907192575406,301.7,469,"Submission"
223,"  Banking (M)","IBM","xSeries x3650 Cluster Xeon QC GT 2.66 GHz, Infiniband","United States",210.501677852349,298,479,"Submission"
224,"  ERDC DSRC","SGI","SGI Altix ICR 8200 Enh. LX, Xeon X5560 2.8Ghz","United States",206.976744186047,774,111,"Top500"
225,"  Banking (M)","IBM","BladeCenter HX5, Xeon E7-2860 10C 2.260GHz, Gigabit Ethernet","United States",206.520128479657,467,197,"Submission"
226,"  Rensselaer Polytechnic Institute, Computational Center for Nanotechnology Innovations","IBM","eServer Blue Gene Solution","United States",204,358,371,"Submission"
227,"  Stony Brook/BNL, New York Center for Computational Sciences","IBM","eServer Blue Gene Solution","United States",203.873449131514,403,284,"Submission"
228,"  IBM Thomas J. Watson Research Center","IBM","eServer Blue Gene Solution","United States",203.772321428571,448,222,"Submission"
229,"  Communications","IBM","BladeCenter HS22 Cluster, WM Xeon 6-core 2.93Ghz, GigE","Israel",201.609472743521,335.7,418,"Submission"
230,"  Communications","IBM","BladeCenter HS22 Cluster, WM Xeon 6-core 2.93Ghz, GigE","Israel",201.609472743521,335.7,419,"Submission"
231,"  Telecommunication Company","IBM","BladeCenter HS22 Cluster (WM), Xeon X5670 6C 2.93 GHz, Gigabit Ethernet","China",201.607893885474,309.1,482,"Submission"
232,"  Government","IBM","BladeCenter HS22 Cluster (WM), Xeon X5670 6C 2.93 GHz, Gigabit Ethernet","United States",201.602765556254,318.2,464,"Submission"
233,"  Communications","IBM","BladeCenter HS22 Cluster, WM Xeon 6-core 2.93Ghz, GigE","Israel",200.816748513828,386.9,309,"Submission"
234,"  US Army Research Laboratory (ARL)","SGI","SGI Altix ICE 8200 Enhanced LX, Xeon X5560 quad core 2.8 GHz","United States",200,350,386,"Top500"
235,"  Banking (M)","IBM","xSeries x3850M2 Cluster Xeon QC GT 2.53 GHz, GigEthernet","United States",196.788140827671,323.8,468,"Submission"
236,"  Telecommunication Company","IBM","iDataPlex DX360M3, Xeon E5649 6C 2.530GHz, Gigabit Ethernet","China",195.994590095714,480.6,205,"Submission"
237,"  Telecommunication Company","IBM","iDataPlex DX360M3, Xeon E5649 6C 2.530GHz, Gigabit Ethernet","China",195.994590095714,480.6,206,"Submission"
238,"  Telecommunication Company","IBM","iDataPlex DX360M3, Xeon E5649 6C 2.530GHz, Gigabit Ethernet","China",195.994590095714,480.6,207,"Submission"
239,"  Telecommunication Company","IBM","iDataPlex DX360M3, Xeon E5649 6C 2.530GHz, Gigabit Ethernet","China",195.994590095714,480.6,208,"Submission"
240,"  Financial Services (H)","IBM","iDataPlex DX360M3, Xeon E5649 6C 2.53 GHz, Gigabit Ethernet","United States",195.986332147538,534.1,176,"Submission"
241,"  Retail","HP","HP SL390s/170s  G7, Xeon X5675 6C 3.06 GHz, Gigabit Ethernet","United States",195.536083540116,386.88,344,"Derived"
242,"  University of Cologne, Regional Computing Centre","Bull","Bullx Supernode/Blade  Xeon X5550/X5650 2.66 Ghz, Infiniband","Germany",195.449374288965,439.5,256,"Derived"
243,"  Cambridge University","Dell","Dell PowerEdge C6220, Xeon E5-2670 8C 2.600GHz, Infiniband FDR","United Kingdom",188.081025641026,975,93,"Top500"
244,"  Internet Service","IBM","xSeries x3650M2 Cluster, Xeon QC E55xx 2.53 Ghz, GigE","China",186.198441360958,526.1,188,"Submission"
245,"  Internet Service","IBM","xSeries x3650M2 Cluster, Xeon QC E55xx 2.53 Ghz, GigE","China",186.198441360958,526.1,189,"Submission"
246,"  Internet Service","IBM","xSeries x3650M3, Xeon X56xx 2.53 GHz, GigE","China",185.79162132753,367.6,413,"Submission"
247,"  Service Provider","IBM","xSeries x3650M3 Cluster, Xeon E5649 6C 2.530GHz, Gigabit Ethernet","Japan",185.783996299722,432.4,295,"Submission"
248,"  Service Provider","IBM","xSeries x3650M3 Cluster, Xeon E5649 6C 2.530GHz, Gigabit Ethernet","Japan",185.783996299722,432.4,296,"Submission"
249,"  Internet Service","IBM","xSeries x3650 Cluster, Xeon E5649 6C 2.530GHz, Gigabit Ethernet","China",185.783795248869,707.2,132,"Submission"
250,"  Internet Service","IBM","xSeries x3650 Cluster, Xeon E5649 6C 2.530GHz, Gigabit Ethernet","China",185.782559456399,441.5,285,"Submission"
251,"  Banking (M)","IBM","xSeries x3650 Cluster, Xeon E5649 6C 2.530GHz, Gigabit Ethernet","United States",185.781503515414,369.8,401,"Submission"
252,"  Banking (M)","IBM","xSeries x3650 Cluster, Xeon E5649 6C 2.530GHz, Gigabit Ethernet","United States",185.781503515414,369.8,402,"Submission"
253,"  Banking (M)","IBM","xSeries x3650 Cluster, Xeon E5649 6C 2.530GHz, Gigabit Ethernet","United States",185.781503515414,369.8,403,"Submission"
254,"  Internet Service","IBM","xSeries x3650 Cluster, Xeon E5649 6C 2.530GHz, Gigabit Ethernet","China",185.779631760644,347.6,460,"Submission"
255,"  Service Provider","IBM","xSeries x3650M3 Cluster, Xeon E5649 6C 2.530GHz, Gigabit Ethernet","Japan",185.779236566983,411.3,337,"Submission"
256,"  Service Provider","IBM","xSeries x3650M3 Cluster, Xeon E5649 6C 2.530GHz, Gigabit Ethernet","Japan",185.779236566983,411.3,338,"Submission"
257,"  Electronics","IBM","xSeries x3650M3 Cluster, Xeon E5649 6C 2.530GHz, Gigabit Ethernet","China",185.778097982709,416.4,310,"Submission"
258,"  Electronics","IBM","xSeries x3650M3 Cluster, Xeon E5649 6C 2.530GHz, Gigabit Ethernet","China",185.778097982709,416.4,311,"Submission"
259,"  Service Provider","IBM","xSeries x3550M3 Cluster, Xeon E5649 6C 2.530GHz, Gigabit Ethernet","China",185.774166195591,353.8,444,"Submission"
260,"  Service Provider","IBM","xSeries x3550M3 Cluster, Xeon E5649 6C 2.530GHz, Gigabit Ethernet","China",185.774166195591,353.8,445,"Submission"
261,"  Internet Service","IBM","xSeries x3650 Cluster, Xeon E5649 6C 2.530GHz, Gigabit Ethernet","China",185.768378650554,496.5,213,"Submission"
262,"  Internet Service","IBM","xSeries x3650 Cluster, Xeon E5649 6C 2.530GHz, Gigabit Ethernet","China",185.768378650554,496.5,214,"Submission"
263,"  Internet Service","IBM","xSeries x3650 Cluster, Xeon E5649 6C 2.530GHz, Gigabit Ethernet","China",185.768378650554,496.5,215,"Submission"
264,"  Internet Service","IBM","xSeries x3650 Cluster, Xeon E5649 6C 2.530GHz, Gigabit Ethernet","China",185.768378650554,496.5,216,"Submission"
265,"  Internet Service","IBM","xSeries x3650 Cluster, Xeon E5649 6C 2.530GHz, Gigabit Ethernet","China",185.768378650554,496.5,217,"Submission"
266,"  Internet Service","IBM","xSeries x3650 Cluster, Xeon E5649 6C 2.530GHz, Gigabit Ethernet","China",185.768378650554,496.5,218,"Submission"
267,"  Internet Service","IBM","xSeries x3650 Cluster, Xeon E5649 6C 2.530GHz, Gigabit Ethernet","China",185.768378650554,496.5,219,"Submission"
268,"  Internet Service","IBM","xSeries x3650 Cluster, Xeon E5649 6C 2.530GHz, Gigabit Ethernet","China",185.768378650554,496.5,220,"Submission"
269,"  Internet Service","IBM","xSeries x3650M3, Xeon X56xx 2.53 GHz, GigE","China",185.762543467461,402.6,353,"Submission"
270,"  Internet Service","IBM","xSeries x3650M3, Xeon X56xx 2.53 GHz, GigE","China",185.762543467461,402.6,354,"Submission"
271,"  Internet Service","IBM","xSeries x3650M3, Xeon X56xx 2.53 GHz, GigE","China",185.762543467461,402.6,355,"Submission"
272,"  University of Chicago","Cray Inc.","Cray XE6 12-core 2.1 GHz","United States",185.710067906702,677.4,140,"Top500"
273,"  Korea Meteorological Administration","Cray Inc.","Cray XE6 12-core 2.1 GHz","Korea, South",184.856274830568,1711.6,55,"Top500"
274,"  Korea Meteorological Administration","Cray Inc.","Cray XE6 12-core 2.1 GHz","Korea, South",184.856274830568,1711.6,56,"Top500"
275,"  Network Company (B)","IBM","xSeries x3650M3 Cluster, Xeon X5650 6C 2.66 GHz, Gigabit Ethernet","United States",181.793086893903,416.6,343,"Submission"
276,"  Purdue University","HP","HP Cluster Platform 4000 DL165 G7 Cluster, Opteron 12-core 2.1 Ghz, 10G","United States",181.792721137624,414.9,345,"Derived"
277,"  Financial Institution","IBM","xSeries x3650M3, Xeon X56xx 2.66 GHz, GigE","Japan",181.78302433372,690.4,141,"Submission"
278,"  Information Service","IBM","xSeries x3550M3 Cluster, Xeon X5650 6C 2.66 GHz, Gigabit Ethernet","France",181.779807454949,405.1,365,"Submission"
279,"  Internet Service","IBM","xSeries x3650M3 Cluster, Xeon X5650 6C 2.66 GHz, Gigabit Ethernet","China",181.76512455516,421.5,320,"Submission"
280,"  Internet Service","IBM","xSeries x3650M3 Cluster, Xeon X5650 6C 2.66 GHz, Gigabit Ethernet","China",181.76512455516,421.5,321,"Submission"
281,"  Internet Service","IBM","xSeries x3650M3 Cluster, Xeon X5650 6C 2.66 GHz, Gigabit Ethernet","China",181.76512455516,421.5,322,"Submission"
282,"  Internet Service","IBM","xSeries x3650M3 Cluster, Xeon X5650 6C 2.66 GHz, Gigabit Ethernet","China",181.76512455516,421.5,323,"Submission"
283,"  Internet Service","IBM","xSeries x3650M3 Cluster, Xeon X5650 6C 2.66 GHz, Gigabit Ethernet","China",181.76512455516,421.5,324,"Submission"
284,"  Internet Service","IBM","xSeries x3650M3 Cluster, Xeon X5650 6C 2.66 GHz, Gigabit Ethernet","China",181.76512455516,421.5,325,"Submission"
285,"  Internet Service","IBM","xSeries x3650M3 Cluster, Xeon X5650 6C 2.66 GHz, Gigabit Ethernet","China",181.76512455516,421.5,326,"Submission"
286,"  Internet Service","IBM","xSeries x3650M3 Cluster, Xeon X5650 6C 2.66 GHz, Gigabit Ethernet","China",181.76512455516,421.5,327,"Submission"
287,"  Internet Service","IBM","xSeries x3650M3 Cluster, Xeon X5650 6C 2.66 GHz, Gigabit Ethernet","China",181.76512455516,421.5,328,"Submission"
288,"  Internet Service","IBM","xSeries x3650M3 Cluster, Xeon X5650 6C 2.66 GHz, Gigabit Ethernet","China",181.76512455516,421.5,329,"Submission"
289,"  Internet Service","IBM","xSeries x3650M3 Cluster, Xeon X5650 6C 2.66 GHz, Gigabit Ethernet","China",181.76512455516,421.5,330,"Submission"
290,"  Internet Service","IBM","xSeries x3650M3 Cluster, Xeon X5650 6C 2.66 GHz, Gigabit Ethernet","China",181.76512455516,421.5,331,"Submission"
291,"  Service Provider","IBM","xSeries x3650M3 Cluster, Xeon X5650 6C 2.66 GHz, Gigabit Ethernet","Japan",181.75866851595,360.5,448,"Submission"
292,"  Service Provider","IBM","xSeries x3650M3 Cluster, Xeon X5650 6C 2.66 GHz, Gigabit Ethernet","Japan",181.75866851595,360.5,449,"Submission"
293,"  Service Provider","IBM","xSeries x3650M3 Cluster, Xeon X5650 6C 2.66 GHz, Gigabit Ethernet","Japan",181.75866851595,360.5,450,"Submission"
294,"  Shanghai Supercomputer Center","Dawning","Dawning 5000A, QC Opteron 1.9 Ghz, Infiniband, Windows HPC 2008","China",180.6,1000,94,"Submission"
295,"  NOAA Environmental Security Computer Center","SGI","SGI Altix ICE 8400EX, Xeon X56xx (Westmere-EP) 3.47 GHz, Infiniband QDR","United States",180.065883190883,898.56,109,"Derived"
296,"  IT Service Provider (B)","IBM","BladeCenter HS22 Cluster, Xeon E5540 4C 2.53 GHz, Gigabit Ethernet","United States",178.940066592675,360.4,461,"Submission"
297,"  IT Service Provider (B)","IBM","BladeCenter HS22 Cluster, Xeon QC X55xx 2.53 GHz, GigEthernet","United States",178.940066592675,360.4,462,"Submission"
298,"  Logistics","IBM","BladeCenter HS22 Cluster, Xeon QC E5xx 2.53 GHz, GigEthernet","Germany",178.92448759439,370.8,432,"Submission"
299,"  IT Services Provider (C)","IBM","BladeCenter HS22 Cluster, Xeon QC X55xx 2.53 GHz, GigEthernet","United States",178.923561408531,349.3,480,"Submission"
300,"  IT Services Provider (C)","IBM","BladeCenter HS22 Cluster, Xeon QC X55xx 2.53 GHz, GigEthernet","United States",178.923561408531,349.3,481,"Submission"
301,"  Retail","HP","Cluster Platform SL170s, Xeon X5675 6C 3.06GHz, Gigabit Ethernet","United States",178.251183514341,430.92,315,"Derived"
302,"  Retail","HP","Cluster Platform SL170s, Xeon X5675 6C 3.06GHz, Gigabit Ethernet","United States",178.251183514341,430.92,316,"Derived"
303,"  Telecommunication Company","IBM","BladeCenter HS22 Cluster, Xeon QC GT 2.53 GHz, GigEthernet","China",178.223174214606,490.2,247,"Submission"
304,"  Financial Institution (P)","IBM","BladeCenter HS22 Cluster, Xeon E5540 4C 2.53 GHz, Gigabit Ethernet","United Kingdom",178.220168742467,497.8,237,"Submission"
305,"  Forschungszentrum Juelich (FZJ)","Bull","Sun Constellation, NovaScale R422-E2, Intel Xeon X5570, 2.93 GHz, Sun M9/Mellanox  QDR Infiniband/Partec Parastation","Germany",177.404777275662,1549,63,"Top500"
306,"  Bank (J)","IBM","xSeries x3650M3, Xeon X56xx 2.93 GHz, GigE","United Kingdom",177.029854554733,391.9,395,"Submission"
307,"  Bank (J)","IBM","xSeries x3650M3, Xeon X56xx 2.93 GHz, GigE","United Kingdom",177.029854554733,391.9,396,"Submission"
308,"  Government","IBM","xSeries x3650M3 Cluster, Xeon X5670 6C 2.93 GHz, Gigabit Ethernet","United States",177.003477942522,546.3,195,"Submission"
309,"  Banking (M)","IBM","xSeries x3650M3, Xeon X56xx 2.93 GHz, GigE","United States",177.003034901366,395.4,387,"Submission"
310,"  Banking (M)","IBM","xSeries x3650M3, Xeon X56xx 2.93 GHz, GigE","United States",177.003034901366,395.4,388,"Submission"
311,"  Banking (M)","IBM","xSeries x3650M3, Xeon X56xx 2.93 GHz, GigE","United States",177.003034901366,395.4,389,"Submission"
312,"  Engineering Company","IBM","xSeries x3650M3 Cluster, Xeon X5670 6C 2.93 GHz, Gigabit Ethernet","China",177,387,408,"Submission"
313,"  Engineering Company","IBM","xSeries x3650M3 Cluster, Xeon X5670 6C 2.93 GHz, Gigabit Ethernet","China",177,387,409,"Submission"
314,"  Engineering Company","IBM","xSeries x3650M3 Cluster, Xeon X5670 6C 2.93 GHz, Gigabit Ethernet","China",177,387,410,"Submission"
315,"  Engineering Company","IBM","xSeries x3650M3 Cluster, Xeon X5670 6C 2.93 GHz, Gigabit Ethernet","China",177,387,411,"Submission"
316,"  Banking (M)","IBM","xSeries x3650M3 Cluster, Xeon X5670 6C 2.93 GHz, Gigabit Ethernet","United States",176.995158074623,351.1,486,"Submission"
317,"  Banking (M)","IBM","xSeries x3650M3 Cluster, Xeon X5670 6C 2.93 GHz, Gigabit Ethernet","United States",176.995158074623,351.1,487,"Submission"
318,"  Banking (M)","IBM","xSeries x3650M3 Cluster, Xeon X5670 6C 2.93 GHz, Gigabit Ethernet","United States",176.995158074623,351.1,488,"Submission"
319,"  Banking (M)","IBM","xSeries x3650M3 Cluster, Xeon X5670 6C 2.93 GHz, Gigabit Ethernet","United States",176.995158074623,351.1,489,"Submission"
320,"  Banking (M)","IBM","xSeries x3650M3 Cluster, Xeon X5670 6C 2.93 GHz, Gigabit Ethernet","United States",176.995158074623,351.1,490,"Submission"
321,"  Banking (M)","IBM","xSeries x3650M3 Cluster, Xeon X5670 6C 2.93 GHz, Gigabit Ethernet","United States",176.995158074623,351.1,491,"Submission"
322,"  Service Provider","IBM","BladeCenter HS22 Cluster, Xeon QC GT 2.53 GHz, GigEthernet","United States",176.199304750869,431.5,341,"Submission"
323,"  Engineering Company","IBM","BladeCenter HS22 Cluster, Xeon QC GT 2.66 GHz, GigEthernet","China",172.387202625103,365.7,473,"Submission"
324,"  Engineering Company","IBM","BladeCenter HS22 Cluster, Xeon QC GT 2.66 GHz, GigEthernet","China",172.387202625103,365.7,474,"Submission"
325,"  Engineering Company","IBM","BladeCenter HS22 Cluster, Xeon QC GT 2.66 GHz, GigEthernet","China",172.387202625103,365.7,475,"Submission"
326,"  Government","Cray Inc.","Cray XE6 12-core 2.2 GHz","United States",171.173362991798,1726.32,60,"Derived"
327,"  Atomic Weapons Establishment","Bull","Bullx B500 Cluster, Xeon X56xx 2.8Ghz, QDR Infiniband","United Kingdom",169.148690658811,736.63,144,"Derived"
328,"  Computational Research Laboratories, TATA SONS","HP","Cluster Platform 3000 BL460c, Xeon X5365 4C 3.000GHz, Infiniband DDR","India",168.956743002545,786,129,"Top500"
329,"  Financial Institution (P)","IBM","iDataPlex, Xeon E55xx QC 2.26 GHz, GigEthernet","France",167.157698454981,375.4,478,"Submission"
330,"  University of Colorado","Dell","PowerEdge C6100 Cluster, Xeon X5660 2.8 Ghz, Infiniband","United States",166.739702015776,912.8,119,"Derived"
331,"  Semiconductor Company (C)","IBM","BladeCenter HS22 Cluster, Xeon QC GT 2.93 GHz, GigEthernet","United States",166.12962962963,486,293,"Submission"
332,"  Naval Oceanographic Office - NAVO DSRC","Cray Inc.","Cray XT5 QC 2.4 GHz","United States",163.949736797419,588.9,196,"Derived"
333,"  Bull","Bull","Bull bullx super-node S6010/S6030","France",161.981481481482,540,244,"Derived"
334,"  Research Center","HP","HP DL160 Cluster G6, Xeon X5650 6C 2.660GHz, Gigabit Ethernet","China",156.052410901468,477,357,"Derived"
335,"  Web Company (F)","HP","Cluster Platform SL160z, Xeon X5650 6C 2.66GHz, Gigabit Ethernet","United States",155.581489956776,393.3,498,"Derived"
336,"  Texas Tech University","Dell","Poweredge Cluster, Xeon X5660 2.8Ghz, Infiniband DDR","United States",155.547960811119,438.9,414,"Derived"
337,"  Logistic Services (E)","HP","Cluster Platform SL160z, Xeon X5550 4C 2.66 GHz, Gigabit Ethernet","United States",154.76657965859,432.91,424,"Derived"
338,"  New Mexico Computing Applications Center (NMCAC)","SGI","SGI Altix ICE 8200, Xeon quad core 3.0 GHz","United States",154.703832752613,861,128,"Top500"
339,"  Logistic Services (E)","HP","Cluster Platform SL160z, Xeon X5550 4C 2.66 GHz, Gigabit Ethernet","United States",154.585632880154,445.74,399,"Derived"
340,"  Logistic Services (E)","HP","Cluster Platform SL160z, Xeon X5550 4C 2.66 GHz, Gigabit Ethernet","United States",154.223599865047,474.24,368,"Derived"
