green500_rank,Rmax,total_power,Mflops/Watt,How?,Year,Computer,Total Cores,Name,Manufacturer,top500_rank,Site,Country,RPeak,Segment,Accelerator/Co-Processor Cores,Nmax,Architecture,Processor,Processor_Family,Proc_Frequency,OS,OS Family,Accelerator/Co-Processor,Cores per Socket,Processor Generation,System Model,System Family,Interconnect Family,Interconnect,Region,Continent
12,188967,82.19,2299.148315,Submission,2011,"BlueGene/Q, Power BQC 16C 1.60 GHz, Custom",16384,,IBM,220,IBM Thomas J. Watson Research Center,United States,209715,Research,0,1409023,MPP,Power BQC 16C 1.600GHz,PowerPC,1600,Linux,Linux,None,16,Power BQC,BlueGene/Q,IBM BlueGene,Custom Interconnect,Custom Interconnect,North America,Americas
13,188967,82.19,2299.148315,Submission,2012,"BlueGene/Q, Power BQC 16C 1.600GHz, Custom Interconnect",16384,Cetus,IBM,217,DOE/SC/Argonne National Laboratory,United States,209715,Research,0,1409023,MPP,Power BQC 16C 1.600GHz,PowerPC,1600,Linux,Linux,None,16,Power BQC,BlueGene/Q,IBM BlueGene,Custom Interconnect,Custom Interconnect,North America,Americas
14,188967,82.19,2299.148315,Submission,2012,"BlueGene/Q, Power BQC 16C 1.600GHz, Custom Interconnect",16384,,IBM,221,"Interdisciplinary Centre for Mathematical and Computational Modelling, University of Warsaw",Poland,209715,Academic,0,1409023,MPP,Power BQC 16C 1.600GHz,PowerPC,1600,Linux,Linux,None,16,Power BQC,BlueGene/Q,IBM BlueGene,Custom Interconnect,Custom Interconnect,Eastern Europe,Europe
15,188967,82.19,2299.148315,Submission,2013,"BlueGene/Q, Power BQC 16C 1.600GHz, Custom Interconnect",16384,,IBM,219,IBM Rochester,United States,209715,Vendor,0,1409023,MPP,Power BQC 16C 1.600GHz,PowerPC,1600,Linux,Linux,None,16,Power BQC,BlueGene/Q,IBM BlueGene,Custom Interconnect,Custom Interconnect,North America,Americas
16,188967,82.19,2299.148315,Submission,2012,"BlueGene/Q, Power BQC 16C 1.60GHz, Custom",16384,Vesta,IBM,216,DOE/SC/Argonne National Laboratory,United States,209715,Research,0,1409023,MPP,Power BQC 16C 1.600GHz,PowerPC,1600,Linux,Linux,None,16,Power BQC,BlueGene/Q,IBM BlueGene,Custom Interconnect,Custom Interconnect,North America,Americas
17,188967,82.19,2299.148315,Submission,2012,"BlueGene/Q, Power BQC 16C 1.60GHz, Custom",16384,,IBM,222,University of Rochester,United States,209715,Academic,0,1409023,MPP,Power BQC 16C 1.600GHz,PowerPC,1600,Linux,Linux,None,16,Power BQC,BlueGene/Q,IBM BlueGene,Custom Interconnect,Custom Interconnect,North America,Americas
18,531600,237,2243.037975,Top500,2013,"Cluster Platform SL250s Gen8, Xeon E5-2665 8C 2.400GHz, Infiniband FDR, Nvidia K20m",10920,HPCC,Hewlett-Packard,60,University of Southern California,United States,690352,Academic,6760,1377280,Cluster,Xeon E5-2665 8C 2.400GHz,Intel SandyBridge,2400,Linux,Linux,Nvidia K20m,8,Intel Xeon E5 (SandyBridge),Cluster Platform SL250s Gen8,HP Cluster Platform 3000SL,Infiniband,Infiniband FDR,North America,Americas
19,4293306,1972,2177.13286,Submission,2012,"BlueGene/Q, Power BQC 16C 1.600GHz, Custom Interconnect",393216,Vulcan,IBM,9,DOE/NNSA/LLNL,United States,5033165,Research,0,0,MPP,Power BQC 16C 1.600GHz,PowerPC,1600,Linux,Linux,None,16,Power BQC,BlueGene/Q,IBM BlueGene,Custom Interconnect,Custom Interconnect,North America,Americas
20,5008857,2301,2176.817471,Submission,2012,"BlueGene/Q, Power BQC 16C 1.600GHz, Custom Interconnect",458752,JUQUEEN,IBM,8,Forschungszentrum Juelich (FZJ),Germany,5872025.6,Research,0,0,MPP,Power BQC 16C 1.600GHz,PowerPC,1600,Linux,Linux,None,16,Power BQC,BlueGene/Q,IBM BlueGene,Custom Interconnect,Custom Interconnect,Western Europe,Europe
21,894439,410.9,2176.780239,Submission,2012,"BlueGene/Q, Power BQC 16C 1.60GHz, Custom",81920,,IBM,38,Rensselaer Polytechnic Institute,United States,1048576,Academic,0,0,MPP,Power BQC 16C 1.600GHz,PowerPC,1600,Linux,Linux,None,16,Power BQC,BlueGene/Q,IBM BlueGene,Custom Interconnect,Custom Interconnect,North America,Americas
22,1073327,493.12,2176.604072,Submission,2012,"BlueGene/Q, Power BQC 16C 1.60GHz, Custom",98304,DiRAC,IBM,27,University of Edinburgh,United Kingdom,1258291,Academic,0,0,MPP,Power BQC 16C 1.600GHz,PowerPC,1600,Linux,Linux,None,16,Power BQC,BlueGene/Q,IBM BlueGene,Custom Interconnect,Custom Interconnect,Northern Europe,Europe
23,536663,246.56,2176.602044,Submission,2012,"BlueGene/Q, Power BQC 16C 1.600GHz, Custom Interconnect",49152,HIMAWARI,IBM,57,High Energy Accelerator Research Organization /KEK,Japan,629146,Research,0,0,MPP,Power BQC 16C 1.600GHz,PowerPC,1600,Linux,Linux,None,16,Power BQC,BlueGene/Q,IBM BlueGene,Custom Interconnect,Custom Interconnect,Eastern Asia,Asia
24,536663,246.56,2176.602044,Submission,2012,"BlueGene/Q, Power BQC 16C 1.60GHz, Custom",49152,SAKURA,IBM,58,High Energy Accelerator Research Organization /KEK,Japan,629146,Research,0,0,MPP,Power BQC 16C 1.600GHz,PowerPC,1600,Linux,Linux,None,16,Power BQC,BlueGene/Q,IBM BlueGene,Custom Interconnect,Custom Interconnect,Eastern Asia,Asia
