Green500_Rank,Rmax,Power,How?,Mflops_Per_Watt,Total Cores,Year,Name,Manufacturer,Computer,Site,Country,Segment,Top500_Rank,Accelerator/Co-Processor Cores,Rpeak,Efficiency (%),Nmax,Architecture,Processor,Processor Technology,Processor Speed (MHz),Operating System,OS Family,Accelerator/Co-Processor,Cores per Socket,Processor Generation,System Model,System Family,Interconnect Family,Interconnect,Region,Continent
14,5008857,2301,Submission,2176.817471,458752,2012,JUQUEEN,IBM,"BlueGene/Q, Power BQC 16C 1.600GHz, Custom Interconnect",Forschungszentrum Juelich (FZJ),Germany,Research,7,0,5872025.6,85.3,0,MPP,Power BQC 16C 1.600GHz,PowerPC,1600,Linux,Linux,None,16,Power BQC,BlueGene/Q,IBM BlueGene,Custom Interconnect,Custom Interconnect,Western Europe,Europe
15,1073327,493.12,Submission,2176.604072,98304,2012,DiRAC,IBM,"BlueGene/Q, Power BQC 16C 1.60GHz, Custom",University of Edinburgh,United Kingdom,Academic,23,0,1258291,85.3,0,MPP,Power BQC 16C 1.600GHz,PowerPC,1600,Linux,Linux,None,16,Power BQC,BlueGene/Q,IBM BlueGene,Custom Interconnect,Custom Interconnect,Northern Europe,Europe
16,536663,246.56,Submission,2176.602044,49152,2012,HIMAWARI,IBM,"BlueGene/Q, Power BQC 16C 1.600GHz, Custom Interconnect",High Energy Accelerator Research Organization /KEK,Japan,Research,51,0,629146,85.3,0,MPP,Power BQC 16C 1.600GHz,PowerPC,1600,Linux,Linux,None,16,Power BQC,BlueGene/Q,IBM BlueGene,Custom Interconnect,Custom Interconnect,Eastern Asia,Asia
17,536663,246.56,Submission,2176.602044,49152,2012,SAKURA,IBM,"BlueGene/Q, Power BQC 16C 1.60GHz, Custom",High Energy Accelerator Research Organization /KEK,Japan,Research,50,0,629146,85.3,0,MPP,Power BQC 16C 1.600GHz,PowerPC,1600,Linux,Linux,None,16,Power BQC,BlueGene/Q,IBM BlueGene,Custom Interconnect,Custom Interconnect,Eastern Asia,Asia
18,1252214,575.31,Submission,2176.590012,114688,2012,Blue Joule,IBM,"BlueGene/Q, Power BQC 16C 1.60GHz, Custom",Science and Technology Facilities Council - Daresbury Laboratory,United Kingdom,Research,18,0,1468006,85.3,0,MPP,Power BQC 16C 1.600GHz,PowerPC,1600,Linux,Linux,None,16,Power BQC,BlueGene/Q,IBM BlueGene,Custom Interconnect,Custom Interconnect,Northern Europe,Europe
19,17173224,7890,Submission,2176.580989,1572864,2011,Sequoia,IBM,"BlueGene/Q, Power BQC 16C 1.60 GHz, Custom",DOE/NNSA/LLNL,United States,Research,3,0,20132659.2,85.3,0,MPP,Power BQC 16C 1.600GHz,PowerPC,1600,Linux,Linux,None,16,Power BQC,BlueGene/Q,IBM BlueGene,Custom Interconnect,Custom Interconnect,North America,Americas
20,715551,328.75,Submission,2176.580989,65536,2012,,IBM,"BlueGene/Q, Power BQC 16C 1.60GHz, Custom",CNRS/IDRIS-GENCI,France,Academic,37,0,838861,85.3,0,MPP,Power BQC 16C 1.600GHz,PowerPC,1600,Linux,Linux,None,16,Power BQC,BlueGene/Q,IBM BlueGene,Custom Interconnect,Custom Interconnect,Western Europe,Europe
21,715551,328.75,Submission,2176.580989,65536,2012,Zumbrota,IBM,"BlueGene/Q, Power BQC 16C 1.60GHz, Custom",EDF R&D,France,Industry,38,0,838861,85.3,0,MPP,Power BQC 16C 1.600GHz,PowerPC,1600,Linux,Linux,None,16,Power BQC,BlueGene/Q,IBM BlueGene,Custom Interconnect,Custom Interconnect,Western Europe,Europe
22,715551,328.75,Submission,2176.580989,65536,2012,Avoca,IBM,"BlueGene/Q, Power BQC 16C 1.60GHz, Custom",Victorian Life Sciences Computation Initiative,Australia,Research,39,0,838861,85.3,0,MPP,Power BQC 16C 1.600GHz,PowerPC,1600,Linux,Linux,None,16,Power BQC,BlueGene/Q,IBM BlueGene,Custom Interconnect,Custom Interconnect,Australia and New Zealand,Oceania
23,8586612,3945,Submission,2176.580989,786432,2012,Mira,IBM,"BlueGene/Q, Power BQC 16C 1.60GHz, Custom",DOE/SC/Argonne National Laboratory,United States,Research,5,0,10066330,85.3,0,MPP,Power BQC 16C 1.600GHz,PowerPC,1600,Linux,Linux,None,16,Power BQC,BlueGene/Q,IBM BlueGene,Custom Interconnect,Custom Interconnect,North America,Americas
24,1788878,821.88,Submission,2176.568355,163840,2012,Fermi,IBM,"BlueGene/Q, Power BQC 16C 1.60GHz, Custom",CINECA,Italy,Academic,12,0,2097152,85.3,0,MPP,Power BQC 16C 1.600GHz,PowerPC,1600,Linux,Linux,None,16,Power BQC,BlueGene/Q,IBM BlueGene,Custom Interconnect,Custom Interconnect,Southern Europe,Europe
25,357776,164.38,Submission,2176.517825,32768,2011,,IBM,"BlueGene/Q, Power BQC 16C 1.60 GHz, Custom",IBM - Rochester,United States,Vendor,74,0,419430.4,85.3,0,MPP,Power BQC 16C 1.600GHz,PowerPC,1600,Linux,Linux,None,16,Power BQC,BlueGene/Q,IBM BlueGene,Custom Interconnect,Custom Interconnect,North America,Americas
26,357776,164.38,Submission,2176.517825,32768,2011,,IBM,"BlueGene/Q, Power BQC 16C 1.60 GHz, Custom",IBM - Rochester,United States,Vendor,75,0,419430.4,85.3,0,MPP,Power BQC 16C 1.600GHz,PowerPC,1600,Linux,Linux,None,16,Power BQC,BlueGene/Q,IBM BlueGene,Custom Interconnect,Custom Interconnect,North America,Americas
27,357776,164.38,Submission,2176.517825,32768,2012,BGQ,IBM,"BlueGene/Q, Power BQC 16C 1.600GHz, Custom Interconnect",Southern Ontario Smart Computing Innovation Consortium/University of Toronto,Canada,Academic,77,0,419430.4,85.3,0,MPP,Power BQC 16C 1.600GHz,PowerPC,1600,Linux,Linux,None,16,Power BQC,BlueGene/Q,IBM BlueGene,Custom Interconnect,Custom Interconnect,North America,Americas
28,357776,164.38,Submission,2176.517825,32768,2012,,IBM,"BlueGene/Q, Power BQC 16C 1.60GHz, Custom",Rensselaer Polytechnic Institute,United States,Academic,76,0,419430.4,85.3,0,MPP,Power BQC 16C 1.600GHz,PowerPC,1600,Linux,Linux,None,16,Power BQC,BlueGene/Q,IBM BlueGene,Custom Interconnect,Custom Interconnect,North America,Americas
29,17590000,8209,Top500,2142.77013,560640,2012,Titan,Cray Inc.,"Cray XK7 , Opteron 6274 16C 2.200GHz, Cray Gemini interconnect, NVIDIA K20x",DOE/SC/Oak Ridge National Laboratory,United States,Research,2,261632,27112550,64.88,0,MPP,Opteron 6274 16C 2.200GHz,AMD x86_64,2200,Cray Linux Environment,Linux,NVIDIA K20x,16,"Opteron 6200 Series ""Interlagos""",Cray XK7,Cray XK,Cray Interconnect,Cray Gemini interconnect,North America,Americas
30,354200,181.7,Submission,1949.367089,28704,2012,MVS-10P,RSC Group,"RSC Tornado, Xeon E5-2690 8C 2.900GHz, Infiniband FDR, Intel Xeon Phi SE10X",Joint Supercomputer Center,Russia,Academic,72,25376,523577.6,71.76,1180160,Cluster,Xeon E5-2690 8C 2.900GHz,Intel SandyBridge,2900,Linux,Linux,Intel Xeon Phi SE10X,8,Intel Xeon E5 (SandyBridge),RSC Tornado,RSC Cluster,Infiniband,Infiniband FDR,Eastern Europe,Europe
31,417256,215.6,Submission,1935.324675,35568,2012,Discover,IBM,"iDataPlex DX360M4, Xeon E5-2670 8C 2.600GHz, Infiniband QDR, Intel Xeon Phi 5110P",NASA Center for Climate Simulation,United States,Government,65,28080,628842.24,66.35,960000,Cluster,Xeon E5-2670 8C 2.600GHz,Intel SandyBridge,2600,Linux,Linux,Intel Xeon Phi 5110P,8,Intel Xeon E5 (SandyBridge),iDataPlex DX360M4,IBM iDataPlex,Infiniband,Infiniband QDR,North America,Americas
32,33862700,17808,Top500,1901.54425,3120000,2013,Tianhe-2 (MilkyWay-2),NUDT,"TH-IVB-FEP Cluster, Intel Xeon E5-2692 12C 2.200GHz, TH Express-2, Intel Xeon Phi 31S1P",National University of Defense Technology,China,Research,1,2736000,54902400,61.68,9960000,Cluster,Intel Xeon E5-2692 12C 2.200GHz,Intel IvyBridge,2200,Kylin Linux,Linux,Intel Xeon Phi 31S1P,12,Intel Xeon E5 (IvyBridge),TH-IVB-FEP Cluster,TH-IVB Cluster,Custom Interconnect,TH Express-2,Eastern Asia,Asia
33,961861,510,Top500,1886.001961,77520,2013,Conte,Hewlett-Packard,"Cluster Platform SL250s Gen8, Xeon E5-2670 8C 2.600GHz, Infiniband FDR, Intel Xeon Phi 5110P",Purdue University,United States,Academic,28,68400,1341096,71.72,1649631,Cluster,Xeon E5-2670 8C 2.600GHz,Intel SandyBridge,2600,Linux,Linux,Intel Xeon Phi 5110P,8,Intel Xeon E5 (SandyBridge),Cluster Platform SL250s Gen8,HP Cluster Platform 3000SL,Infiniband,Infiniband FDR,North America,Americas
34,21410000,11501.98,Submission,1861.418643,19660080,2013,Sequoia-25,IBM,"BlueGene/Q, Power BQC 16C 1.60 GHz, Custom",DOE/NNSA/LLNL,United States,Research,,0,25165824,85.08,14942207,MPP,Power BQC 16C 1.600GHz,PowerPC,1600,Linux,Linux,None,16,Power BQC,BlueGene/Q,IBM BlueGene,Custom Interconnect,Custom Interconnect,North America,Americas
35,212912,132,Top500,1612.969697,17408,2012,Maia,SGI,"SGI Rackable C1104G-RP5, Xeon E5-2670 8C 2.600GHz, Infiniband FDR, Intel Xeon Phi",NASA/Ames Research Center/NAS,United States,Research,148,15360,301384,70.64,660480,Cluster,Xeon E5-2670 8C 2.600GHz,Intel SandyBridge,2600,SUSE Linux Enterprise Server 11,Linux,Intel Xeon Phi,8,Intel Xeon E5 (SandyBridge),SGI Rackable C1104G-RP5,Rackable Cluster,Infiniband,Infiniband FDR,North America,Americas
36,106800,72.8,Top500,1467.032967,8064,2012,Chundoong,ManyCoreSoft,"Chundoong Cluster, Xeon E5-2650 8C 2.000GHz, Infiniband QDR, AMD Radeon HD 7970",Seoul National University,"Korea, South",Academic,423,7168,226464,47.16,825344,Cluster,Xeon E5-2650 8C 2.000GHz,Intel SandyBridge,2000,Linux,Linux,AMD Radeon HD 7970,8,Intel Xeon E5 (SandyBridge),Chundoong Cluster,Chundoong Cluster,Infiniband,Infiniband QDR,Eastern Asia,Asia
37,597400,458.1249857,Derived,1304.010955,31288,2013,Big Red II,Cray Inc.,"Cray XK7 , Opteron 6276 16C 2.300GHz, Cray Gemini interconnect, NVIDIA K20",Indiana University,United States,Academic,46,8788,1000624,59.7,748800,MPP,Opteron 6276 16C 2.300GHz,AMD x86_64,2300,Cray Linux Environment,Linux,NVIDIA K20,16,"Opteron 6200 Series ""Interlagos""",Cray XK7,Cray XK,Cray Interconnect,Cray Gemini interconnect,North America,Americas
38,103200,81.5,Top500,1266.257669,5544,2011,,Bull SA,"Bullx B505, Xeon E5649 6C 2.53GHz, Infiniband QDR, NVIDIA 2090",Barcelona Supercomputing Center,Spain,Academic,442,4032,182881.44,56.43,437760,Cluster,Xeon E5649 6C 2.530GHz,Intel Nehalem,2530,Linux,Linux,NVIDIA 2090,6,Xeon 5600-series (Westmere-EP),Bullx B505,Bull Bullx,Infiniband,Infiniband QDR,Southern Europe,Europe
