Rank,TOP500 Rank,Name,Computer,Site,Manufacturer,Country,Year,Segment,Total Cores,Accelerator/Co-Processor Cores,Rmax [TFlop/s],Rpeak [TFlop/s],Power (kW),Power Source,Power Effeciency [GFlops/Watts],Power Source,Power Quality Level,Measured Cores,Optimized Run (HPL),Optimized Run (Peak Power),Architecture,Processor,Processor Technology,Processor Speed (MHz),Operating System,OS Family,Accelerator/Co-Processor,Cores per Socket,Processor Generation,System Model,System Family,Interconnect Family,Interconnect,Region,Continent,Site ID,System ID
1,359,Shoubu system B,"ZettaScaler-2.2, Xeon D-1571 16C 1.3GHz, Infiniband EDR, PEZY-SC2","Advanced Center for Computing and Communication, RIKEN",PEZY Computing / Exascaler Inc.,Japan,2016,Research,794400,793600,857.6264,1127.68,46.6,Submitted,18.404,,1,384,,,Cluster,Xeon D-1571 16C 1.3GHz,Intel Broadwell,1300,CentOS,Linux,PEZY-SC2 500Mhz,16,Intel Xeon E5 (Broadwell),ZettaScaler-2.2,Pezy/Exascaler Cluster,Infiniband,Infiniband EDR,Eastern Asia,Asia,50577,179165
2,419,Suiren2,"ZettaScaler-2.2, Xeon D-1571 16C 1.3GHz, Infiniband EDR, PEZY-SC2",High Energy Accelerator Research Organization /KEK,PEZY Computing / Exascaler Inc.,Japan,2017,Research,762624,761856,797.994,1082.573,47.4,Submitted,16.835,,1,256,,,Cluster,Xeon D-1571 16C 1.3GHz,Intel Broadwell,1300,CentOS,Linux,PEZY-SC2 500Mhz,16,Intel Xeon E5 (Broadwell),ZettaScaler-2.2,Pezy/Exascaler Cluster,Infiniband,Infiniband EDR,Eastern Asia,Asia,47988,179164
3,385,Sakura,"ZettaScaler-2.2, Xeon E5-2618Lv3  8C 2.3GHz, Infiniband EDR, PEZY-SC2",PEZY Computing K.K.,PEZY Computing / Exascaler Inc.,Japan,2016,Industry,794400,793600,824.6961,1127.68,49.51,Submitted,16.657,,1,800,,,Cluster,Xeon E5-2618Lv3  8C 2.3GHz,Intel Haswell,2300,CentOS,Linux,PEZY-SC2 500Mhz,8,Intel Xeon E5 (Haswell),ZettaScaler-2.2,Pezy/Exascaler Cluster,Infiniband,Infiniband EDR,Eastern Asia,Asia,50638,178807
4,227,DGX SaturnV Volta,"NVIDIA DGX-1 Volta36, Xeon E5-2698v4 20C 2.2GHz, Infiniband EDR, NVIDIA Tesla V100",NVIDIA Corporation,Nvidia,United States,2017,Industry,22440,21120,1070,1819.752,97,Optimized,15.113,Optimized,2,1320,937,62,Cluster,Xeon E5-2698v4 20C 2.2GHz,Intel Broadwell,2200,Ubuntu Linux,Linux,NVIDIA Tesla V100,20,Intel Xeon E5 (Broadwell),NVIDIA DGX-1 Volta36,NVIDIA DGX,Infiniband,Infiniband EDR,North America,Americas,48448,179166
5,1,Summit,"IBM Power System AC922, IBM POWER9 22C 3.07GHz, NVIDIA Volta GV100, Dual-rail Mellanox EDR Infiniband",DOE/SC/Oak Ridge National Laboratory,IBM,United States,2018,Research,2282544,2090880,122300,187659.268,8805.5,Submitted,13.889,,3,2282544,,,Cluster,IBM POWER9 22C 3.07GHz,Power,3070,RHEL 7.4,Linux,NVIDIA Volta GV100,22,IBM POWER9,IBM Power System AC922, IBM Power Systems,Infiniband,Dual-rail Mellanox EDR Infiniband,North America,Americas,48553,179397
6,19,TSUBAME3.0,"SGI ICE XA, IP139-SXM2, Xeon E5-2680v4 14C 2.4GHz, Intel Omni-Path, NVIDIA Tesla P100 SXM2","GSIC Center, Tokyo Institute of Technology",HPE,Japan,2017,Academic,135828,120736,8125,12127.069,792.08,Optimized,13.704,Optimized,1,135828,7027,512.77,Cluster,Xeon E5-2680v4 14C 2.4GHz,Intel Broadwell,2400,SUSE Linux Enterprise Server 12 SP1,Linux,NVIDIA Tesla P100 NVLink,14,Intel Xeon E5 (Broadwell),"SGI ICE XA (HPE SGI 8600), IP139-SXM2",HPE SGI 8600,Omnipath,Intel Omni-Path,Eastern Asia,Asia,47912,179093
7,287,AIST AI Cloud,"NEC 4U-8GPU Server, Xeon E5-2630Lv4 10C 1.8GHz, Infiniband EDR, NVIDIA Tesla P100 SXM2",National Institute of Advanced Industrial Science and Technology,NEC,Japan,2017,Research,23400,22400,961,2148.8,75.78,Submitted,12.681,,1,23400,,,Cluster,Xeon E5-2630Lv4 10C 1.8GHz,Intel Broadwell,1800,CentOS,Linux,NVIDIA Tesla P100 NVLink,10,Intel Xeon E5 (Broadwell),NEC 4U-8GPU Server,NEC Cluster,Infiniband,Infiniband EDR,Eastern Asia,Asia,50718,179091
8,5,AI Bridging Cloud Infrastructure (ABCI),"PRIMERGY CX2550 M4, Xeon Gold 6148 20C 2.4GHz, NVIDIA Tesla V100 SXM2, Infiniband EDR",National Institute of Advanced Industrial Science and Technology (AIST),Fujitsu,Japan,2018,Research,391680,348160,19880,32576.63488,1649.25,Submitted,12.054,,2,10880,,,Cluster,Xeon Gold 6148 20C 2.4GHz,Intel Skylake,2400,Linux,Linux,NVIDIA Tesla V100 SXM2,20,Xeon Gold,PRIMERGY CX2550 M4,Fujitsu PRIMERGY,Infiniband,Infiniband EDR,Eastern Asia,Asia,50762,179393
9,255,MareNostrum P9 CTE,"IBM Power System AC922, IBM POWER9 22C 3.1GHz, Dual-rail Mellanox EDR Infiniband, NVIDIA Tesla V100",Barcelona Supercomputing Center,IBM,Spain,2018,Academic,19440,17280,1018,1485.527,85.8,Submitted,11.865,,,2160,,,Cluster,IBM POWER9 22C 3.1GHz,Power,3100,RHEL 7.4,Linux,NVIDIA Tesla V100,22,IBM POWER9,IBM Power System AC922, IBM Power Systems,Infiniband,Dual-rail Mellanox EDR Infiniband,Southern Europe,Europe,49748,179442
10,173,Wilkes-2,"Dell C4130, Xeon E5-2650v4 12C 2.2GHz, Infiniband EDR, NVIDIA Tesla P100",University of Cambridge,Dell EMC,United Kingdom,2017,Academic,21240,20160,1193,1751.616,114.4,Submitted,10.428,,,20768,,,Cluster,Xeon E5-2650v4 12C 2.2GHz,Intel Broadwell,2200,Scientific Linux,Linux,NVIDIA Tesla P100,12,Intel Xeon E5 (Broadwell),Dell C4130,Dell PowerEdge Cluster,Infiniband,Infiniband EDR,Northern Europe,Europe,49143,179044
11,6,Piz Daint,"Cray XC50, Xeon E5-2690v3 12C 2.6GHz, Aries interconnect , NVIDIA Tesla P100",Swiss National Supercomputing Centre (CSCS),Cray Inc.,Switzerland,2017,Research,361760,297920,19590,25326.264,2271.99,Optimized,10.398,Optimized,3,361760,16960,1631.13,MPP,Xeon E5-2690v3 12C 2.6GHz,Intel Haswell,2600,Cray Linux Environment ,Linux,NVIDIA Tesla P100,12,Intel Xeon E5 (Haswell),Cray XC50,Cray XC,Custom Interconnect,Aries interconnect ,Western Europe,Europe,50422,177824
12,411,Reedbush-L,"SGI Rackable C1102-GP8, Xeon E5-2695v4 18C 2.1GHz, Infiniband EDR, NVIDIA Tesla P100 NVLink","Information Technology Center, The University of Tokyo",HPE,Japan,2017,Academic,16640,14336,805.6,1434.214,79.24,Submitted,10.167,,3,16640,,,Cluster,Xeon E5-2695v4 18C 2.1GHz,Intel Broadwell,2100,RHEL 7.3,Linux,NVIDIA Tesla P100 NVLink,18,Intel Xeon E5 (Broadwell),SGI Rackable C1102-GP8,Rackable Cluster,Infiniband,Infiniband EDR,Eastern Asia,Asia,50096,179171
13,13,HPC4,"Proliant DL380 Gen10, Xeon Platinum 8160  24C 2.1GHz, Mellanox InfiniBand EDR, NVIDIA Tesla P100",Eni S.p.A.,HPE,Italy,2018,Industry,253600,177520,12210,18621.138,1320,Optimized,9.804,Optimized,1,74976,11490,1172,Cluster,Xeon Platinum 8160  24C 2.1GHz,Intel Skylake,2100,RHEL 7.4,Linux,NVIDIA Tesla P100,24,Xeon Platinum,Proliant DL380 Gen10,HP Cluster Platform 3000,Infiniband,Mellanox InfiniBand EDR,Southern Europe,Europe,50489,179444
