"","date","ExaRank","exascalar","top500rank","green500rank.g","rmax.g","power.g","mflopswatt","how.g","notes.g","year.g","name.g","totalcores.g","computer.g","site.g","manufacturer.g","country.g","segment.g","acceleratorcoprocessorcores.g","rpeak.g","nmax.g","nhalf.g","architecture.g","processor.g","processortechnology.g","processorspeedmhz.g","oatingsystem.g","osfamily.g","acceleratorcoprocessor.g","coressocket.g","processorgeneration.g","systemmodel.g","systemfamily.g","interconnectfamily.g","interconnect.g","region.g","continent.g","previoustop500rank","firstappearance.t","firsttop500rank","name.t","computer.t","site.t","manufacturer.t","country.t","year.t","segment.t","totalcores.t","acceleratorcoprocessorcores.t","rmax.t","rpeak.t","nmax.t","nhalf.t","power.t","mflopswatt.t","architecture.t","processor.t","processortechnology.t","processorspeedmhz.t","oatingsystem.t","osfamily.t","acceleratorcoprocessor.t","coressocket.t","processorgeneration.t","systemmodel.t","systemfamily.t","interconnectfamily.t","interconnect.t","region.t","continent.t","rmax"
"15",2014-11-01,11,-2.676,15,12,2739000,927.86,2951.941233,"Submission","Rmax and Power different from Top500",2013,"TSUBAME 2.5",76032,"Cluster Platform SL390s G7, Xeon X5670 6C 2.93GHz, Infiniband QDR, NVIDIA K20x","GSIC Center, Tokyo Institute of Technology","NEC/HP","Japan","Academic",59136,"5,735,685.12",1700000,0,"Cluster","Xeon X5670 6C 2.93GHz","Intel Nehalem",2930,"SUSE Linux Enterprise Server 11","Linux","NVIDIA K20x",6,"Xeon 5600-series (Westmere-EP)","Cluster Platform SL390s G7","HP Cluster Platform 3000SL","Infiniband","Infiniband QDR","Eastern Asia","Asia",13,42,11,"TSUBAME 2.5","Cluster Platform SL390s G7, Xeon X5670 6C 2.93GHz, Infiniband QDR, NVIDIA K20x","GSIC Center, Tokyo Institute of Technology","NEC/HP","Japan",2013,"Academic",76032,59136,"2785000",5735685.12,1700000,0,1398.61,1991.26,"Cluster","Xeon X5670 6C 2.93GHz","Intel Nehalem",2930,"SUSE Linux Enterprise Server 11","Linux","NVIDIA K20x",6,"Xeon 5600-series (Westmere-EP)","Cluster Platform SL390s G7","HP Cluster Platform 3000SL","Infiniband","Infiniband QDR","Eastern Asia","Asia",2785000
"7",2014-11-01,12,-2.776,7,91,5168110,4510,1145.922395,"Top500","",2012,"Stampede",462462,"PowerEdge C8220, Xeon E5-2680 8C 2.700GHz, Infiniband FDR, Intel Xeon Phi SE10P","Texas Advanced Computing Center/Univ. of Texas","Dell","United States","Academic",366366,"8,520,111.6",3875000,0,"Cluster","Xeon E5-2680 8C 2.7GHz","Intel SandyBridge",2700,"Linux","Linux","Intel Xeon Phi SE10P",8,"Intel Xeon E5 (SandyBridge)","PowerEdge C8220","Dell PowerEdge Cluster","Infiniband","Infiniband FDR","North America","Americas",7,40,7,"Stampede","PowerEdge C8220, Xeon E5-2680 8C 2.700GHz, Infiniband FDR, Intel Xeon Phi SE10P","Texas Advanced Computing Center/Univ. of Texas","Dell","United States",2012,"Academic",462462,366366,"5168110",8520111.6,3875000,0,4510,1145.92,"Cluster","Xeon E5-2680 8C 2.7GHz","Intel SandyBridge",2700,"Linux","Linux","Intel Xeon Phi SE10P",8,"Intel Xeon E5 (SandyBridge)","PowerEdge C8220","Dell PowerEdge Cluster","Infiniband","Infiniband FDR","North America","Americas",5168110
"16",2014-11-01,13,-2.825,16,69,2763000,1512,1827.380952,"Top500","",2014,"Hornet",94608,"Cray XC40, Xeon E5-2680v3 12C 2.5GHz, Aries interconnect ","HLRS - Höchstleistungsrechenzentrum Stuttgart","Cray Inc.","Germany","Research",0,"3784320",7468032,0,"Cluster","Xeon E5-2680v3 12C 2.5GHz","Intel Haswell",2500,"Cray Linux Environment ","Linux","None",12,"Intel Xeon E5 (Haswell)","Cray XC40","Cray XC","Custom Interconnect","Aries interconnect ","Western Europe","Europe",NA,44,16,"Hornet","Cray XC40, Xeon E5-2680v3 12C 2.5GHz, Aries interconnect ","HLRS - Hˆchstleistungsrechenzentrum Stuttgart","Cray Inc.","Germany",2014,"Research",94608,0,"2763000",3784320,7468032,0,1512,1827.38,"Cluster","Xeon E5-2680v3 12C 2.5GHz","Intel Haswell",2500,"Cray Linux Environment ","Linux","None",12,"Intel Xeon E5 (Haswell)","Cray XC40","Cray XC","Custom Interconnect","Aries interconnect ","Western Europe","Europe",2763000
"18",2014-11-01,14,-2.85,18,68,2539130,1384,1834.631503,"Top500","",2013,"cascade",194616,"Atipa Visione IF442 Blade Server, Xeon E5-2670 8C 2.600GHz, Infiniband FDR, Intel Xeon Phi 5110P","DOE/SC/Pacific Northwest National Laboratory","Atipa Technology","United States","Research",171720,"3388032",4032000,0,"Cluster","Xeon E5-2670 8C 2.6GHz","Intel SandyBridge",2600,"Linux","Linux","Intel Xeon Phi 5110P",8,"Intel Xeon E5 (SandyBridge)","Atipa Visione IF442 Blade Server","Atipa Cluster","Infiniband","Infiniband FDR","North America","Americas",15,42,13,"cascade","Atipa Visione IF442 Blade Server, Xeon E5-2670 8C 2.600GHz, Infiniband FDR, Intel Xeon Phi 5110P","DOE/SC/Pacific Northwest National Laboratory","Atipa Technology","United States",2013,"Research",194616,171720,"2539130",3388032,4032000,0,1384,1834.63,"Cluster","Xeon E5-2670 8C 2.6GHz","Intel SandyBridge",2600,"Linux","Linux","Intel Xeon Phi 5110P",8,"Intel Xeon E5 (SandyBridge)","Atipa Visione IF442 Blade Server","Atipa Cluster","Infiniband","Infiniband FDR","North America","Americas",2539130
"21",2014-11-01,15,-2.874,21,57,2071390,997,2077.622869,"Top500","",2014,"Tianhe-2 LvLiang Solution",174720,"Tianhe-2 LvLiang, Intel Xeon E5-2692v2 12C 2.2GHz, TH Express-2, Intel Xeon Phi 31S1P","LvLiang Cloud Computing Center","NUDT","China","Industry",153216,"3,074,534.4",2366976,0,"Cluster","Intel Xeon E5-2692v2 12C 2.2GHz","Intel IvyBridge",2200,"Kylin Linux","Linux","Intel Xeon Phi 31S1P",12,"Intel Xeon E5 (IvyBridge)","Tianhe-2 LvLiang","Tianhe-2 LvLiang","Custom Interconnect","TH Express-2","Eastern Asia","Asia",NA,44,21,"Tianhe-2 LvLiang Solution","Tianhe-2 LvLiang, Intel Xeon E5-2692v2 12C 2.2GHz, TH Express-2, Intel Xeon Phi 31S1P","LvLiang Cloud Computing Center","NUDT","China",2014,"Industry",174720,153216,"2071390",3074534.4,2366976,0,997,2077.62,"Cluster","Intel Xeon E5-2692v2 12C 2.2GHz","Intel IvyBridge",2200,"Kylin Linux","Linux","Intel Xeon Phi 31S1P",12,"Intel Xeon E5 (IvyBridge)","Tianhe-2 LvLiang","Tianhe-2 LvLiang","Custom Interconnect","TH Express-2","Eastern Asia","Asia",2071390
"19",2014-11-01,16,-2.881,19,74,2485000,1465.78125,1695.341648,"Derived","",2014,"Excalibur",100064,"Cray XC40, Xeon E5-2698v3 16C 2.3GHz, Aries interconnect ","Army Research Laboratory DoD Supercomputing Resource Center (ARL DSRC)","Cray Inc.","United States","Government",0,"3,682,355.2",6441408,0,"Cluster","Xeon E5-2698v3 16C 2.3GHz","Intel Haswell",2300,"Cray Linux Environment ","Linux","None",16,"Intel Xeon E5 (Haswell)","Cray XC40","Cray XC","Custom Interconnect","Aries interconnect ","North America","Americas",NA,44,19,"Excalibur","Cray XC40, Xeon E5-2698v3 16C 2.3GHz, Aries interconnect ","Army Research Laboratory DoD Supercomputing Resource Center (ARL DSRC)","Cray Inc.","United States",2014,"Government",100064,0,"2485000",3682355.2,6441408,0,NA,NA,"Cluster","Xeon E5-2698v3 16C 2.3GHz","Intel Haswell",2300,"Cray Linux Environment ","Linux","None",16,"Intel Xeon E5 (Haswell)","Cray XC40","Cray XC","Custom Interconnect","Aries interconnect ","North America","Americas",2485000
"23",2014-11-01,17,-2.905,23,49,1788878,821.88,2176.568355,"Submission","",2012,"Fermi",163840,"BlueGene/Q, Power BQC 16C 1.60GHz, Custom","CINECA","IBM","Italy","Academic",0,"2097152",0,0,"MPP","Power BQC 16C 1.6GHz","PowerPC",1600,"Linux","Linux","None",16,"Power BQC","BlueGene/Q","IBM BlueGene","Custom Interconnect","Custom Interconnect","Southern Europe","Europe",17,39,7,"Fermi","BlueGene/Q, Power BQC 16C 1.60GHz, Custom","CINECA","IBM","Italy",2012,"Academic",163840,0,"1788878",2097152,0,0,821.88,2176.57,"MPP","Power BQC 16C 1.6GHz","PowerPC",1600,"Linux","Linux","None",16,"Power BQC","BlueGene/Q","IBM BlueGene","Custom Interconnect","Custom Interconnect","Southern Europe","Europe",1788878
"11",2014-11-01,18,-2.927,11,97,3375600,3140.7,1074.792244,"Top500","",2011,"Pleiades",160768,"SGI ICE X, Intel Xeon E5-2670/E5-2680v2/E5-2680v3  2.6/2.8/2.5 GHz, Infiniband FDR","NASA/Ames Research Center/NAS","SGI","United States","Research",0,"3987900",4984320,0,"Cluster","Intel Xeon E5-2680v2  10C 2.8GHz","Intel IvyBridge",2800,"SUSE Linux Enterprise Server 11","Linux","None",10,"Intel Xeon E5 (IvyBridge)","SGI ICE X","SGI ICE","Infiniband","Infiniband FDR","North America","Americas",21,37,7,"Pleiades","SGI ICE X, Intel Xeon E5-2670/E5-2680v2/E5-2680v3  2.6/2.8/2.5 GHz, Infiniband FDR","NASA/Ames Research Center/NAS","SGI","United States",2011,"Research",160768,0,"3375600",3987900,4984320,0,3140.7,1074.79,"Cluster","Intel Xeon E5-2680v2  10C 2.8GHz","Intel IvyBridge",2800,"SUSE Linux Enterprise Server 11","Linux","None",10,"Intel Xeon E5 (IvyBridge)","SGI ICE X","SGI ICE","Infiniband","Infiniband FDR","North America","Americas",3375600
"30",2014-11-01,19,-2.974,30,36,1431102,657,2178.237443,"Submission","",2012,"Blue Joule",131072,"BlueGene/Q, Power BQC 16C 1.60GHz, Custom","Science and Technology Facilities Council - Daresbury Laboratory","IBM","United Kingdom","Research",0,"1677722",0,0,"MPP","Power BQC 16C 1.6GHz","PowerPC",1600,"Linux","Linux","None",16,"Power BQC","BlueGene/Q","IBM BlueGene","Custom Interconnect","Custom Interconnect","Northern Europe","Europe",23,39,13,"Blue Joule","BlueGene/Q, Power BQC 16C 1.60GHz, Custom","Science and Technology Facilities Council - Daresbury Laboratory","IBM","United Kingdom",2012,"Research",131072,0,"1431102",1677722,0,0,657,2178.24,"MPP","Power BQC 16C 1.6GHz","PowerPC",1600,"Linux","Linux","None",16,"Power BQC","BlueGene/Q","IBM BlueGene","Custom Interconnect","Custom Interconnect","Northern Europe","Europe",1431102
"26",2014-11-01,20,-3.002,26,71,1628770,934.8,1742.3727,"Top500","",2014,"Occigen",50544,"bullx  DLC, Xeon E5-2690v3 12C 2.6GHz, Infiniband FDR","Grand Equipement National de Calcul Intensif - Centre Informatique National de l'Enseignement Suprieur (GENCI-CINES)","Bull SA","France","Academic",0,"2,102,630.4",3974400,0,"Cluster","Xeon E5-2690v3 12C 2.6GHz","Intel Haswell",2600,"Redhat Enterprise Linux 6.4","Linux","None",12,"Intel Xeon E5 (Haswell)","bullx DLC 720","Bull Bullx","Infiniband","Infiniband FDR","Western Europe","Europe",NA,44,26,"Occigen","bullx  DLC, Xeon E5-2690v3 12C 2.6GHz, Infiniband FDR","Grand Equipement National de Calcul Intensif - Centre Informatique National de l'Enseignement Suprieur (GENCI-CINES)","Bull SA","France",2014,"Academic",50544,0,"1628770",2102630.4,3974400,0,934.8,1742.37,"Cluster","Xeon E5-2690v3 12C 2.6GHz","Intel Haswell",2600,"Redhat Enterprise Linux 6.4","Linux","None",12,"Intel Xeon E5 (Haswell)","bullx DLC 720","Bull Bullx","Infiniband","Infiniband FDR","Western Europe","Europe",1628770
"32",2014-11-01,21,-3.043,32,70,1397000,785.625,1778.202068,"Derived","",2014,"Beskow",53632,"Cray XC40, Xeon E5-2698v3 16C 2.3GHz, Aries interconnect ","KTH - Royal Institute of Technology","Cray Inc.","Sweden","Academic",0,"1,973,657.6",3367296,0,"Cluster","Xeon E5-2698v3 16C 2.3GHz","Intel Haswell",2300,"Cray Linux Environment ","Linux","None",16,"Intel Xeon E5 (Haswell)","Cray XC40","Cray XC","Custom Interconnect","Aries interconnect ","Northern Europe","Europe",NA,44,32,"Beskow","Cray XC40, Xeon E5-2698v3 16C 2.3GHz, Aries interconnect ","KTH - Royal Institute of Technology","Cray Inc.","Sweden",2014,"Academic",53632,0,"1397000",1973657.6,3367296,0,NA,NA,"Cluster","Xeon E5-2698v3 16C 2.3GHz","Intel Haswell",2300,"Cray Linux Environment ","Linux","None",16,"Intel Xeon E5 (Haswell)","Cray XC40","Cray XC","Custom Interconnect","Aries interconnect ","Northern Europe","Europe",1397000
"14",2014-11-01,22,-3.047,14,152,2897000,3422.67,846.4152255,"Submission","",2012,"SuperMUC",147456,"iDataPlex DX360M4, Xeon E5-2680 8C 2.70GHz, Infiniband FDR","Leibniz Rechenzentrum","IBM","Germany","Academic",0,"3185050",5201920,0,"Cluster","Xeon E5-2680 8C 2.7GHz","Intel SandyBridge",2700,"Linux","Linux","None",8,"Intel Xeon E5 (SandyBridge)","iDataPlex DX360M4","IBM iDataPlex","Infiniband","Infiniband FDR","Western Europe","Europe",12,39,4,"SuperMUC","iDataPlex DX360M4, Xeon E5-2680 8C 2.70GHz, Infiniband FDR","Leibniz Rechenzentrum","IBM","Germany",2012,"Academic",147456,0,"2897000",3185050,5201920,0,3422.67,846.42,"Cluster","Xeon E5-2680 8C 2.7GHz","Intel SandyBridge",2700,"Linux","Linux","None",8,"Intel Xeon E5 (SandyBridge)","iDataPlex DX360M4","IBM iDataPlex","Infiniband","Infiniband FDR","Western Europe","Europe",2897000
"42",2014-11-01,23,-3.062,42,37,1073327,493,2177.133874,"Submission","",2012,"Turing",98304,"BlueGene/Q, Power BQC 16C 1.60GHz, Custom","CNRS/IDRIS-GENCI","IBM","France","Academic",0,"1258291",0,0,"MPP","Power BQC 16C 1.6GHz","PowerPC",1600,"Linux","Linux","None",16,"Power BQC","BlueGene/Q","IBM BlueGene","Custom Interconnect","Custom Interconnect","Western Europe","Europe",53,39,29,"Turing","BlueGene/Q, Power BQC 16C 1.60GHz, Custom","CNRS/IDRIS-GENCI","IBM","France",2012,"Academic",98304,0,"1073327",1258291,0,0,493,2177.13,"MPP","Power BQC 16C 1.6GHz","PowerPC",1600,"Linux","Linux","None",16,"Power BQC","BlueGene/Q","IBM BlueGene","Custom Interconnect","Custom Interconnect","Western Europe","Europe",1073327
"43",2014-11-01,24,-3.062,43,42,1073327,493.12,2176.604072,"Submission","",2012,"DiRAC",98304,"BlueGene/Q, Power BQC 16C 1.60GHz, Custom","University of Edinburgh","IBM","United Kingdom","Academic",0,"1258291",0,0,"MPP","Power BQC 16C 1.6GHz","PowerPC",1600,"Linux","Linux","None",16,"Power BQC","BlueGene/Q","IBM BlueGene","Custom Interconnect","Custom Interconnect","Northern Europe","Europe",33,39,20,"DiRAC","BlueGene/Q, Power BQC 16C 1.60GHz, Custom","University of Edinburgh","IBM","United Kingdom",2012,"Academic",98304,0,"1073327",1258291,0,0,493.12,2176.6,"MPP","Power BQC 16C 1.6GHz","PowerPC",1600,"Linux","Linux","None",16,"Power BQC","BlueGene/Q","IBM BlueGene","Custom Interconnect","Custom Interconnect","Northern Europe","Europe",1073327
