"","date","ExaRank","exascalar","top500rank","green500rank.g","rmax.g","power.g","mflopswatt","how.g","notes.g","year.g","name.g","totalcores.g","computer.g","site.g","manufacturer.g","country.g","segment.g","acceleratorcoprocessorcores.g","rpeak.g","nmax.g","nhalf.g","architecture.g","processor.g","processortechnology.g","processorspeedmhz.g","oatingsystem.g","osfamily.g","acceleratorcoprocessor.g","coressocket.g","processorgeneration.g","systemmodel.g","systemfamily.g","interconnectfamily.g","interconnect.g","region.g","continent.g","previoustop500rank","firstappearance.t","firsttop500rank","name.t","computer.t","site.t","manufacturer.t","country.t","year.t","segment.t","totalcores.t","acceleratorcoprocessorcores.t","rmax.t","rpeak.t","nmax.t","nhalf.t","power.t","mflopswatt.t","architecture.t","processor.t","processortechnology.t","processorspeedmhz.t","oatingsystem.t","osfamily.t","acceleratorcoprocessor.t","coressocket.t","processorgeneration.t","systemmodel.t","systemfamily.t","interconnectfamily.t","interconnect.t","region.t","continent.t","rmax"
"99",2014-11-01,111,-3.563,99,121,496500,540,919.4444444,"Submission","",2011,"Mole-8.5",29440,"Mole-8.5 Cluster, Xeon X5520 4C 2.27 GHz, Infiniband QDR, NVIDIA 2050","Institute of Process Engineering, Chinese Academy of Sciences","IPE, Nvidia, Tyan","China","Academic",26880,"1012650",768000,0,"Cluster","Xeon X5520 4C 2.27GHz","Intel Nehalem",2267,"Linux","Linux","NVIDIA 2050",4,"Xeon 5500-series (Nehalem-EP)","Mole-8.5 Cluster","Mole-8.5 Cluster","Infiniband","Infiniband QDR","Eastern Asia","Asia",74,35,19,"Mole-8.5","Mole-8.5 Cluster, Xeon X5520 4C 2.27 GHz, Infiniband QDR, NVIDIA 2050","Institute of Process Engineering, Chinese Academy of Sciences","IPE, Nvidia, Tyan","China",2011,"Academic",29440,26880,"496500",1012650,768000,0,540,919.44,"Cluster","Xeon X5520 4C 2.27GHz","Intel Nehalem",2267,"Linux","Linux","NVIDIA 2050",4,"Xeon 5500-series (Nehalem-EP)","Mole-8.5 Cluster","Mole-8.5 Cluster","Infiniband","Infiniband QDR","Eastern Asia","Asia",496500
"117",2014-11-01,112,-3.577,117,101,421600,407.29,1035.134671,"Top500","",2012,"HA-PACS",20800,"Xtreme-X GreenBlade 8204, Xeon E5-2670 8C 2.600GHz, Infiniband QDR, NVIDIA 2090","Center for Computational Sciences, University of Tsukuba","Cray Inc.","Japan","Academic",16640,"778128",1954559,0,"Cluster","Xeon E5-2670 8C 2.6GHz","Intel SandyBridge",2600,"Linux","Linux","NVIDIA 2090",8,"Intel Xeon E5 (SandyBridge)","Xtreme-X GreenBlade 8204","Appro Xtreme-X","Infiniband","Infiniband QDR","Eastern Asia","Asia",89,39,41,"HA-PACS","Xtreme-X GreenBlade 8204, Xeon E5-2670 8C 2.600GHz, Infiniband QDR, NVIDIA 2090","Center for Computational Sciences, University of Tsukuba","Cray Inc.","Japan",2012,"Academic",20800,16640,"421600",778128,1954559,0,407.29,1035.13,"Cluster","Xeon E5-2670 8C 2.6GHz","Intel SandyBridge",2600,"Linux","Linux","NVIDIA 2090",8,"Intel Xeon E5 (SandyBridge)","Xtreme-X GreenBlade 8204","Appro Xtreme-X","Infiniband","Infiniband QDR","Eastern Asia","Asia",421600
"338",2014-11-01,113,-3.578,338,24,188967,82,2304.47561,"Submission","",2014,"",16384,"BlueGene/Q, Power BQC 16C 1.6GHz, Custom Interconnect","Dassault Aviation","IBM","France","Industry",0,"209715",1409023,0,"MPP","Power BQC 16C 1.6GHz","PowerPC",1600,"Linux","Linux","None",16,"Power BQC","BlueGene/Q","IBM BlueGene","Custom Interconnect","Custom Interconnect","Western Europe","Europe",NA,44,338,"","BlueGene/Q, Power BQC 16C 1.6GHz, Custom Interconnect","Dassault Aviation","IBM","France",2014,"Industry",16384,0,"188967",209715,1409023,0,82,2304.48,"MPP","Power BQC 16C 1.6GHz","PowerPC",1600,"Linux","Linux","None",16,"Power BQC","BlueGene/Q","IBM BlueGene","Custom Interconnect","Custom Interconnect","Western Europe","Europe",188967
"339",2014-11-01,114,-3.579,339,26,188967,82.19,2299.148315,"Derived","",2012,"CADMOS BG/Q",16384,"BlueGene/Q, Power BQC 16C 1.600GHz, Custom Interconnect","Ecole Polytechnique Federale de Lausanne","IBM","Switzerland","Academic",0,"209715",1409023,0,"MPP","Power BQC 16C 1.6GHz","PowerPC",1600,"Linux","Linux","None",16,"Power BQC","BlueGene/Q","IBM BlueGene","Custom Interconnect","Custom Interconnect","Western Europe","Europe",273,40,141,"CADMOS BG/Q","BlueGene/Q, Power BQC 16C 1.600GHz, Custom Interconnect","Ecole Polytechnique Federale de Lausanne","IBM","Switzerland",2012,"Academic",16384,0,"188967",209715,1409023,0,82.19,2299.15,"MPP","Power BQC 16C 1.6GHz","PowerPC",1600,"Linux","Linux","None",16,"Power BQC","BlueGene/Q","IBM BlueGene","Custom Interconnect","Custom Interconnect","Western Europe","Europe",188967
"340",2014-11-01,115,-3.579,340,29,188967,82.19,2299.148315,"Submission","",2013,"",16384,"BlueGene/Q, Power BQC 16C 1.600GHz, Custom Interconnect","IBM Rochester","IBM","United States","Vendor",0,"209715",1409023,0,"MPP","Power BQC 16C 1.6GHz","PowerPC",1600,"Linux","Linux","None",16,"Power BQC","BlueGene/Q","IBM BlueGene","Custom Interconnect","Custom Interconnect","North America","Americas",274,42,219,"","BlueGene/Q, Power BQC 16C 1.600GHz, Custom Interconnect","IBM Rochester","IBM","United States",2013,"Vendor",16384,0,"188967",209715,1409023,0,82.19,2299.15,"MPP","Power BQC 16C 1.6GHz","PowerPC",1600,"Linux","Linux","None",16,"Power BQC","BlueGene/Q","IBM BlueGene","Custom Interconnect","Custom Interconnect","North America","Americas",188967
"341",2014-11-01,116,-3.579,341,27,188967,82.19,2299.148315,"Submission","",2011,"",16384,"BlueGene/Q, Power BQC 16C 1.60 GHz, Custom","IBM Thomas J. Watson Research Center","IBM","United States","Research",0,"209715",1409023,0,"MPP","Power BQC 16C 1.6GHz","PowerPC",1600,"Linux","Linux","None",16,"Power BQC","BlueGene/Q","IBM BlueGene","Custom Interconnect","Custom Interconnect","North America","Americas",275,37,109,"","BlueGene/Q, Power BQC 16C 1.60 GHz, Custom","IBM Thomas J. Watson Research Center","IBM","United States",2011,"Research",16384,0,"188967",209715,1409023,0,82.19,2299.15,"MPP","Power BQC 16C 1.6GHz","PowerPC",1600,"Linux","Linux","None",16,"Power BQC","BlueGene/Q","IBM BlueGene","Custom Interconnect","Custom Interconnect","North America","Americas",188967
"342",2014-11-01,117,-3.579,342,28,188967,82.19,2299.148315,"Submission","",2012,"",16384,"BlueGene/Q, Power BQC 16C 1.600GHz, Custom Interconnect","Interdisciplinary Centre for Mathematical and Computational Modelling, University of Warsaw","IBM","Poland","Academic",0,"209715",1409023,0,"MPP","Power BQC 16C 1.6GHz","PowerPC",1600,"Linux","Linux","None",16,"Power BQC","BlueGene/Q","IBM BlueGene","Custom Interconnect","Custom Interconnect","Eastern Europe","Europe",276,40,143,"","BlueGene/Q, Power BQC 16C 1.600GHz, Custom Interconnect","Interdisciplinary Centre for Mathematical and Computational Modelling, University of Warsaw","IBM","Poland",2012,"Academic",16384,0,"188967",209715,1409023,0,82.19,2299.15,"MPP","Power BQC 16C 1.6GHz","PowerPC",1600,"Linux","Linux","None",16,"Power BQC","BlueGene/Q","IBM BlueGene","Custom Interconnect","Custom Interconnect","Eastern Europe","Europe",188967
"343",2014-11-01,118,-3.579,343,30,188967,82.19,2299.148315,"Submission","",2012,"",16384,"BlueGene/Q, Power BQC 16C 1.60GHz, Custom","University of Rochester","IBM","United States","Academic",0,"209715",1409023,0,"MPP","Power BQC 16C 1.6GHz","PowerPC",1600,"Linux","Linux","None",16,"Power BQC","BlueGene/Q","IBM BlueGene","Custom Interconnect","Custom Interconnect","North America","Americas",277,39,103,"","BlueGene/Q, Power BQC 16C 1.60GHz, Custom","University of Rochester","IBM","United States",2012,"Academic",16384,0,"188967",209715,1409023,0,82.19,2299.15,"MPP","Power BQC 16C 1.6GHz","PowerPC",1600,"Linux","Linux","None",16,"Power BQC","BlueGene/Q","IBM BlueGene","Custom Interconnect","Custom Interconnect","North America","Americas",188967
"174",2014-11-01,119,-3.593,174,84,307200,227.5,1350.32967,"Derived","",2014,"magnolia",11648,"Cray XC40, Xeon E5-2695v3 14C 2.3GHz, Aries interconnect ","Academic Center for Computing and Media Studies (ACCMS),  Kyoto University","Cray Inc.","Japan","Academic",0,"428,646.4",1704960,0,"Cluster","Xeon E5-2695v3 14C 2.3GHz","Intel Haswell",2300,"Cray Linux Environment ","Linux","None",14,"Intel Xeon E5 (Haswell)","Cray XC40","Cray XC","Custom Interconnect","Aries interconnect ","Eastern Asia","Asia",NA,44,174,"magnolia","Cray XC40, Xeon E5-2695v3 14C 2.3GHz, Aries interconnect ","Academic Center for Computing and Media Studies (ACCMS),  Kyoto University","Cray Inc.","Japan",2014,"Academic",11648,0,"307200",428646.4,1704960,0,NA,NA,"Cluster","Xeon E5-2695v3 14C 2.3GHz","Intel Haswell",2300,"Cray Linux Environment ","Linux","None",14,"Intel Xeon E5 (Haswell)","Cray XC40","Cray XC","Custom Interconnect","Aries interconnect ","Eastern Asia","Asia",307200
"110",2014-11-01,120,-3.594,110,131,454053.34,498.53,910.7843861,"Submission","",2013,"HPCC1",24000,"iDataPlex DX360M4, Xeon E5-2670 8C 2.600GHz, Infiniband FDR14","Exploration & Production - Eni S.p.A.","IBM","Italy","Industry",0,"499200",0,0,"Cluster","Xeon E5-2670 8C 2.6GHz","Intel SandyBridge",2600,"Linux","Linux","None",8,"Intel Xeon E5 (SandyBridge)","iDataPlex DX360M4","IBM iDataPlex","Infiniband","Infiniband FDR14","Southern Europe","Europe",83,42,69,"HPCC1","iDataPlex DX360M4, Xeon E5-2670 8C 2.600GHz, Infiniband FDR14","Exploration & Production - Eni S.p.A.","IBM","Italy",2013,"Industry",24000,0,"454,053.34",499200,0,0,498.53,910.78,"Cluster","Xeon E5-2670 8C 2.6GHz","Intel SandyBridge",2600,"Linux","Linux","None",8,"Intel Xeon E5 (SandyBridge)","iDataPlex DX360M4","IBM iDataPlex","Infiniband","Infiniband FDR14","Southern Europe","Europe",454053.34
"390",2014-11-01,121,-3.597,390,21,170500,71,2401.408451,"Top500","",2014,"RSC PetaStream",22528,"RSC PetaStream, Xeon E5-2697v3 14C 2.6GHz, Infiniband FDR, Intel Xeon Phi 5120D","St. Petersburg Polytechnic University","RSC Group","Russia","Academic",15360,"572,876.8",438600,0,"Cluster","Xeon E5-2697v3 14C 2.6GHz","Intel Haswell",2600,"Linux","Linux","Intel Xeon Phi 5120D",14,"Intel Xeon E5 (Haswell)","RSC PetaStream","RSC Cluster","Infiniband","Infiniband FDR","Eastern Europe","Europe",NA,44,390,"RSC PetaStream","RSC PetaStream, Xeon E5-2697v3 14C 2.6GHz, Infiniband FDR, Intel Xeon Phi 5120D","St. Petersburg Polytechnic University","RSC Group","Russia",2014,"Academic",22528,15360,"170500",572876.8,438600,0,71,2401.41,"Cluster","Xeon E5-2697v3 14C 2.6GHz","Intel Haswell",2600,"Linux","Linux","Intel Xeon Phi 5120D",14,"Intel Xeon E5 (Haswell)","RSC PetaStream","RSC Cluster","Infiniband","Infiniband FDR","Eastern Europe","Europe",170500
"111",2014-11-01,122,-3.615,111,143,441815,505.5,874.0158259,"Submission","",2013,"Makman",24336,"iDataPlex DX360M4, Xeon E5-2670 8C 2.600GHz, Infiniband QDR","Saudi Aramco","IBM","Saudi Arabia","Industry",0,"506189",3232768,600000,"Cluster","Xeon E5-2670 8C 2.6GHz","Intel SandyBridge",2600,"Linux","Linux","None",8,"Intel Xeon E5 (SandyBridge)","iDataPlex DX360M4","IBM iDataPlex","Infiniband","Infiniband QDR","Western Asia","Asia",84,41,60,"Makman","iDataPlex DX360M4, Xeon E5-2670 8C 2.600GHz, Infiniband QDR","Saudi Aramco","IBM","Saudi Arabia",2013,"Industry",24336,0,"441815",506189,3232768,600000,505.5,874.02,"Cluster","Xeon E5-2670 8C 2.6GHz","Intel SandyBridge",2600,"Linux","Linux","None",8,"Intel Xeon E5 (SandyBridge)","iDataPlex DX360M4","IBM iDataPlex","Infiniband","Infiniband QDR","Western Asia","Asia",441815
"101",2014-11-01,123,-3.616,101,171,484179,609.41,794.5071282,"Derived","",2013,"Amazon EC2 C3 Instance cluster",26496,"Amazon EC2 Cluster, Intel Xeon E5-2680v2  10C 2.800GHz, 10G Ethernet","Amazon Web Services","Self-made","United States","Industry",0,"593,510.4",3373325,0,"Cluster","Intel Xeon E5-2680v2  10C 2.8GHz","Intel IvyBridge",2800,"Linux","Linux","None",10,"Intel Xeon E5 (IvyBridge)","Amazon EC2 Cluster","NOW - Intel","10G","10G Ethernet","North America","Americas",76,42,64,"Amazon EC2 C3 Instance cluster","Amazon EC2 Cluster, Intel Xeon E5-2680v2  10C 2.800GHz, 10G Ethernet","Amazon Web Services","Self-made","United States",2013,"Industry",26496,0,"484179",593510.4,3373325,0,NA,NA,"Cluster","Intel Xeon E5-2680v2  10C 2.8GHz","Intel IvyBridge",2800,"Linux","Linux","None",10,"Intel Xeon E5 (IvyBridge)","Amazon EC2 Cluster","NOW - Intel","10G","10G Ethernet","North America","Americas",484179
"44",2014-11-01,124,-3.618,44,260,1054000,2910,362.1993127,"Top500","",2010,"Hopper",153408,"Cray XE6, Opteron 6172 12C 2.10GHz, Custom","DOE/SC/LBNL/NERSC","Cray Inc.","United States","Research",0,"1,288,627.2",4537344,0,"MPP","Opteron 6172 12C 2.1GHz","AMD x86_64",2100,"Linux","Linux","None",12,"Opteron 6100-series ""Magny-Cours"" ","Cray XE6","Cray XE","Cray Interconnect","Cray Gemini interconnect","North America","Americas",34,36,5,"Hopper","Cray XE6, Opteron 6172 12C 2.10GHz, Custom","DOE/SC/LBNL/NERSC","Cray Inc.","United States",2010,"Research",153408,0,"1054000",1288627.2,4537344,0,2910,362.2,"MPP","Opteron 6172 12C 2.1GHz","AMD x86_64",2100,"Linux","Linux","None",12,"Opteron 6100-series ""Magny-Cours"" ","Cray XE6","Cray XE","Cray Interconnect","Cray Gemini interconnect","North America","Americas",1054000
"60",2014-11-01,125,-3.625,60,244,831400,1850,449.4054054,"Submission","",2011,"HERMIT",113472,"Cray XE6, Opteron 6276 16C 2.30 GHz, Cray Gemini interconnect","HWW/Universitaet Stuttgart","Cray Inc.","Germany","Industry",0,"1,043,942.4",3555552,0,"MPP","Opteron 6276 16C 2.3GHz","AMD x86_64",2300,"Cray Linux Environment ","Linux","None",16,"Opteron 6200 Series ""Interlagos""","Cray XE6","Cray XE","Cray Interconnect","Cray Gemini interconnect","Western Europe","Europe",44,38,12,"HERMIT","Cray XE6, Opteron 6276 16C 2.30 GHz, Cray Gemini interconnect","HWW/Universitaet Stuttgart","Cray Inc.","Germany",2011,"Industry",113472,0,"831400",1043942.4,3555552,0,NA,NA,"MPP","Opteron 6276 16C 2.3GHz","AMD x86_64",2300,"Cray Linux Environment ","Linux","None",16,"Opteron 6200 Series ""Interlagos""","Cray XE6","Cray XE","Cray Interconnect","Cray Gemini interconnect","Western Europe","Europe",831400
"128",2014-11-01,126,-3.629,128,114,390568,413.625,944.2562708,"Derived","",2014,"",17648,"Cray XC40, Intel Xeon E5-2670v2  10C 2.5GHz/E5-2680v3 12C 2.5Ghz, Aries interconnect ","Deutscher Wetterdienst","Cray Inc.","Germany","Research",0,"560320",2004479,0,"Cluster","Intel Xeon E5-2670v2  10C 2.5GHz","Intel IvyBridge",2500,"Cray Linux Environment ","Linux","None",10,"Intel Xeon E5 (IvyBridge)","Cray XC40","Cray XC","Custom Interconnect","Aries interconnect ","Western Europe","Europe",NA,44,128,"","Cray XC40, Intel Xeon E5-2670v2  10C 2.5GHz/E5-2680v3 12C 2.5Ghz, Aries interconnect ","Deutscher Wetterdienst","Cray Inc.","Germany",2014,"Research",17648,0,"390568",560320,2004479,0,NA,NA,"Cluster","Intel Xeon E5-2670v2  10C 2.5GHz","Intel IvyBridge",2500,"Cray Linux Environment ","Linux","None",10,"Intel Xeon E5 (IvyBridge)","Cray XC40","Cray XC","Custom Interconnect","Aries interconnect ","Western Europe","Europe",390568
"129",2014-11-01,127,-3.629,129,113,390568,413.625,944.2562708,"Derived","",2013,"",17648,"Cray XC40, Intel Xeon E5-2670v2  10C 2.5GHz/E5-2680v3 12C 2.5Ghz, Aries interconnect ","Deutscher Wetterdienst","Cray Inc.","Germany","Research",0,"560320",2004479,0,"Cluster","Intel Xeon E5-2670v2  10C 2.5GHz","Intel IvyBridge",2500,"Cray Linux Environment ","Linux","None",10,"Intel Xeon E5 (IvyBridge)","Cray XC40","Cray XC","Custom Interconnect","Aries interconnect ","Western Europe","Europe",500,42,385,"","Cray XC40, Intel Xeon E5-2670v2  10C 2.5GHz/E5-2680v3 12C 2.5Ghz, Aries interconnect ","Deutscher Wetterdienst","Cray Inc.","Germany",2013,"Research",17648,0,"390568",560320,2004479,0,NA,NA,"Cluster","Intel Xeon E5-2670v2  10C 2.5GHz","Intel IvyBridge",2500,"Cray Linux Environment ","Linux","None",10,"Intel Xeon E5 (IvyBridge)","Cray XC40","Cray XC","Custom Interconnect","Aries interconnect ","Western Europe","Europe",390568
"142",2014-11-01,128,-3.638,142,103,352671,347.27,1015.55274,"Submission","",2013,"Athos",18144,"iDataPlex DX360M4, Intel Xeon E5-2697v2 12C 2.700GHz, Infiniband FDR14","EDF R&D","IBM","France","Industry",0,"391910",2370816,0,"Cluster","Intel Xeon E5-2697v2 12C 2.7GHz","Intel IvyBridge",2700,"Linux","Linux","None",12,"Intel Xeon E5 (IvyBridge)","iDataPlex DX360M4","IBM iDataPlex","Infiniband","Infiniband FDR14","Western Europe","Europe",112,42,91,"Athos","iDataPlex DX360M4, Intel Xeon E5-2697v2 12C 2.700GHz, Infiniband FDR14","EDF R&D","IBM","France",2013,"Industry",18144,0,"352671",391910,2370816,0,347.27,1015.55,"Cluster","Intel Xeon E5-2697v2 12C 2.7GHz","Intel IvyBridge",2700,"Linux","Linux","None",12,"Intel Xeon E5 (IvyBridge)","iDataPlex DX360M4","IBM iDataPlex","Infiniband","Infiniband FDR14","Western Europe","Europe",352671
"130",2014-11-01,129,-3.642,130,134,389507.6,429.1,907.7371248,"Derived","",2014,"",21240,"Cluster Platform 3000 BL460c Gen8, Intel Xeon E5-2697v2 12C 2.7GHz, Infiniband FDR","Aerospace Company (E)","Hewlett-Packard","Germany","Industry",0,"458784",0,0,"Cluster","Intel Xeon E5-2697v2 12C 2.7GHz","Intel IvyBridge",2700,"Linux","Linux","None",12,"Intel Xeon E5 (IvyBridge)","Cluster Platform 3000 BL460c Gen8","HP Cluster Platform 3000BL","Infiniband","Infiniband FDR","Western Europe","Europe",99,43,99,"","Cluster Platform 3000 BL460c Gen8, Intel Xeon E5-2697v2 12C 2.7GHz, Infiniband FDR","Aerospace Company (E)","Hewlett-Packard","Germany",2014,"Industry",21240,0,"389,507.6",458784,0,0,NA,NA,"Cluster","Intel Xeon E5-2697v2 12C 2.7GHz","Intel IvyBridge",2700,"Linux","Linux","None",12,"Intel Xeon E5 (IvyBridge)","Cluster Platform 3000 BL460c Gen8","HP Cluster Platform 3000BL","Infiniband","Infiniband FDR","Western Europe","Europe",389507.6
"112",2014-11-01,130,-3.647,112,168,434800,544,799.2647059,"Submission","",2014,"",17920,"IBM Flex System p460, POWER7  8C 3.550GHz, Infiniband QDR","China Meteorological Administration","IBM","China","Research",0,"508928",2400000,0,"Cluster","POWER7  8C 3.55GHz","Power",3550,"AIX","Unix","None",8,"POWER7","IBM Flex System p460","IBM Flex System","Infiniband","Infiniband QDR","Eastern Asia","Asia",85,43,85,"","IBM Flex System p460, POWER7  8C 3.550GHz, Infiniband QDR","China Meteorological Administration","IBM","China",2014,"Research",17920,0,"434800",508928,2400000,0,544,799.26,"Cluster","POWER7  8C 3.55GHz","Power",3550,"AIX","Unix","None",8,"POWER7","IBM Flex System p460","IBM Flex System","Infiniband","Infiniband QDR","Eastern Asia","Asia",434800
"113",2014-11-01,131,-3.647,113,169,434800,544,799.2647059,"Submission","",2014,"",17920,"IBM Flex System p460, POWER7  8C 3.550GHz, Infiniband QDR","China Meteorological Administration","IBM","China","Research",0,"508928",2400000,0,"Cluster","POWER7  8C 3.55GHz","Power",3550,"AIX","Unix","None",8,"POWER7","IBM Flex System p460","IBM Flex System","Infiniband","Infiniband QDR","Eastern Asia","Asia",86,43,86,"","IBM Flex System p460, POWER7  8C 3.550GHz, Infiniband QDR","China Meteorological Administration","IBM","China",2014,"Research",17920,0,"434800",508928,2400000,0,544,799.26,"Cluster","POWER7  8C 3.55GHz","Power",3550,"AIX","Unix","None",8,"POWER7","IBM Flex System p460","IBM Flex System","Infiniband","Infiniband QDR","Eastern Asia","Asia",434800
"285",2014-11-01,132,-3.651,285,76,212912,132,1612.969697,"Top500","",2012,"Maia",17408,"SGI Rackable C1104G-RP5, Xeon E5-2670 8C 2.600GHz, Infiniband FDR, Intel Xeon Phi","NASA/Ames Research Center/NAS","SGI","United States","Research",15360,"301384",660480,0,"Cluster","Xeon E5-2670 8C 2.6GHz","Intel SandyBridge",2600,"SUSE Linux Enterprise Server 11","Linux","Intel Xeon Phi",8,"Intel Xeon E5 (SandyBridge)","SGI Rackable C1104G-RP5","Rackable Cluster","Infiniband","Infiniband FDR","North America","Americas",234,40,117,"Maia","SGI Rackable C1104G-RP5, Xeon E5-2670 8C 2.600GHz, Infiniband FDR, Intel Xeon Phi","NASA/Ames Research Center/NAS","SGI","United States",2012,"Research",17408,15360,"212912",301384,660480,0,132,1612.97,"Cluster","Xeon E5-2670 8C 2.6GHz","Intel SandyBridge",2600,"SUSE Linux Enterprise Server 11","Linux","Intel Xeon Phi",8,"Intel Xeon E5 (SandyBridge)","SGI Rackable C1104G-RP5","Rackable Cluster","Infiniband","Infiniband FDR","North America","Americas",212912
"220",2014-11-01,133,-3.655,220,85,255017,192,1328.213542,"Submission","",2014,"EOS",12240,"Bullx DLC B710 Blades, Intel Xeon E5-2680v2  10C 2.8GHz, Infiniband FDR","CALMIP / University of Toulouse","Bull SA","France","Academic",0,"274176",2018352,0,"Cluster","Intel Xeon E5-2680v2  10C 2.8GHz","Intel IvyBridge",2800,"bullx SCS","Linux","None",10,"Intel Xeon E5 (IvyBridge)","Bullx DLC B710 Blades","Bull Bullx","Infiniband","Infiniband FDR","Western Europe","Europe",183,43,183,"EOS","Bullx DLC B710 Blades, Intel Xeon E5-2680v2  10C 2.8GHz, Infiniband FDR","CALMIP / University of Toulouse","Bull SA","France",2014,"Academic",12240,0,"255078",274176,2018352,0,192,1328.53,"Cluster","Intel Xeon E5-2680v2  10C 2.8GHz","Intel IvyBridge",2800,"bullx SCS","Linux","None",10,"Intel Xeon E5 (IvyBridge)","Bullx DLC B710 Blades","Bull Bullx","Infiniband","Infiniband FDR","Western Europe","Europe",255078
"265",2014-11-01,134,-3.656,265,79,225129,150,1500.86,"Top500","",2014,"HELIOS",24480,"Bullx B515 cluster, Xeon E5-2450 8C 2.1GHz, Infiniband FDR, Intel Xeon Phi 5110P","International Fusion Energy Research Centre (IFERC), EU(F4E) - Japan Broader Approach collaboration","Bull SA","Japan","Academic",21600,"411984",940800,0,"Cluster","Xeon E5-2450 8C 2.1GHz","Intel SandyBridge",2100,"bullx SCS","Linux","Intel Xeon Phi 5110P",8,"Intel Xeon E5 (SandyBridge)","Bullx B515 cluster","Bull Bullx","Infiniband","Infiniband FDR","Eastern Asia","Asia",NA,44,265,"HELIOS","Bullx B515 cluster, Xeon E5-2450 8C 2.1GHz, Infiniband FDR, Intel Xeon Phi 5110P","International Fusion Energy Research Centre (IFERC), EU(F4E) - Japan Broader Approach collaboration","Bull SA","Japan",2014,"Academic",24480,21600,"225129",411984,940800,0,150,1500.86,"Cluster","Xeon E5-2450 8C 2.1GHz","Intel SandyBridge",2100,"bullx SCS","Linux","Intel Xeon Phi 5110P",8,"Intel Xeon E5 (SandyBridge)","Bullx B515 cluster","Bull Bullx","Infiniband","Infiniband FDR","Eastern Asia","Asia",225129
"89",2014-11-01,135,-3.658,89,218,551000,906,608.1677704,"Derived","",2013,"Palmetto2",12080,"Cluster Platform SL250s Gen8, Xeon E5-2665 8C 2.4GHz/E5-2670v2, Infiniband FDR, Nvidia K20m","Clemson University","Hewlett-Packard","United States","Academic",7280,"739,428.8",0,0,"Cluster","Xeon E5-2665 8C 2.4GHz","Intel SandyBridge",2400,"Linux","Linux","Nvidia K20m",8,"Intel Xeon E5 (SandyBridge)","Cluster Platform SL250s Gen8","HP Cluster Platform 3000SL","Infiniband","Infiniband FDR","North America","Americas",66,41,115,"Palmetto2","Cluster Platform SL250s Gen8, Xeon E5-2665 8C 2.4GHz/E5-2670v2, Infiniband FDR, Nvidia K20m","Clemson University","Hewlett-Packard","United States",2013,"Academic",12080,7280,"551000",739428.8,0,0,NA,NA,"Cluster","Xeon E5-2665 8C 2.4GHz","Intel SandyBridge",2400,"Linux","Linux","Nvidia K20m",8,"Intel Xeon E5 (SandyBridge)","Cluster Platform SL250s Gen8","HP Cluster Platform 3000SL","Infiniband","Infiniband FDR","North America","Americas",551000
"87",2014-11-01,136,-3.664,87,221,565700,972,581.9958848,"Top500","",2011,"Gaea C2",77824,"Cray XE6, Opteron 6276 16C 2.30GHz, Cray Gemini interconnect","NOAA/Oak Ridge National Laboratory","Cray Inc.","United States","Research",0,"715981",0,0,"MPP","Opteron 6276 16C 2.3GHz","AMD x86_64",2300,"Cray Linux Environment ","Linux","None",16,"Opteron 6200 Series ""Interlagos""","Cray XE6","Cray XE","Cray Interconnect","Cray Gemini interconnect","North America","Americas",64,38,20,"Gaea C2","Cray XE6, Opteron 6276 16C 2.30GHz, Cray Gemini interconnect","NOAA/Oak Ridge National Laboratory","Cray Inc.","United States",2011,"Research",77824,0,"565700",715981,0,0,972,582,"MPP","Opteron 6276 16C 2.3GHz","AMD x86_64",2300,"Cray Linux Environment ","Linux","None",16,"Opteron 6200 Series ""Interlagos""","Cray XE6","Cray XE","Cray Interconnect","Cray Gemini interconnect","North America","Americas",565700
"317",2014-11-01,137,-3.664,317,73,193905,114.375,1695.344262,"Derived","",2014,"Crystal",7808,"Cray XC40, Xeon E5-2698v3 16C 2.3GHz, Aries interconnect ","Cray Inc.","Cray Inc.","United States","Vendor",0,"287,334.4",0,0,"Cluster","Xeon E5-2698v3 16C 2.3GHz","Intel Haswell",2300,"Cray Linux Environment ","Linux","None",16,"Intel Xeon E5 (Haswell)","Cray XC40","Cray XC","Custom Interconnect","Aries interconnect ","North America","Americas",450,40,169,"Crystal","Cray XC40, Xeon E5-2698v3 16C 2.3GHz, Aries interconnect ","Cray Inc.","Cray Inc.","United States",2014,"Vendor",7808,0,"193905",287334.4,0,0,NA,NA,"Cluster","Xeon E5-2698v3 16C 2.3GHz","Intel Haswell",2300,"Cray Linux Environment ","Linux","None",16,"Intel Xeon E5 (Haswell)","Cray XC40","Cray XC","Custom Interconnect","Aries interconnect ","North America","Americas",193905
