"","date","ExaRank","exascalar","green500rank","top500rank","rmax","power","mflopswatt","computer"
"1",2012-11-01,1,-2.208,3,1,17590000,8209,2142.77013,"Cray XK7 , Opteron 6274 16C 2.200GHz, Cray Gemini interconnect, NVIDIA K20x"
"2",2012-11-01,2,-2.242,29,2,16324751,7890,2069.043219,"BlueGene/Q, Power BQC 16C 1.60 GHz, Custom"
"4",2012-11-01,3,-2.455,28,4,8162376,3945,2069.043346,"BlueGene/Q, Power BQC 16C 1.60GHz, Custom"
"3",2012-11-01,4,-2.657,85,3,10510000,12659.89,830.1809889,"K computer, SPARC64 VIIIfx 2.0GHz, Tofu interconnect"
"5",2012-11-01,5,-2.658,5,5,4141180,1970,2102.121827,"BlueGene/Q, Power BQC 16C 1.600GHz, Custom Interconnect"
"9",2012-11-01,6,-2.927,23,9,1725492,821.88,2099.445174,"BlueGene/Q, Power BQC 16C 1.60GHz, Custom"
"16",2012-11-01,7,-3.037,19,16,1207844,575.31,2099.466375,"BlueGene/Q, Power BQC 16C 1.60GHz, Custom"
"6",2012-11-01,8,-3.047,82,6,2897000,3422.67,846.4152255,"iDataPlex DX360M4, Xeon E5-2680 8C 2.70GHz, Infiniband FDR"
"23",2012-11-01,9,-3.084,18,23,1035295,493.12,2099.478829,"BlueGene/Q, Power BQC 16C 1.60GHz, Custom"
"8",2012-11-01,10,-3.173,121,8,2566000,4040,635.1485149,"NUDT YH MPP, Xeon X5670 6C 2.93 GHz, NVIDIA 2050"
"31",2012-11-01,11,-3.209,22,31,690197,328.75,2099.458555,"BlueGene/Q, Power BQC 16C 1.60GHz, Custom"
"32",2012-11-01,12,-3.209,21,32,690197,328.75,2099.458555,"BlueGene/Q, Power BQC 16C 1.60GHz, Custom"
"33",2012-11-01,13,-3.209,20,33,690197,328.75,2099.458555,"BlueGene/Q, Power BQC 16C 1.60GHz, Custom"
"7",2012-11-01,14,-3.254,142,7,2660290,5666.765625,469.454743,"PowerEdge C8220, Xeon E5-2680 8C 2.700GHz, Infiniband FDR, Intel Xeon Phi"
"13",2012-11-01,15,-3.293,57,13,1257615,1436.72,875.3375745,"iDataPlex DX360M4, Xeon E5-2670 8C 2.600GHz, Infiniband FDR"
"41",2012-11-01,16,-3.297,17,41,517648,246.56,2099.480857,"BlueGene/Q, Power BQC 16C 1.60GHz, Custom"
"42",2012-11-01,17,-3.297,16,42,517648,246.56,2099.480857,"BlueGene/Q, Power BQC 16C 1.600GHz, Custom Interconnect"
"17",2012-11-01,18,-3.318,80,17,1192000,1398.61,852.2747585,"HP ProLiant SL390s G7 Xeon 6C X5670, Nvidia GPU, Linux/Windows"
