"","top500rank","green500rank.g","rmax.g","power.g","mflopswatt.g","how.g","year.g","name.g","totalcores.g","manufacturer.g","site.g","country.g","rpeak.g","segment.g","acceleratorcoprocessorcores.g","nmax.g","architecture.g","processor.g","processorfamily.g","procfrequency.g","os.g","osfamily.g","acceleratorcoprocessor.g","coressocket.g","processorgeneration.g","systemmodel.g","systemfamily.g","interconnectfamily.g","interconnect.g","region.g","continent.g","previoustop500rank","firstappearance.t","firsttop500rank","name.t","computer.t","site.t","manufacturer.t","country.t","year.t","segment.t","totalcores.t","acceleratorcoprocessorcores.t","rmax.t","rpeak.t","nmax.t","nhalf.t","power.t","mflopswatt.t","architecture.t","processor.t","processortechnology.t","processorspeedmhz.t","oatingsystem.t","osfamily.t","acceleratorcoprocessor.t","coressocket.t","processorgeneration.t","systemmodel.t","systemfamily.t","interconnectfamily.t","interconnect.t","region.t","continent.t"
"64",64,131,484179,609.408,794.5071282,"Derived",2013,"Amazon EC2 Cluster, Intel Xeon E5-2670v2  10C 2.500GHz, 10G Ethernet",26496,"Self-made","Amazon Web Services","United States",593868.8,"Industry",0,3373325,"Cluster","Intel Xeon E5-2670v2  10C 2.500GHz","Intel IvyBridge",2500,"Linux","Linux","None",10,"Intel Xeon E5 (IvyBridge)","Amazon EC2 Cluster","NOW - Intel","10G","10G Ethernet","North America","Americas",NA,42,64,"Amazon EC2 C3 Instance cluster","Amazon EC2 Cluster, Intel Xeon E5-2680v2  10C 2.800GHz, 10G Ethernet","Amazon Web Services","Self-made","United States",2013,"Industry",26496,0,484179,593510,3373325,0,NA,NA,"Cluster","Intel Xeon E5-2680v2  10C 2.800GHz","Intel IvyBridge",2800,"Linux","Linux","None",10,"Intel Xeon E5 (IvyBridge)","Amazon EC2 Cluster","NOW - Intel","10G","10G Ethernet","North America","Americas"
"65",65,189,476333,1040.18,457.9332423,"Submission",2011,"Power 775, POWER7 8C 3.836GHz, Custom Interconnect",18432,"IBM","United Kingdom Meteorological Office","United Kingdom",565641.22,"Research",0,0,"MPP","POWER7 8C 3.836GHz","Power",3836,"AIX","Unix","None",8,"POWER7","Power 775","IBM pSeries","Custom Interconnect","Custom Interconnect","Northern Europe","Europe",57,38,62,"","Power 775, POWER7 8C 3.836GHz, Custom Interconnect","United Kingdom Meteorological Office","IBM","United Kingdom",2011,"Research",18432,0,476333,565641,0,0,1040,458,"MPP","POWER7 8C 3.836GHz","Power",3836,"AIX","Unix","None",8,"POWER7","Power 775","IBM pSeries","Custom Interconnect","Custom Interconnect","Northern Europe","Europe"
"66",66,444,461793,4032,114.531994,"Derived",2012,"Cluster Platform SL390s G7, Xeon X5650 6C 2.660GHz, Gigabit Ethernet, NVIDIA 2090",40320,"Hewlett-Packard","Geoscience (P)","United States",1141459,"Industry",23040,0,"Cluster","Xeon X5650 6C 2.660GHz","Intel Nehalem",2660,"Linux","Linux","NVIDIA 2090",6,"Xeon 5600-series (Westmere-EP)","Cluster Platform SL390s G7","HP Cluster Platform 3000SL","Gigabit Ethernet","Gigabit Ethernet","North America","Americas",56,40,44,"","Cluster Platform SL390s G7, Xeon X5650 6C 2.660GHz, Gigabit Ethernet, NVIDIA 2090","Geoscience (P)","Hewlett-Packard","United States",2012,"Industry",40320,23040,461793,1141459,0,0,NA,NA,"Cluster","Xeon X5650 6C 2.660GHz","Intel Nehalem",2660,"Linux","Linux","NVIDIA 2090",6,"Xeon 5600-series (Westmere-EP)","Cluster Platform SL390s G7","HP Cluster Platform 3000SL","Gigabit Ethernet","Gigabit Ethernet","North America","Americas"
"67",67,210,458611,1260,363.9769841,"Submission",2007,"Blue Gene/P Solution",163840,"IBM","DOE/SC/Argonne National Laboratory","United States",557056,"Research",0,0,"MPP","PowerPC 450 4C 850MHz","Power",850,"CNK/SLES 9","Mixed","None",4,"PowerPC 450","BlueGene/P","IBM BlueGene","Proprietary Network","Proprietary","North America","Americas",58,31,4,"Intrepid","Blue Gene/P Solution","DOE/SC/Argonne National Laboratory","IBM","United States",2007,"Research",163840,0,458611,557056,0,0,1260,364,"MPP","PowerPC 450 4C 850MHz","Power",850,"CNK/SLES 9","Mixed","None",4,"PowerPC 450","BlueGene/P","IBM BlueGene","Proprietary Network","Proprietary","North America","Americas"
"68",68,351,457570.7,2419.2,189.1413277,"Derived",2012,"Cluster Platform SL230s Gen8, Xeon E5-2670 8C 2.600GHz, 10G Ethernet",32256,"Hewlett-Packard","Energy Company (D)","United States",670925,"Industry",0,0,"Cluster","Xeon E5-2670 8C 2.600GHz","Intel SandyBridge",2600,"Linux","Linux","None",8,"Intel Xeon E5 (SandyBridge)","Cluster Platform SL230s Gen8","HP Cluster Platform 3000SL","10G","10G Ethernet","North America","Americas",59,40,48,"","Cluster Platform SL230s Gen8, Xeon E5-2670 8C 2.600GHz, 10G Ethernet","Energy Company (D)","Hewlett-Packard","United States",2012,"Industry",32256,0,457571,670925,0,0,NA,NA,"Cluster","Xeon E5-2670 8C 2.600GHz","Intel SandyBridge",2600,"Linux","Linux","None",8,"Intel Xeon E5 (SandyBridge)","Cluster Platform SL230s Gen8","HP Cluster Platform 3000SL","10G","10G Ethernet","North America","Americas"
"69",69,88,454053.34,498.53,910.7843861,"Submission",2013,"iDataPlex DX360M4, Xeon E5-2670 8C 2.600GHz, Infiniband FDR14",24000,"IBM","Exploration & Production - Eni S.p.A.","Italy",499200,"Industry",0,0,"Cluster","Xeon E5-2670 8C 2.600GHz","Intel SandyBridge",2600,"Linux","Linux","None",8,"Intel Xeon E5 (SandyBridge)","iDataPlex DX360M4","IBM iDataPlex","Infiniband","Infiniband FDR14","Southern Europe","Europe",NA,42,69,"HPCC1","iDataPlex DX360M4, Xeon E5-2670 8C 2.600GHz, Infiniband FDR14","Exploration & Production - Eni S.p.A.","IBM","Italy",2013,"Industry",24000,0,454053,499200,0,0,499,911,"Cluster","Xeon E5-2670 8C 2.600GHz","Intel SandyBridge",2600,"Linux","Linux","None",8,"Intel Xeon E5 (SandyBridge)","iDataPlex DX360M4","IBM iDataPlex","Infiniband","Infiniband FDR14","Southern Europe","Europe"
"70",70,109,441815,505.5,874.0158259,"Submission",2013,"iDataPlex DX360M4, Xeon E5-2670 8C 2.600GHz, Infiniband QDR",24336,"IBM","Saudi Aramco","Saudi Arabia",506189,"Industry",0,3232768,"Cluster","Xeon E5-2670 8C 2.600GHz","Intel SandyBridge",2600,"Linux","Linux","None",8,"Intel Xeon E5 (SandyBridge)","iDataPlex DX360M4","IBM iDataPlex","Infiniband","Infiniband QDR","Western Asia","Asia",60,41,60,"Makman","iDataPlex DX360M4, Xeon E5-2670 8C 2.600GHz, Infiniband QDR","Saudi Aramco","IBM","Saudi Arabia",2013,"Industry",24336,0,441815,506189,3232768,600000,506,874,"Cluster","Xeon E5-2670 8C 2.600GHz","Intel SandyBridge",2600,"Linux","Linux","None",8,"Intel Xeon E5 (SandyBridge)","iDataPlex DX360M4","IBM iDataPlex","Infiniband","Infiniband QDR","Western Asia","Asia"
"71",71,469,433500,4343.73,99.79902066,"Derived",2010,"Sun Blade x6275, Xeon X55xx 2.93 Ghz, Infiniband",42440,"Sun Microsystems","Sandia National Laboratories / National Renewable Energy Laboratory","United States",497396,"Research",0,2504421,"Cluster","Xeon X5570 4C 2.930GHz","Intel Nehalem",2930,"CentOS","Linux","None",4,"Xeon 5500-series (Nehalem-EP)","Sun Blade x6275","Sun Blade System","Infiniband","Infiniband","North America","Americas",61,35,10,"Red Sky","Sun Blade x6275, Xeon X55xx 2.93 Ghz, Infiniband","Sandia National Laboratories / National Renewable Energy Laboratory","Sun Microsystems","United States",2010,"Research",42440,0,433500,497396,2504421,0,NA,NA,"Cluster","Xeon X5570 4C 2.930GHz","Intel Nehalem",2930,"CentOS","Linux","None",4,"Xeon 5500-series (Nehalem-EP)","Sun Blade x6275","Sun Blade System","Infiniband","Infiniband","North America","Americas"
"72",72,476,426750.8,5674.8,75.20102911,"Derived",2013,"Cluster Platform DL360e Gen8, Xeon E5-2450L 8C 1.800GHz, Gigabit Ethernet",75664,"Hewlett-Packard","Software Company (M)","United States",1089562,"Industry",0,0,"Cluster","Xeon E5-2450L 8C 1.800GHz","Intel SandyBridge",1800,"Linux","Linux","None",8,"Intel Xeon E5 (SandyBridge)","Cluster Platform DL360e Gen8","HP Cluster Platform 3000","Gigabit Ethernet","Gigabit Ethernet","North America","Americas",NA,42,72,"","Cluster Platform DL360e Gen8, Xeon E5-2450L 8C 1.800GHz, Gigabit Ethernet","Software Company (M)","Hewlett-Packard","United States",2013,"Industry",75664,0,426751,1089562,0,0,NA,NA,"Cluster","Xeon E5-2450L 8C 1.800GHz","Intel SandyBridge",1800,"Linux","Linux","None",8,"Intel Xeon E5 (SandyBridge)","Cluster Platform DL360e Gen8","HP Cluster Platform 3000","Gigabit Ethernet","Gigabit Ethernet","North America","Americas"
"73",73,59,421600,407.29,1035.134671,"Top500",2012,"Xtream-X GreenBlade 8204, Xeon E5-2670 8C 2.600GHz, Infiniband QDR, NVIDIA 2090",20800,"Cray Inc.","Center for Computational Sciences, University of Tsukuba","Japan",778128,"Academic",16640,1954559,"Cluster","Xeon E5-2670 8C 2.600GHz","Intel SandyBridge",2600,"Linux","Linux","NVIDIA 2090",8,"Intel Xeon E5 (SandyBridge)","Xtream-X GreenBlade 8204","Appro Xtreme-X","Infiniband","Infiniband QDR","Eastern Asia","Asia",62,39,41,"HA-PACS","Xtream-X GreenBlade 8204, Xeon E5-2670 8C 2.600GHz, Infiniband QDR, NVIDIA 2090","Center for Computational Sciences, University of Tsukuba","Cray Inc.","Japan",2012,"Academic",20800,16640,421600,778128,1954559,0,407,1035,"Cluster","Xeon E5-2670 8C 2.600GHz","Intel SandyBridge",2600,"Linux","Linux","NVIDIA 2090",8,"Intel Xeon E5 (SandyBridge)","Xtream-X GreenBlade 8204","Appro Xtreme-X","Infiniband","Infiniband QDR","Eastern Asia","Asia"
"74",74,176,420400,692.9803125,606.6550412,"Derived",2013,"Cray XC30, Xeon E5-2670 8C 2.600GHz, Aries interconnect ",24192,"Cray Inc.","National Astronomical Observatory of Japan","Japan",503194,"Academic",0,3048192,"MPP","Xeon E5-2670 8C 2.600GHz","Intel SandyBridge",2600,"Cray Linux Environment ","Linux","None",8,"Intel Xeon E5 (SandyBridge)","Cray XC30","Cray XC","Custom Interconnect","Aries interconnect ","Eastern Asia","Asia",63,41,63,"Aterui","Cray XC30, Xeon E5-2670 8C 2.600GHz, Aries interconnect ","National Astronomical Observatory of Japan","Cray Inc.","Japan",2013,"Academic",24192,0,420400,503194,3048192,0,NA,NA,"MPP","Xeon E5-2670 8C 2.600GHz","Intel SandyBridge",2600,"Cray Linux Environment ","Linux","None",8,"Intel Xeon E5 (SandyBridge)","Cray XC30","Cray XC","Custom Interconnect","Aries interconnect ","Eastern Asia","Asia"
"75",75,418,419387,3244.8,129.2489522,"Derived",2013,"Cluster Platform SL230s Gen8, Xeon E5-2670 8C 2.600GHz, 10G Ethernet, NVIDIA 2075",43264,"Hewlett-Packard","IT Service Provider","United States",1075350,"Industry",10976,0,"Cluster","Xeon E5-2670 8C 2.600GHz","Intel SandyBridge",2600,"Linux","Linux","NVIDIA 2075",8,"Intel Xeon E5 (SandyBridge)","Cluster Platform SL230s Gen8","HP Cluster Platform 3000SL","10G","10G Ethernet","North America","Americas",64,41,64,"","Cluster Platform SL230s Gen8, Xeon E5-2670 8C 2.600GHz, 10G Ethernet, NVIDIA 2075","IT Service Provider","Hewlett-Packard","United States",2013,"Industry",43264,10976,419387,1075350,0,0,NA,NA,"Cluster","Xeon E5-2670 8C 2.600GHz","Intel SandyBridge",2600,"Linux","Linux","NVIDIA 2075",8,"Intel Xeon E5 (SandyBridge)","Cluster Platform SL230s Gen8","HP Cluster Platform 3000SL","10G","10G Ethernet","North America","Americas"
"76",76,38,417256,215.6,1935.324675,"Submission",2012,"iDataPlex DX360M4, Xeon E5-2670 8C 2.600GHz, Infiniband QDR, Intel Xeon Phi 5110P",35568,"IBM","NASA Center for Climate Simulation","United States",628842.24,"Government",28080,960000,"Cluster","Xeon E5-2670 8C 2.600GHz","Intel SandyBridge",2600,"Linux","Linux","Intel Xeon Phi 5110P",8,"Intel Xeon E5 (SandyBridge)","iDataPlex DX360M4","IBM iDataPlex","Infiniband","Infiniband QDR","North America","Americas",65,40,53,"Discover","iDataPlex DX360M4, Xeon E5-2670 8C 2.600GHz, Infiniband QDR, Intel Xeon Phi 5110P","NASA Center for Climate Simulation","IBM","United States",2012,"Government",35568,28080,417256,628842,960000,0,216,1935,"Cluster","Xeon E5-2670 8C 2.600GHz","Intel SandyBridge",2600,"Linux","Linux","Intel Xeon Phi 5110P",8,"Intel Xeon E5 (SandyBridge)","iDataPlex DX360M4","IBM iDataPlex","Infiniband","Infiniband QDR","North America","Americas"
"77",77,209,415700,1134,366.5784832,"Submission",2009,"Blue Gene/P Solution",147456,"IBM","DOE/NNSA/LLNL","United States",501350,"Research",0,2958335,"MPP","PowerPC 450 4C 850MHz","Power",850,"CNK/SLES 9","Mixed","None",4,"PowerPC 450","BlueGene/P","IBM BlueGene","Proprietary Network","Proprietary","North America","Americas",66,33,9,"Dawn","Blue Gene/P Solution","DOE/NNSA/LLNL","IBM","United States",2009,"Research",147456,0,415700,501350,2958335,0,1134,367,"MPP","PowerPC 450 4C 850MHz","Power",850,"CNK/SLES 9","Mixed","None",4,"PowerPC 450","BlueGene/P","IBM BlueGene","Proprietary Network","Proprietary","North America","Americas"
"78",78,445,413500,3628.8,113.949515,"Derived",2012,"SGI Rackable C2112-4RP3, Xeon E5-2670 8C 2.600GHz, Infiniband QDR",24192,"SGI","DOE/National Energy Technology Laboratory","United States",503194,"Research",0,2422554,"Cluster","Xeon E5-2670 8C 2.600GHz","Intel SandyBridge",2600,"Linux","Linux","None",8,"Intel Xeon E5 (SandyBridge)","SGI Rackable C2112-4RP3","Rackable Cluster","Infiniband","Infiniband QDR","North America","Americas",67,40,55,"HPCEE","SGI Rackable C2112-4RP3, Xeon E5-2670 8C 2.600GHz, Infiniband QDR","DOE/National Energy Technology Laboratory","SGI","United States",2012,"Research",24192,0,413500,503194,2422554,0,NA,NA,"Cluster","Xeon E5-2670 8C 2.600GHz","Intel SandyBridge",2600,"Linux","Linux","None",8,"Intel Xeon E5 (SandyBridge)","SGI Rackable C2112-4RP3","Rackable Cluster","Infiniband","Infiniband QDR","North America","Americas"
"79",79,135,407240,519,784.6628131,"Top500",2012,"Cluster Platform SL230s Gen8, Xeon E5-2660 8C 2.200GHz, Infiniband FDR",25376,"Hewlett-Packard","National Supercomputer Centre (NSC)","Sweden",446617.6,"Academic",0,2375000,"Cluster","Xeon E5-2660 8C 2.200GHz","Intel SandyBridge",2200,"Linux","Linux","None",8,"Intel Xeon E5 (SandyBridge)","Cluster Platform SL230s Gen8","HP Cluster Platform 3000SL","Infiniband","Infiniband FDR","Northern Europe","Europe",96,40,83,"Triolith","Cluster Platform SL230s Gen8, Xeon E5-2660 8C 2.200GHz, Infiniband FDR","National Supercomputer Centre (NSC)","Hewlett-Packard","Sweden",2012,"Academic",25376,0,407240,446618,2375000,0,519,785,"Cluster","Xeon E5-2660 8C 2.200GHz","Intel SandyBridge",2200,"Linux","Linux","None",8,"Intel Xeon E5 (SandyBridge)","Cluster Platform SL230s Gen8","HP Cluster Platform 3000SL","Infiniband","Infiniband FDR","Northern Europe","Europe"
"80",80,192,396944.44,866.82,457.9317967,"Submission",2011,"Power 775, POWER7 8C 3.836GHz, Custom Interconnect",15360,"IBM","United Kingdom Meteorological Office","United Kingdom",471367.68,"Research",0,0,"MPP","POWER7 8C 3.836GHz","Power",3836,"AIX","Unix","None",8,"POWER7","Power 775","IBM pSeries","Custom Interconnect","Custom Interconnect","Northern Europe","Europe",70,38,63,"","Power 775, POWER7 8C 3.836GHz, Custom Interconnect","United Kingdom Meteorological Office","IBM","United Kingdom",2011,"Research",15360,0,396944,471368,0,0,867,458,"MPP","POWER7 8C 3.836GHz","Power",3836,"AIX","Unix","None",8,"POWER7","Power 775","IBM pSeries","Custom Interconnect","Custom Interconnect","Northern Europe","Europe"
"81",81,167,396700,614.25,645.8282458,"Derived",2013,"Cluster Platform SL250s Gen8, Xeon E5-2665 8C 2.400GHz, Infiniband FDR, Nvidia K20m",8190,"Hewlett-Packard","Clemson University","United States",518021.4,"Academic",5070,1152256,"Cluster","Xeon E5-2665 8C 2.400GHz","Intel SandyBridge",2400,"Linux","Linux","Nvidia K20m",8,"Intel Xeon E5 (SandyBridge)","Cluster Platform SL250s Gen8","HP Cluster Platform 3000SL","Infiniband","Infiniband FDR","North America","Americas",115,41,115,"Palmetto2","Cluster Platform SL250s Gen8, Xeon E5-2665 8C 2.400GHz, Infiniband FDR, Nvidia K20m","Clemson University","Hewlett-Packard","United States",2013,"Academic",8190,5070,396700,518021,1152256,0,NA,NA,"Cluster","Xeon E5-2665 8C 2.400GHz","Intel SandyBridge",2400,"Linux","Linux","Nvidia K20m",8,"Intel Xeon E5 (SandyBridge)","Cluster Platform SL250s Gen8","HP Cluster Platform 3000SL","Infiniband","Infiniband FDR","North America","Americas"
"82",82,143,396700,537,738.7337058,"Top500",2012,"SGI ICE X, Xeon E5-2670 8C 2.600GHz, Infiniband FDR",22048,"SGI","Norwegian University of Science and Technology","Norway",458598,"Academic",0,2203320,"Cluster","Xeon E5-2670 8C 2.600GHz","Intel SandyBridge",2600,"SUSE Linux Enterprise Server 11","Linux","None",8,"Intel Xeon E5 (SandyBridge)","SGI ICE X","SGI ICE","Infiniband","Infiniband FDR","Northern Europe","Europe",68,39,44,"","SGI ICE X, Xeon E5-2670 8C 2.600GHz, Infiniband FDR","Norwegian University of Science and Technology","SGI","Norway",2012,"Academic",22048,0,396700,458598,2203320,0,537,739,"Cluster","Xeon E5-2670 8C 2.600GHz","Intel SandyBridge",2600,"SUSE Linux Enterprise Server 11","Linux","None",8,"Intel Xeon E5 (SandyBridge)","SGI ICE X","SGI ICE","Infiniband","Infiniband FDR","Northern Europe","Europe"
"83",83,44,388442,220.68,1760.204821,"Submission",2013,"R2208GZ Cluster, Xeon E5-2670 8C 2.600GHz, Infiniband FDR, Intel Xeon Phi 5110P",30056,"Netweb Technologies","Center for Development of Advanced Computing (C-DAC)","India",520357.76,"Research",26520,1225088,"Cluster","Xeon E5-2670 8C 2.600GHz","Intel SandyBridge",2600,"CentOS","Linux","Intel Xeon Phi 5110P",8,"Intel Xeon E5 (SandyBridge)","R2208GZ Cluster","Netweb Cluster","Infiniband","Infiniband FDR","South-central Asia","Asia",69,41,69,"PARAM Yuva - II","R2208GZ Cluster, Xeon E5-2670 8C 2.600GHz, Infiniband FDR, Intel Xeon Phi 5110P","Center for Development of Advanced Computing (C-DAC)","Netweb Technologies","India",2013,"Research",30056,26520,388442,520358,1225088,0,210,1850,"Cluster","Xeon E5-2670 8C 2.600GHz","Intel SandyBridge",2600,"CentOS","Linux","Intel Xeon Phi 5110P",8,"Intel Xeon E5 (SandyBridge)","R2208GZ Cluster","Netweb Cluster","Infiniband","Infiniband FDR","South-central Asia","Asia"
"84",84,46,375700,222.7,1687.022901,"Top500",2012,"RSC Tornado, Xeon E5-2690 8C 2.900GHz, Infiniband FDR, Intel Xeon Phi SE10X",28704,"RSC Group","Joint Supercomputer Center","Russia",523577.6,"Academic",25376,1180160,"Cluster","Xeon E5-2690 8C 2.900GHz","Intel SandyBridge",2900,"Linux","Linux","Intel Xeon Phi SE10X",8,"Intel Xeon E5 (SandyBridge)","RSC Tornado","RSC Cluster","Infiniband","Infiniband FDR","Eastern Europe","Europe",72,40,59,"MVS-10P","RSC Tornado, Xeon E5-2690 8C 2.900GHz, Infiniband FDR, Intel Xeon Phi SE10X","Joint Supercomputer Center","RSC Group","Russia",2012,"Academic",28704,25376,375700,523578,1180160,0,223,1687,"Cluster","Xeon E5-2690 8C 2.900GHz","Intel SandyBridge",2900,"Linux","Linux","Intel Xeon Phi SE10X",8,"Intel Xeon E5 (SandyBridge)","RSC Tornado","RSC Cluster","Infiniband","Infiniband FDR","Eastern Europe","Europe"
"85",85,346,371738.3,1917.6,193.8560179,"Derived",2012,"Cluster Platform SL250s Gen8, Xeon E5-2670 8C 2.600GHz, 10G Ethernet",25568,"Hewlett-Packard","Energy Company","United States",531814,"Industry",0,0,"Cluster","Xeon E5-2670 8C 2.600GHz","Intel SandyBridge",2600,"Linux","Linux","None",8,"Intel Xeon E5 (SandyBridge)","Cluster Platform SL250s Gen8","HP Cluster Platform 3000SL","10G","10G Ethernet","North America","Americas",73,40,60,"","Cluster Platform SL250s Gen8, Xeon E5-2670 8C 2.600GHz, 10G Ethernet","Energy Company","Hewlett-Packard","United States",2012,"Industry",25568,0,371738,531814,0,0,NA,NA,"Cluster","Xeon E5-2670 8C 2.600GHz","Intel SandyBridge",2600,"Linux","Linux","None",8,"Intel Xeon E5 (SandyBridge)","Cluster Platform SL250s Gen8","HP Cluster Platform 3000SL","10G","10G Ethernet","North America","Americas"
"86",86,435,364462.6,2942.1,123.8783862,"Derived",2013,"Cluster Platform DL360p Gen8, Xeon E5-2640 6C 2.500GHz, Gigabit Ethernet",39228,"Hewlett-Packard","Service Provider","China",784560,"Industry",0,0,"Cluster","Xeon E5-2640 6C 2.500GHz","Intel SandyBridge",2500,"Linux","Linux","None",6,"Intel Xeon E5 (SandyBridge)","Cluster Platform DL360p Gen8","HP Cluster Platform 3000","Gigabit Ethernet","Gigabit Ethernet","Eastern Asia","Asia",NA,42,86,"","Cluster Platform DL360p Gen8, Xeon E5-2640 6C 2.500GHz, Gigabit Ethernet","Service Provider","Hewlett-Packard","China",2013,"Industry",39228,0,364463,784560,0,0,NA,NA,"Cluster","Xeon E5-2640 6C 2.500GHz","Intel SandyBridge",2500,"Linux","Linux","None",6,"Intel Xeon E5 (SandyBridge)","Cluster Platform DL360p Gen8","HP Cluster Platform 3000","Gigabit Ethernet","Gigabit Ethernet","Eastern Asia","Asia"
"87",87,32,357776,164.38,2176.517825,"Submission",2011,"BlueGene/Q, Power BQC 16C 1.60 GHz, Custom",32768,"IBM","IBM Rochester","United States",419430.4,"Vendor",0,0,"MPP","Power BQC 16C 1.600GHz","PowerPC",1600,"Linux","Linux","None",16,"Power BQC","BlueGene/Q","IBM BlueGene","Custom Interconnect","Custom Interconnect","North America","Americas",74,38,29,"","BlueGene/Q, Power BQC 16C 1.60 GHz, Custom","IBM Rochester","IBM","United States",2011,"Vendor",32768,0,357776,419430,0,0,164,2177,"MPP","Power BQC 16C 1.600GHz","PowerPC",1600,"Linux","Linux","None",16,"Power BQC","BlueGene/Q","IBM BlueGene","Custom Interconnect","Custom Interconnect","North America","Americas"
"88",88,33,357776,164.38,2176.517825,"Submission",2011,"BlueGene/Q, Power BQC 16C 1.60 GHz, Custom",32768,"IBM","IBM Rochester","United States",419430.4,"Vendor",0,0,"MPP","Power BQC 16C 1.600GHz","PowerPC",1600,"Linux","Linux","None",16,"Power BQC","BlueGene/Q","IBM BlueGene","Custom Interconnect","Custom Interconnect","North America","Americas",75,38,64,"","BlueGene/Q, Power BQC 16C 1.60 GHz, Custom","IBM Rochester","IBM","United States",2011,"Vendor",32768,0,357776,419430,0,0,164,2177,"MPP","Power BQC 16C 1.600GHz","PowerPC",1600,"Linux","Linux","None",16,"Power BQC","BlueGene/Q","IBM BlueGene","Custom Interconnect","Custom Interconnect","North America","Americas"
"89",89,34,357776,164.38,2176.517825,"Submission",2012,"BlueGene/Q, Power BQC 16C 1.600GHz, Custom Interconnect",32768,"IBM","Southern Ontario Smart Computing Innovation Consortium/University of Toronto","Canada",419430.4,"Academic",0,0,"MPP","Power BQC 16C 1.600GHz","PowerPC",1600,"Linux","Linux","None",16,"Power BQC","BlueGene/Q","IBM BlueGene","Custom Interconnect","Custom Interconnect","North America","Americas",77,40,68,"BGQ","BlueGene/Q, Power BQC 16C 1.600GHz, Custom Interconnect","Southern Ontario Smart Computing Innovation Consortium/University of Toronto","IBM","Canada",2012,"Academic",32768,0,357776,419430,0,0,164,2177,"MPP","Power BQC 16C 1.600GHz","PowerPC",1600,"Linux","Linux","None",16,"Power BQC","BlueGene/Q","IBM BlueGene","Custom Interconnect","Custom Interconnect","North America","Americas"
"90",90,477,354467,4713.6,75.20090801,"Derived",2013,"Cluster Platform DL360e Gen8, Xeon E5-2450L 8C 1.800GHz, Gigabit Ethernet",62848,"Hewlett-Packard","Software Company (M)","United States",905011,"Industry",0,0,"Cluster","Xeon E5-2450L 8C 1.800GHz","Intel SandyBridge",1800,"Linux","Linux","None",8,"Intel Xeon E5 (SandyBridge)","Cluster Platform DL360e Gen8","HP Cluster Platform 3000","Gigabit Ethernet","Gigabit Ethernet","North America","Americas",NA,42,90,"","Cluster Platform DL360e Gen8, Xeon E5-2450L 8C 1.800GHz, Gigabit Ethernet","Software Company (M)","Hewlett-Packard","United States",2013,"Industry",62848,0,354467,905011,0,0,NA,NA,"Cluster","Xeon E5-2450L 8C 1.800GHz","Intel SandyBridge",1800,"Linux","Linux","None",8,"Intel Xeon E5 (SandyBridge)","Cluster Platform DL360e Gen8","HP Cluster Platform 3000","Gigabit Ethernet","Gigabit Ethernet","North America","Americas"
"91",91,60,352671,347.27,1015.55274,"Submission",2013,"iDataPlex DX360M4, Intel Xeon E5-2697v2 12C 2.700GHz, Infiniband FDR14",18144,"IBM","EDF R&D","France",391910,"Industry",0,2370816,"Cluster","Intel Xeon E5-2697v2 12C 2.700GHz","Intel IvyBridge",2700,"Linux","Linux","None",12,"Intel Xeon E5 (IvyBridge)","iDataPlex DX360M4","IBM iDataPlex","Infiniband","Infiniband FDR14","Western Europe","Europe",NA,42,91,"Athos","iDataPlex DX360M4, Intel Xeon E5-2697v2 12C 2.700GHz, Infiniband FDR14","EDF R&D","IBM","France",2013,"Industry",18144,0,352671,391910,2370816,0,347,1016,"Cluster","Intel Xeon E5-2697v2 12C 2.700GHz","Intel IvyBridge",2700,"Linux","Linux","None",12,"Intel Xeon E5 (IvyBridge)","iDataPlex DX360M4","IBM iDataPlex","Infiniband","Infiniband FDR14","Western Europe","Europe"
"92",92,478,352030,4681.2,75.20080321,"Derived",2013,"Cluster Platform DL360e Gen8, Xeon E5-2450L 8C 1.800GHz, Gigabit Ethernet",62416,"Hewlett-Packard","Software Company (M)","United States",898790,"Industry",0,0,"Cluster","Xeon E5-2450L 8C 1.800GHz","Intel SandyBridge",1800,"Linux","Linux","None",8,"Intel Xeon E5 (SandyBridge)","Cluster Platform DL360e Gen8","HP Cluster Platform 3000","Gigabit Ethernet","Gigabit Ethernet","North America","Americas",NA,42,92,"","Cluster Platform DL360e Gen8, Xeon E5-2450L 8C 1.800GHz, Gigabit Ethernet","Software Company (M)","Hewlett-Packard","United States",2013,"Industry",62416,0,352030,898790,0,0,NA,NA,"Cluster","Xeon E5-2450L 8C 1.800GHz","Intel SandyBridge",1800,"Linux","Linux","None",8,"Intel Xeon E5 (SandyBridge)","Cluster Platform DL360e Gen8","HP Cluster Platform 3000","Gigabit Ethernet","Gigabit Ethernet","North America","Americas"
