"","date","ExaRank","exascalar","green500rank","top500rank","rmax","power","mflopswatt","computer"
"1",2013-06-01,1,"-2.044",32,1,33862700,17808,1901.54425,"TH-IVB-FEP Cluster, Intel Xeon E5-2692 12C 2.200GHz, TH Express-2, Intel Xeon Phi 31S1P"
"2",2013-06-01,2,"-2.191",34,NA,21410000,11501.98,1861.418643,"BlueGene/Q, Power BQC 16C 1.60 GHz, Custom"
"3",2013-06-01,3,"-2.208",29,2,17590000,8209,2142.77013,"Cray XK7 , Opteron 6274 16C 2.200GHz, Cray Gemini interconnect, NVIDIA K20x"
"4",2013-06-01,4,"-2.211",19,3,17173224,7890,2176.580989,"BlueGene/Q, Power BQC 16C 1.60 GHz, Custom"
"5",2013-06-01,5,"-2.424",23,5,8586612,3945,2176.580989,"BlueGene/Q, Power BQC 16C 1.60GHz, Custom"
"6",2013-06-01,6,"-2.589",14,7,5008857,2301,2176.817471,"BlueGene/Q, Power BQC 16C 1.600GHz, Custom Interconnect"
"7",2013-06-01,7,"-2.636",13,8,4293306,1972,2177.13286,"BlueGene/Q, Power BQC 16C 1.600GHz, Custom Interconnect"
"8",2013-06-01,8,"-2.657",97,4,10510000,12659.89,830.1809889,"K computer, SPARC64 VIIIfx 2.0GHz, Tofu interconnect"
"9",2013-06-01,9,"-2.776",42,6,5168110,4510,1145.922395,"PowerEdge C8220, Xeon E5-2680 8C 2.700GHz, Infiniband FDR, Intel Xeon Phi SE10P"
"10",2013-06-01,10,"-2.905",24,12,1788878,821.88,2176.568355,"BlueGene/Q, Power BQC 16C 1.60GHz, Custom"
"11",2013-06-01,11,"-3.015",18,18,1252214,575.31,2176.590012,"BlueGene/Q, Power BQC 16C 1.60GHz, Custom"
"12",2013-06-01,12,"-3.047",94,9,2897000,3422.67,846.4152255,"iDataPlex DX360M4, Xeon E5-2680 8C 2.70GHz, Infiniband FDR"
"13",2013-06-01,13,"-3.062",15,23,1073327,493.12,2176.604072,"BlueGene/Q, Power BQC 16C 1.60GHz, Custom"
"14",2013-06-01,14,"-3.098",51,11,2098090,2118,990.5996223,"SGI ICE X, Xeon E5-2670 8C 2.600GHz, Infiniband FDR"
"15",2013-06-01,15,"-3.140",33,28,961861,510,1886.001961,"Cluster Platform SL250s Gen8, Xeon E5-2670 8C 2.600GHz, Infiniband FDR, Intel Xeon Phi 5110P"
"16",2013-06-01,16,"-3.173",135,10,2566000,4040,635.1485149,"NUDT YH MPP, Xeon X5670 6C 2.93 GHz, NVIDIA 2050"
"17",2013-06-01,17,"-3.187",20,37,715551,328.75,2176.580989,"BlueGene/Q, Power BQC 16C 1.60GHz, Custom"
"18",2013-06-01,18,"-3.187",21,38,715551,328.75,2176.580989,"BlueGene/Q, Power BQC 16C 1.60GHz, Custom"
"19",2013-06-01,19,"-3.187",22,39,715551,328.75,2176.580989,"BlueGene/Q, Power BQC 16C 1.60GHz, Custom"
"20",2013-06-01,20,"-3.255",78,14,1415470,1606,881.3636364,"SGI ICE X, Xeon E5-2670 8C 2.600GHz, Infiniband FDR"
"21",2013-06-01,21,"-3.269",12,53,531600,237,2243.037975,"Cluster Platform SL250s Gen8, Xeon E5-2665 8C 2.400GHz, Infiniband FDR, Nvidia K20m"
"22",2013-06-01,22,"-3.275",17,50,536663,246.56,2176.602044,"BlueGene/Q, Power BQC 16C 1.60GHz, Custom"
