"","date","ExaRank","exascalar","top500rank","green500rank.g","rmax.g","power.g","mflopswatt","how.g","year.g","computer.g","name.g","totalcores.g","site.g","manufacturer.g","country.g","segment.g","acceleratorcoprocessorcores.g","rpeak.g","nmax.g","nhalf.g","architecture.g","processor.g","processorfamily.g","procfrequency.g","oatingsystem.g","osfamily.g","acceleratorcoprocessor.g","coressocket.g","processorgeneration.g","systemmodel.g","systemfamily.g","interconnectfamily.g","interconnect.g","region.g","continent.g","previoustop500rank","firstappearance.t","firsttop500rank","name.t","computer.t","site.t","manufacturer.t","country.t","year.t","segment.t","totalcores.t","acceleratorcoprocessorcores.t","rmax","rpeak.t","nmax.t","nhalf.t","power.t","mflopswatt.t","architecture.t","processor.t","processortechnology.t","processorspeedmhz.t","oatingsystem.t","osfamily.t","acceleratorcoprocessor.t","coressocket.t","processorgeneration.t","systemmodel.t","systemfamily.t","interconnectfamily.t","interconnect.t","region.t","continent.t"
"132",2014-06-01,108,-3.703,132,88,318443,349.6,910.88,"Submission",2013,"iDataPlex DX360M4, Xeon E5-2670 8C 2.600GHz, Infiniband FDR","",16832,"National Center for Medium Range Weather Forecast","IBM","India","Research",0,350106,0,0,"Cluster","Xeon E5-2670 8C 2.6GHz","Intel SandyBridge",2600,"Linux","Linux","None",8,"Intel Xeon E5 (SandyBridge)","iDataPlex DX360M4","IBM iDataPlex","Infiniband","Infiniband FDR","South-central Asia","Asia",106,41,89,"","iDataPlex DX360M4, Xeon E5-2670 8C 2.600GHz, Infiniband FDR","National Center for Medium Range Weather Forecast","IBM","India",2013,"Research",16832,0,318443,350106,0,0,350,911,"Cluster","Xeon E5-2670 8C 2.6GHz","Intel SandyBridge",2600,"Linux","Linux","None",8,"Intel Xeon E5 (SandyBridge)","iDataPlex DX360M4","IBM iDataPlex","Infiniband","Infiniband FDR","South-central Asia","Asia"
"123",2014-06-01,109,-3.704,123,118,334377,386.56,865.01,"Top500",2012,"Cluster Platform 3000 BL460c Gen8, Xeon E5-2670 8C 2.60GHz, Infiniband FDR","",17408,"CSIR Fourth Paradigm Institute (CSIR-4PI)","Hewlett-Packard","India","Research",0,362086.4,2712832,0,"Cluster","Xeon E5-2670 8C 2.6GHz","Intel SandyBridge",2600,"Linux","Linux","None",8,"Intel Xeon E5 (SandyBridge)","Cluster Platform 3000 BL460c Gen8","HP Cluster Platform 3000BL","Infiniband","Infiniband FDR","South-central Asia","Asia",99,39,58,"","Cluster Platform 3000 BL460c Gen8, Xeon E5-2670 8C 2.60GHz, Infiniband FDR","CSIR Fourth Paradigm Institute (CSIR-4PI)","Hewlett-Packard","India",2012,"Research",17408,0,334377,362086,2712832,0,387,865,"Cluster","Xeon E5-2670 8C 2.6GHz","Intel SandyBridge",2600,"Linux","Linux","None",8,"Intel Xeon E5 (SandyBridge)","Cluster Platform 3000 BL460c Gen8","HP Cluster Platform 3000BL","Infiniband","Infiniband FDR","South-central Asia","Asia"
"116",2014-06-01,110,-3.707,116,126,347400,421.2,824.79,"Top500",2012,"Xtreme-X , Xeon E5-2670 8C 2.600GHz, Infiniband QDR","Cab",20480,"Lawrence Livermore National Laboratory","Cray Inc.","United States","Research",0,425984,2168320,0,"Cluster","Xeon E5-2670 8C 2.6GHz","Intel SandyBridge",2600,"Linux","Linux","None",8,"Intel Xeon E5 (SandyBridge)","Appro Xtreme-X Supercomputer","Appro Xtreme-X","Infiniband","Infiniband QDR","North America","Americas",94,39,46,"Cab","Xtreme-X , Xeon E5-2670 8C 2.600GHz, Infiniband QDR","Lawrence Livermore National Laboratory","Cray Inc.","United States",2012,"Research",20480,0,347400,425984,2168320,0,421,825,"Cluster","Xeon E5-2670 8C 2.6GHz","Intel SandyBridge",2600,"Linux","Linux","None",8,"Intel Xeon E5 (SandyBridge)","Appro Xtreme-X Supercomputer","Appro Xtreme-X","Infiniband","Infiniband QDR","North America","Americas"
"126",2014-06-01,111,-3.707,126,108,327347,373.97,875.33,"Submission",2012,"iDataPlex DX360M4, Xeon E5-2670 8C 2.600GHz, Infiniband FDR","Haise",18816,"Navy DSRC","IBM","United States","Government",0,391373,0,0,"Cluster","Xeon E5-2670 8C 2.6GHz","Intel SandyBridge",2600,"Linux","Linux","None",8,"Intel Xeon E5 (SandyBridge)","iDataPlex DX360M4","IBM iDataPlex","Infiniband","Infiniband FDR","North America","Americas",102,40,72,"Haise","iDataPlex DX360M4, Xeon E5-2670 8C 2.600GHz, Infiniband FDR","Navy DSRC","IBM","United States",2012,"Government",18816,0,327347,391373,0,0,374,875,"Cluster","Xeon E5-2670 8C 2.6GHz","Intel SandyBridge",2600,"Linux","Linux","None",8,"Intel Xeon E5 (SandyBridge)","iDataPlex DX360M4","IBM iDataPlex","Infiniband","Infiniband FDR","North America","Americas"
"127",2014-06-01,112,-3.707,127,109,327347,373.97,875.33,"Submission",2012,"iDataPlex DX360M4, Xeon E5-2670 8C 2.600GHz, Infiniband FDR","Kilrain",18816,"Navy DSRC","IBM","United States","Government",0,391373,0,0,"Cluster","Xeon E5-2670 8C 2.6GHz","Intel SandyBridge",2600,"Linux","Linux","None",8,"Intel Xeon E5 (SandyBridge)","iDataPlex DX360M4","IBM iDataPlex","Infiniband","Infiniband FDR","North America","Americas",101,40,73,"Kilrain","iDataPlex DX360M4, Xeon E5-2670 8C 2.600GHz, Infiniband FDR","Navy DSRC","IBM","United States",2012,"Government",18816,0,327347,391373,0,0,374,875,"Cluster","Xeon E5-2670 8C 2.6GHz","Intel SandyBridge",2600,"Linux","Linux","None",8,"Intel Xeon E5 (SandyBridge)","iDataPlex DX360M4","IBM iDataPlex","Infiniband","Infiniband FDR","North America","Americas"
"157",2014-06-01,113,-3.711,157,73,288200,294,980.27,"Top500",2012,"RSC Tornado, Xeon X5680 6C 3.330GHz, Infiniband QDR, Intel Xeon Phi SE10X","RSC Tornado SUSU",28032,"South Ural State University","RSC Group","Russia","Academic",23424,473640.96,980992,0,"Cluster","Xeon X5680 6C 3.33GHz","Intel Nehalem",3330,"CentOS","Linux","Intel Xeon Phi SE10X",6,"Xeon 5600-series (Westmere-EP)","RSC Tornado","RSC Cluster","Infiniband","Infiniband QDR","Eastern Europe","Europe",127,40,170,"RSC Tornado SUSU","RSC Tornado, Xeon X5680 6C 3.330GHz, Infiniband QDR, Intel Xeon Phi SE10X","South Ural State University","RSC Group","Russia",2012,"Academic",28032,23424,288200,473641,980992,0,294,980,"Cluster","Xeon X5680 6C 3.33GHz","Intel Nehalem",3330,"CentOS","Linux","Intel Xeon Phi SE10X",6,"Xeon 5600-series (Westmere-EP)","RSC Tornado","RSC Cluster","Infiniband","Infiniband QDR","Eastern Europe","Europe"
"117",2014-06-01,114,-3.725,117,145,347400,448,775.45,"Top500",2011,"Xtreme-X GreenBlade GB512X, Xeon E5-2670 8C 2.600GHz, Infiniband QDR","Luna",20480,"Los Alamos National Laboratory","Cray Inc.","United States","Research",0,425984,2168320,1084160,"Cluster","Xeon E5-2670 8C 2.6GHz","Intel SandyBridge",2600,"RHEL 6.2","Linux","None",8,"Intel Xeon E5 (SandyBridge)","Xtreme-X GreenBlade GB512X","Appro Xtreme-X","Infiniband","Infiniband QDR","North America","Americas",95,38,45,"Luna","Xtreme-X GreenBlade GB512X, Xeon E5-2670 8C 2.600GHz, Infiniband QDR","Los Alamos National Laboratory","Cray Inc.","United States",2011,"Research",20480,0,347400,425984,2168320,1084160,448,775,"Cluster","Xeon E5-2670 8C 2.6GHz","Intel SandyBridge",2600,"RHEL 6.2","Linux","None",8,"Intel Xeon E5 (SandyBridge)","Xtreme-X GreenBlade GB512X","Appro Xtreme-X","Infiniband","Infiniband QDR","North America","Americas"
"121",2014-06-01,115,-3.726,121,135,336800,421.2,799.62,"Top500",2012,"Xtreme-X , Xeon E5-2670 8C 2.600GHz, Infiniband QDR","Pecos",19712,"Sandia National Laboratories","Cray Inc.","United States","Research",0,410010,2108876,1054438,"Cluster","Xeon E5-2670 8C 2.6GHz","Intel SandyBridge",2600,"Linux","Linux","None",8,"Intel Xeon E5 (SandyBridge)","Appro Xtreme-X Supercomputer","Appro Xtreme-X","Infiniband","Infiniband QDR","North America","Americas",98,39,52,"Pecos","Xtreme-X , Xeon E5-2670 8C 2.600GHz, Infiniband QDR","Sandia National Laboratories","Cray Inc.","United States",2012,"Research",19712,0,336800,410010,2108876,1054438,421,800,"Cluster","Xeon E5-2670 8C 2.6GHz","Intel SandyBridge",2600,"Linux","Linux","None",8,"Intel Xeon E5 (SandyBridge)","Appro Xtreme-X Supercomputer","Appro Xtreme-X","Infiniband","Infiniband QDR","North America","Americas"
"143",2014-06-01,116,-3.729,143,110,303965,347.26,875.32,"Submission",2012,"iDataPlex DX360M4, Xeon E5-2670 8C 2.600GHz, Infiniband FDR","Hercules",17472,"Army Research Laboratory DoD Supercomputing Resource Center (ARL DSRC)","IBM","United States","Government",0,363418,0,0,"Cluster","Xeon E5-2670 8C 2.6GHz","Intel SandyBridge",2600,"Linux","Linux","None",8,"Intel Xeon E5 (SandyBridge)","iDataPlex DX360M4","IBM iDataPlex","Infiniband","Infiniband FDR","North America","Americas",115,40,81,"Hercules","iDataPlex DX360M4, Xeon E5-2670 8C 2.600GHz, Infiniband FDR","Army Research Laboratory DoD Supercomputing Resource Center (ARL DSRC)","IBM","United States",2012,"Government",17472,0,303965,363418,0,0,347,875,"Cluster","Xeon E5-2670 8C 2.6GHz","Intel SandyBridge",2600,"Linux","Linux","None",8,"Intel Xeon E5 (SandyBridge)","iDataPlex DX360M4","IBM iDataPlex","Infiniband","Infiniband FDR","North America","Americas"
"452",2014-06-01,117,-3.73,452,50,146763,81.04,1810.99,"Top500",2014,"Cray CS300-AC, Intel Xeon E5-2670v2 10C 2.500GHz, Infiniband FDR, Intel Xeon Phi 5110P","System E",12480,"Foundation for Computational Science (FOCUS)","Cray Inc.","Japan","Industry",11520,213120,801000,0,"Cluster","Intel Xeon E5-2670v2 10C 2.5GHz","Intel IvyBridge",2500,"SUSE Linux Enterprise Server 11","Linux","Intel Xeon Phi 5110P",10,"Intel Xeon E5 (IvyBridge)","Cray CS300-AC","Cray CS300","Infiniband","Infiniband FDR","Eastern Asia","Asia",NA,43,452,"System E","Cray CS300-AC, Intel Xeon E5-2670v2  10C 2.500GHz, Infiniband FDR, Intel Xeon Phi 5110P","Foundation for Computational Science (FOCUS)","Cray Inc.","Japan",2014,"Industry",12480,11520,146763,213120,801000,0,81,1811,"Cluster","Intel Xeon E5-2670v2  10C 2.5GHz","Intel IvyBridge",2500,"SUSE Linux Enterprise Server 11","Linux","Intel Xeon Phi 5110P",10,"Intel Xeon E5 (IvyBridge)","Cray CS300-AC","Cray CS300","Infiniband","Infiniband FDR","Eastern Asia","Asia"
"125",2014-06-01,118,-3.731,125,136,331535,414.8,799.26,"Submission",2014,"IBM Flex System p460, POWER7 8C 3.550GHz, Infiniband QDR","",13664,"China Meteorological Administration","IBM","China","Research",0,388058,0,0,"Cluster","POWER7 8C 3.55GHz","Power",3550,"AIX","Unix","None",8,"POWER7","IBM Flex System p460","IBM Flex System","Infiniband","Infiniband QDR","Eastern Asia","Asia",NA,43,125,"","IBM Flex System p460, POWER7  8C 3.550GHz, Infiniband QDR","China Meteorological Administration","IBM","China",2014,"Research",13664,0,331535,388058,0,0,415,799,"Cluster","POWER7  8C 3.55GHz","Power",3550,"AIX","Unix","None",8,"POWER7","IBM Flex System p460","IBM Flex System","Infiniband","Infiniband QDR","Eastern Asia","Asia"
"79",2014-06-01,119,-3.734,79,202,469097,840,558.45,"Derived",2013,"Bullx DLC B710 Blades, Intel Xeon E5-2697v2 12C 2.7GHz, Infiniband FDR","Beaufix",24192,"Meteo France","Bull SA","France","Research",0,522547.2,0,0,"Cluster","Intel Xeon E5-2697v2 12C 2.7GHz","Intel IvyBridge",2700,"Bullx Linux","Linux","None",12,"Intel Xeon E5 (IvyBridge)","Bullx DLC B710 Blades","Bull Bullx","Infiniband","Infiniband FDR","Western Europe","Europe",61,41,54,"Beaufix","Bullx DLC B710 Blades, Intel Xeon E5-2697v2 12C 2.7GHz, Infiniband FDR","Meteo France","Bull SA","France",2013,"Research",24192,0,469097,522547,0,0,NA,NA,"Cluster","Intel Xeon E5-2697v2 12C 2.7GHz","Intel IvyBridge",2700,"Bullx Linux","Linux","None",12,"Intel Xeon E5 (IvyBridge)","Bullx DLC B710 Blades","Bull Bullx","Infiniband","Infiniband FDR","Western Europe","Europe"
"80",2014-06-01,120,-3.734,80,200,464865,825,563.47,"Derived",2014,"Bullx DLC B710 Blades, Intel Xeon E5-2697v2 12C 2.7GHz, Infiniband FDR","Prolix",23760,"Meteo France","Bull SA","France","Research",0,513216,1835904,0,"Cluster","Intel Xeon E5-2697v2 12C 2.7GHz","Intel IvyBridge",2700,"Bullx Linux","Linux","None",12,"Intel Xeon E5 (IvyBridge)","Bullx DLC B710 Blades","Bull Bullx","Infiniband","Infiniband FDR","Western Europe","Europe",NA,43,80,"Prolix","Bullx DLC B710 Blades, Intel Xeon E5-2697v2 12C 2.7GHz, Infiniband FDR","Meteo France","Bull SA","France",2014,"Research",23760,0,464865,513216,1835904,0,NA,NA,"Cluster","Intel Xeon E5-2697v2 12C 2.7GHz","Intel IvyBridge",2700,"Bullx Linux","Linux","None",12,"Intel Xeon E5 (IvyBridge)","Bullx DLC B710 Blades","Bull Bullx","Infiniband","Infiniband FDR","Western Europe","Europe"
"194",2014-06-01,121,-3.742,194,65,245876,236.8,1038.33,"Top500",2013,"SGI ICE X, Intel Xeon E5-2695v2 12C 2.400GHz, Infiniband FDR","CASE-2",13440,"T-Systems","SGI","Germany","Industry",0,258048,1885596,0,"Cluster","Intel Xeon E5-2695v2 12C 2.4GHz","Intel IvyBridge",2400,"SUSE Linux Enterprise Server 11","Linux","None",12,"Intel Xeon E5 (IvyBridge)","SGI ICE X","SGI ICE","Infiniband","Infiniband FDR","Western Europe","Europe",159,42,159,"CASE-2","SGI ICE X, Intel Xeon E5-2695v2 12C 2.400GHz, Infiniband FDR","T-Systems","SGI","Germany",2013,"Industry",13440,0,245876,258048,1885596,0,237,1038,"Cluster","Intel Xeon E5-2695v2 12C 2.4GHz","Intel IvyBridge",2400,"SUSE Linux Enterprise Server 11","Linux","None",12,"Intel Xeon E5 (IvyBridge)","SGI ICE X","SGI ICE","Infiniband","Infiniband FDR","Western Europe","Europe"
"203",2014-06-01,122,-3.748,203,64,238200,226.8,1050.26,"Top500",2012,"Xtreme-X , Xeon E5-2670 8C 2.600GHz, Infiniband QDR, NVIDIA 2090","Moonlight",14208,"Los Alamos National Laboratory","Cray Inc.","United States","Research",9472,492189,919936,459968,"Cluster","Xeon E5-2670 8C 2.6GHz","Intel SandyBridge",2600,"Linux","Linux","NVIDIA 2090",8,"Intel Xeon E5 (SandyBridge)","Appro Xtreme-X Supercomputer","Appro Xtreme-X","Infiniband","Infiniband QDR","North America","Americas",167,39,74,"Moonlight","Xtreme-X , Xeon E5-2670 8C 2.600GHz, Infiniband QDR, NVIDIA 2090","Los Alamos National Laboratory","Cray Inc.","United States",2012,"Research",14208,9472,238200,492189,919936,459968,227,1050,"Cluster","Xeon E5-2670 8C 2.6GHz","Intel SandyBridge",2600,"Linux","Linux","NVIDIA 2090",8,"Intel Xeon E5 (SandyBridge)","Appro Xtreme-X Supercomputer","Appro Xtreme-X","Infiniband","Infiniband QDR","North America","Americas"
"31",2014-06-01,123,-3.755,31,372,1167000,5569,209.55,"Derived",2010,"Cray XE6, Opteron 16C 2.500GHz, Cray Gemini interconnect","Garnet",150528,"ERDC DSRC","Cray Inc.","United States","Research",0,1505280,5685504,0,"MPP","Opteron 16C 2.5GHz","AMD x86_64",2500,"Linux","Linux","None",16,"Opteron 6200 Series ""Interlagos""","Cray XE6","Cray XE","Cray Interconnect","Cray Gemini interconnect","North America","Americas",25,36,44,"Garnet","Cray XE6, Opteron 16C 2.500GHz, Cray Gemini interconnect","ERDC DSRC","Cray Inc.","United States",2010,"Research",150528,0,1167000,1505280,5685504,0,NA,NA,"MPP","Opteron 16C 2.5GHz","AMD x86_64",2500,"Linux","Linux","None",16,"Opteron 6200 Series ""Interlagos""","Cray XE6","Cray XE","Cray Interconnect","Cray Gemini interconnect","North America","Americas"
"124",2014-06-01,124,-3.757,124,156,332000,453.6,731.92,"Top500",2011,"Xtreme-X GreenBlade GB512X, Xeon E5-2670 8C 2.600GHz, Infiniband QDR","Chama",19680,"Sandia National Laboratories","Cray Inc.","United States","Research",0,409344,2086572,1043286,"Cluster","Xeon E5-2670 8C 2.6GHz","Intel SandyBridge",2600,"RHEL 6.2","Linux","None",8,"Intel Xeon E5 (SandyBridge)","Xtreme-X GreenBlade GB512X","Appro Xtreme-X","Infiniband","Infiniband QDR","North America","Americas",100,38,61,"Chama","Xtreme-X GreenBlade GB512X, Xeon E5-2670 8C 2.600GHz, Infiniband QDR","Sandia National Laboratories","Cray Inc.","United States",2011,"Research",19680,0,332000,409344,2086572,1043286,454,732,"Cluster","Xeon E5-2670 8C 2.6GHz","Intel SandyBridge",2600,"RHEL 6.2","Linux","None",8,"Intel Xeon E5 (SandyBridge)","Xtreme-X GreenBlade GB512X","Appro Xtreme-X","Infiniband","Infiniband QDR","North America","Americas"
"35",2014-06-01,125,-3.761,35,341,1050000,4590,228.76,"Top500",2010,"Bull bullx super-node S6010/S6030","Tera-100",138368,"Commissariat a l'Energie Atomique (CEA)","Bull SA","France","Research",0,1254550,4926336,0,"Cluster","Xeon X7560 8C 2.26GHz","Intel Nehalem",2260,"Linux","Linux","None",8,"Xeon 5500-series (Nehalem-EX)","bullx super-node S6010/S6030","Bull Bullx","Infiniband","Infiniband QDR","Western Europe","Europe",29,36,6,"Tera-100","Bull bullx super-node S6010/S6030","Commissariat a l'Energie Atomique (CEA)","Bull SA","France",2010,"Research",138368,0,1050000,1254550,4926336,0,4590,229,"Cluster","Xeon X7560 8C 2.26GHz","Intel Nehalem",2260,"Linux","Linux","None",8,"Xeon 5500-series (Nehalem-EX)","bullx super-node S6010/S6030","Bull Bullx","Infiniband","Infiniband QDR","Western Europe","Europe"
"59",2014-06-01,126,-3.762,59,235,660243,1824.93,361.79,"Derived",2011,"Cray XE6, Opteron 6276 16C 2.30 GHz, Cray Gemini interconnect","HECToR",90112,"University of Edinburgh","Cray Inc.","United Kingdom","Academic",0,829030.4,0,0,"MPP","Opteron 6276 16C 2.3GHz","AMD x86_64",2300,"Cray Linux Environment","Linux","None",16,"Opteron 6200 Series ""Interlagos""","Cray XE6","Cray XE","Cray Interconnect","Cray Gemini interconnect","Northern Europe","Europe",50,37,24,"HECToR","Cray XE6, Opteron 6276 16C 2.30 GHz, Cray Gemini interconnect","University of Edinburgh","Cray Inc.","United Kingdom",2011,"Academic",90112,0,660243,829030,0,0,NA,NA,"MPP","Opteron 6276 16C 2.3GHz","AMD x86_64",2300,"Cray Linux Environment ","Linux","None",16,"Opteron 6200 Series ""Interlagos""","Cray XE6","Cray XE","Cray Interconnect","Cray Gemini interconnect","Northern Europe","Europe"
"90",2014-06-01,127,-3.762,90,199,420400,740,568.11,"Top500",2013,"Cray XC30, Xeon E5-2670 8C 2.600GHz, Aries interconnect","Aterui",24192,"National Astronomical Observatory of Japan","Cray Inc.","Japan","Academic",0,503194,3048192,0,"MPP","Xeon E5-2670 8C 2.6GHz","Intel SandyBridge",2600,"Cray Linux Environment","Linux","None",8,"Intel Xeon E5 (SandyBridge)","Cray XC30","Cray XC","Custom Interconnect","Aries interconnect","Eastern Asia","Asia",74,41,63,"Aterui","Cray XC30, Xeon E5-2670 8C 2.600GHz, Aries interconnect ","National Astronomical Observatory of Japan","Cray Inc.","Japan",2013,"Academic",24192,0,420400,503194,3048192,0,740,568,"MPP","Xeon E5-2670 8C 2.6GHz","Intel SandyBridge",2600,"Cray Linux Environment ","Linux","None",8,"Intel Xeon E5 (SandyBridge)","Cray XC30","Cray XC","Custom Interconnect","Aries interconnect ","Eastern Asia","Asia"
"118",2014-06-01,128,-3.762,118,174,346070,500,692.14,"Top500",2012,"Bullx B510, Xeon E5-2680 8C 2.700GHz, Infiniband QDR","airain",18144,"Commissariat a l'Energie Atomique (CEA)/CCRT","Bull SA","France","Research",0,391910.4,1560384,0,"Cluster","Xeon E5-2680 8C 2.7GHz","Intel SandyBridge",2700,"bullx SUperCOmputer Suite A.E.2.1","Linux","None",8,"Intel Xeon E5 (SandyBridge)","Bullx B510","Bull Bullx","Infiniband","Infiniband QDR","Western Europe","Europe",96,39,97,"airain","Bullx B510, Xeon E5-2680 8C 2.700GHz, Infiniband QDR","Commissariat a l'Energie Atomique (CEA)/CCRT","Bull SA","France",2012,"Research",18144,0,346070,391910,1560384,0,500,692,"Cluster","Xeon E5-2680 8C 2.7GHz","Intel SandyBridge",2700,"bullx SUperCOmputer Suite A.E.2.1","Linux","None",8,"Intel Xeon E5 (SandyBridge)","Bullx B510","Bull Bullx","Infiniband","Infiniband QDR","Western Europe","Europe"
"171",2014-06-01,129,-3.772,171,119,271754,319,851.89,"Top500",2013,"SGI ICE X, Xeon E5-2670 8C 2.600GHz, Infiniband FDR","Laure",13824,"TOTAL","SGI","United States","Industry",0,287539,2359296,0,"Cluster","Xeon E5-2670 8C 2.6GHz","Intel SandyBridge",2600,"SUSE Linux Enterprise Server 11","Linux","None",8,"Intel Xeon E5 (SandyBridge)","SGI ICE X","SGI ICE","Infiniband","Infiniband FDR","North America","Americas",140,41,109,"Laure","SGI ICE X, Xeon E5-2670 8C 2.600GHz, Infiniband FDR","TOTAL","SGI","United States",2013,"Industry",13824,0,271754,287539,2359296,0,319,852,"Cluster","Xeon E5-2670 8C 2.6GHz","Intel SandyBridge",2600,"SUSE Linux Enterprise Server 11","Linux","None",8,"Intel Xeon E5 (SandyBridge)","SGI ICE X","SGI ICE","Infiniband","Infiniband FDR","North America","Americas"
"159",2014-06-01,130,-3.777,159,139,285800,358.4,797.43,"Top500",2011,"Xtreme-X GreenBlade GB512X, Xeon E5-2670 8C 2.600GHz, Infiniband QDR","Gordon",16160,"UCSD/San Diego Supercomputer Center","Cray Inc.","United States","Academic",0,336128,2558976,1279488,"Cluster","Xeon E5-2670 8C 2.6GHz","Intel SandyBridge",2600,"RHEL 6.2","Linux","None",8,"Intel Xeon E5 (SandyBridge)","Xtreme-X GreenBlade GB512X","Appro Xtreme-X","Infiniband","Infiniband QDR","North America","Americas",129,38,48,"Gordon","Xtreme-X GreenBlade GB512X, Xeon E5-2670 8C 2.600GHz, Infiniband QDR","UCSD/San Diego Supercomputer Center","Cray Inc.","United States",2011,"Academic",16160,0,285800,336128,2558976,1279488,358,797,"Cluster","Xeon E5-2670 8C 2.6GHz","Intel SandyBridge",2600,"RHEL 6.2","Linux","None",8,"Intel Xeon E5 (SandyBridge)","Xtreme-X GreenBlade GB512X","Appro Xtreme-X","Infiniband","Infiniband QDR","North America","Americas"
"173",2014-06-01,131,-3.777,173,120,268100,315.9,848.69,"Top500",2012,"Appro Xtreme-X Supercomputer, Xeon E5-2670 8C 2.600GHz, Infiniband QDR","Dark Bridge",14720,"Sandia National Laboratories","Cray Inc.","United States","Research",0,306176,2577260,1288630,"Cluster","Xeon E5-2670 8C 2.6GHz","Intel SandyBridge",2600,"Linux","Linux","None",8,"Intel Xeon E5 (SandyBridge)","Appro Xtreme-X Supercomputer","Appro Xtreme-X","Infiniband","Infiniband QDR","North America","Americas",142,40,93,"Dark Bridge","Appro Xtreme-X Supercomputer, Xeon E5-2670 8C 2.600GHz, Infiniband QDR","Sandia National Laboratories","Cray Inc.","United States",2012,"Research",14720,0,268100,306176,2577260,1288630,316,849,"Cluster","Xeon E5-2670 8C 2.6GHz","Intel SandyBridge",2600,"Linux","Linux","None",8,"Intel Xeon E5 (SandyBridge)","Appro Xtreme-X Supercomputer","Appro Xtreme-X","Infiniband","Infiniband QDR","North America","Americas"
"133",2014-06-01,132,-3.779,133,166,318000,446.4,712.37,"Top500",2010,"Bullx B510, Xeon E5-2670 8C 2.600GHz, Infiniband QDR","Blackthorn",17856,"AWE","Bull SA","United Kingdom","Research",0,371404.8,2668480,0,"Cluster","Xeon E5-2670 8C 2.6GHz","Intel SandyBridge",2600,"Linux","Linux","None",8,"Intel Xeon E5 (SandyBridge)","Bullx B510","Bull Bullx","Infiniband","Infiniband QDR","Northern Europe","Europe",107,36,53,"Blackthorn","Bullx B510, Xeon E5-2670 8C 2.600GHz, Infiniband QDR","AWE","Bull SA","United Kingdom",2010,"Research",17856,0,318000,371405,2668480,0,446,712,"Cluster","Xeon E5-2670 8C 2.6GHz","Intel SandyBridge",2600,"Linux","Linux","None",8,"Intel Xeon E5 (SandyBridge)","Bullx B510","Bull Bullx","Infiniband","Infiniband QDR","Northern Europe","Europe"
"107",2014-06-01,133,-3.783,107,191,359835.8,579.48,620.96,"Derived",2014,"Cluster Platform 3000 BL460c Gen8, Xeon E5-2670 8C 2.6GHz, 10G Ethernet","",26096,"IT Service Provider","Hewlett-Packard","United States","Industry",0,542796.8,0,0,"Cluster","Xeon E5-2670 8C 2.6GHz","Intel SandyBridge",2600,"Linux","Linux","None",8,"Intel Xeon E5 (SandyBridge)","Cluster Platform 3000 BL460c Gen8","HP Cluster Platform 3000BL","10G","10G Ethernet","North America","Americas",NA,43,107,"","Cluster Platform 3000 BL460c Gen8, Xeon E5-2670 8C 2.6GHz, 10G Ethernet","IT Service Provider","Hewlett-Packard","United States",2014,"Industry",26096,0,359836,542797,0,0,NA,NA,"Cluster","Xeon E5-2670 8C 2.6GHz","Intel SandyBridge",2600,"Linux","Linux","None",8,"Intel Xeon E5 (SandyBridge)","Cluster Platform 3000 BL460c Gen8","HP Cluster Platform 3000BL","10G","10G Ethernet","North America","Americas"
"78",2014-06-01,134,-3.79,78,212,476333,1040.18,457.93,"Submission",2011,"Power 775, POWER7 8C 3.836GHz, Custom Interconnect","",18432,"United Kingdom Meteorological Office","IBM","United Kingdom","Research",0,565641.22,0,0,"MPP","POWER7 8C 3.84GHz","Power",3836,"AIX","Unix","None",8,"POWER7","Power 775","IBM pSeries","Custom Interconnect","Custom Interconnect","Northern Europe","Europe",65,38,62,"","Power 775, POWER7 8C 3.836GHz, Custom Interconnect","United Kingdom Meteorological Office","IBM","United Kingdom",2011,"Research",18432,0,476333,565641,0,0,1040,458,"MPP","POWER7 8C 3.84GHz","Power",3836,"AIX","Unix","None",8,"POWER7","Power 775","IBM pSeries","Custom Interconnect","Custom Interconnect","Northern Europe","Europe"
"45",2014-06-01,135,-3.792,45,268,816578.6,3072,265.81,"Derived",2014,"Cluster Platform SL230s Gen8, Intel Xeon E5-2680v2 10C 2.8GHz, Infiniband QDR","Faris",40960,"Saudi Aramco EXPEC","Hewlett-Packard","Saudi Arabia","Industry",0,917504,0,0,"Cluster","Intel Xeon E5-2680v2 10C 2.8GHz","Intel IvyBridge",2800,"Linux","Linux","None",10,"Intel Xeon E5 (IvyBridge)","Cluster Platform SL230s Gen8","HP Cluster Platform 3000SL","Infiniband","Infiniband QDR","Western Asia","Asia",NA,43,45,"Faris","Cluster Platform SL230s Gen8, Intel Xeon E5-2680v2  10C 2.8GHz, Infiniband QDR","Saudi Aramco EXPEC","Hewlett-Packard","Saudi Arabia",2014,"Industry",40960,0,816579,917504,0,0,NA,NA,"Cluster","Intel Xeon E5-2680v2  10C 2.8GHz","Intel IvyBridge",2800,"Linux","Linux","None",10,"Intel Xeon E5 (IvyBridge)","Cluster Platform SL230s Gen8","HP Cluster Platform 3000SL","Infiniband","Infiniband QDR","Western Asia","Asia"
