"","date","ExaRank","exascalar","top500rank","green500rank.g","site.g","manufacturer.g","name.g","computer.g","country.g","mflopswatt","power.g","cores.g","rmax.g","rpeak.g","previoustop500rank","firstappearance.t","firsttop500rank","name.t","computer.t","site.t","manufacturer.t","country.t","year.t","segment.t","totalcores.t","acceleratorcoprocessorcores.t","rmax","rpeak.t","efficiency.t","nmax.t","nhalf.t","power.t","mflopswatt.t","architecture.t","processor.t","processortechnology.t","processorspeedmhz.t","oatingsystem.t","osfamily.t","acceleratorcoprocessor.t","coressocket.t","processorgeneration.t","systemmodel.t","systemfamily.t","interconnectfamily.t","interconnect.t","region.t","continent.t"
"31",2012-11-01,11,-3.209,31,22,"Victorian Life Sciences Computation Initiative","IBM","Avoca","BlueGene/Q, Power BQC 16C 1.60GHz, Custom","Australia",2099.458555,328.75,65536,690197,838861,29,39,29,"","BlueGene/Q, Power BQC 16C 1.60GHz, Custom","CNRS/IDRIS-GENCI","IBM","France",2012,"Academic",65536,0,690197,838861,82,0,0,329,2099,"MPP","Power BQC 16C 1.600GHz","PowerPC",1600,"Linux","Linux","None",16,"Power BQC","BlueGene/Q","IBM BlueGene","Custom Interconnect","Custom Interconnect","Western Europe","Europe"
"32",2012-11-01,12,-3.209,32,21,"EDF R&D","IBM","Zumbrota","BlueGene/Q, Power BQC 16C 1.60GHz, Custom","France",2099.458555,328.75,65536,690197,838861,30,39,30,"Zumbrota","BlueGene/Q, Power BQC 16C 1.60GHz, Custom","EDF R&D","IBM","France",2012,"Industry",65536,0,690197,838861,82,0,0,329,2099,"MPP","Power BQC 16C 1.600GHz","PowerPC",1600,"Linux","Linux","None",16,"Power BQC","BlueGene/Q","IBM BlueGene","Custom Interconnect","Custom Interconnect","Western Europe","Europe"
"33",2012-11-01,13,-3.209,33,20,"CNRS/IDRIS-GENCI","IBM","","BlueGene/Q, Power BQC 16C 1.60GHz, Custom","France",2099.458555,328.75,65536,690197,838861,31,39,31,"Avoca","BlueGene/Q, Power BQC 16C 1.60GHz, Custom","Victorian Life Sciences Computation Initiative","IBM","Australia",2012,"Research",65536,0,690197,838861,82,0,0,329,2099,"MPP","Power BQC 16C 1.600GHz","PowerPC",1600,"Linux","Linux","None",16,"Power BQC","BlueGene/Q","IBM BlueGene","Custom Interconnect","Custom Interconnect","Australia and New Zealand","Oceania"
"7",2012-11-01,14,-3.254,7,142,"Texas Advanced Computing Center/Univ. of Texas","Dell","Stampede","PowerEdge C8220, Xeon E5-2680 8C 2.700GHz, Infiniband FDR, Intel Xeon Phi","United States",469.454743,5666.765625,204900,2660290,3958965,NA,40,7,"Stampede","PowerEdge C8220, Xeon E5-2680 8C 2.700GHz, Infiniband FDR, Intel Xeon Phi","Texas Advanced Computing Center/Univ. of Texas","Dell","United States",2012,"Academic",204900,112500,2660290,3958965,67,2818000,0,NA,NA,"Cluster","Xeon E5-2680 8C 2.700GHz","Intel SandyBridge",2700,"Linux","Linux","Intel Xeon Phi",8,"Intel Xeon E5","PowerEdge C8220","Dell PowerEdge Cluster","Infiniband","Infiniband FDR","North America","Americas"
"13",2012-11-01,15,-3.293,13,57,"NCAR (National Center for Atmospheric Research)","IBM","Yellowstone","iDataPlex DX360M4, Xeon E5-2670 8C 2.600GHz, Infiniband FDR","United States",875.3375745,1436.72,72288,1257615,1503590,NA,40,13,"Yellowstone","iDataPlex DX360M4, Xeon E5-2670 8C 2.600GHz, Infiniband FDR","NCAR (National Center for Atmospheric Research)","IBM","United States",2012,"Research",72288,0,1257615,1503590,84,0,0,1437,875,"Cluster","Xeon E5-2670 8C 2.600GHz","Intel SandyBridge",2600,"Linux","Linux","None",8,"Intel Xeon E5","iDataPlex DX360M4","IBM iDataPlex","Infiniband","Infiniband FDR","North America","Americas"
"41",2012-11-01,16,-3.297,41,17,"High Energy Accelerator Research Organization /KEK","IBM","SAKURA","BlueGene/Q, Power BQC 16C 1.60GHz, Custom","Japan",2099.480857,246.56,49152,517648,629146,36,39,36,"SAKURA","BlueGene/Q, Power BQC 16C 1.60GHz, Custom","High Energy Accelerator Research Organization /KEK","IBM","Japan",2012,"Research",49152,0,517648,629146,82,0,0,247,2099,"MPP","Power BQC 16C 1.600GHz","PowerPC",1600,"Linux","Linux","None",16,"Power BQC","BlueGene/Q","IBM BlueGene","Custom Interconnect","Custom Interconnect","Eastern Asia","Asia"
"42",2012-11-01,17,-3.297,42,16,"High Energy Accelerator Research Organization /KEK","IBM","HIMAWARI","BlueGene/Q, Power BQC 16C 1.600GHz, Custom Interconnect","Japan",2099.480857,246.56,49152,517648,629146,NA,40,42,"HIMAWARI","BlueGene/Q, Power BQC 16C 1.600GHz, Custom Interconnect","High Energy Accelerator Research Organization /KEK","IBM","Japan",2012,"Research",49152,0,517648,629146,82,0,0,247,2099,"MPP","Power BQC 16C 1.600GHz","PowerPC",1600,"Linux","Linux","None",16,"Power BQC","BlueGene/Q","IBM BlueGene","Custom Interconnect","Custom Interconnect","Eastern Asia","Asia"
"17",2012-11-01,18,-3.318,17,80,"GSIC Center, Tokyo Institute of Technology","NEC/HP","TSUBAME 2.0","HP ProLiant SL390s G7 Xeon 6C X5670, Nvidia GPU, Linux/Windows","Japan",852.2747585,1398.61,73278,1192000,2287630,14,36,4,"TSUBAME 2.0","HP ProLiant SL390s G7 Xeon 6C X5670, Nvidia GPU, Linux/Windows","GSIC Center, Tokyo Institute of Technology","NEC/HP","Japan",2010,"Academic",73278,56994,1192000,2287630,52,2490368,0,1399,852,"Cluster","Xeon X5670 6C 2.930GHz","Intel Nehalem",2930,"Linux","Linux","NVIDIA 2050",6,"Xeon 5600-series (Westmere-EP)","Cluster Platform SL390s G7","HP Cluster Platform 3000SL","Infiniband","Infiniband QDR","Eastern Asia","Asia"
"51",2012-11-01,19,-3.325,51,2,"King Abdulaziz City for Science and Technology","Adtech","SANAM","Adtech ESC4000/FDR G2, Xeon E5-2650 8C 2.000GHz, Infiniband FDR, AMD FirePro S10000","Saudi Arabia",2351.102428,179.15,38400,421200,1098000,41,39,41,"HA-PACS","Xtream-X GreenBlade 8204, Xeon E5-2670 8C 2.600GHz, Infiniband QDR, NVIDIA 2090","Center for Computational Sciences, University of Tsukuba","Appro International / Cray Inc.","Japan",2012,"Academic",20800,16640,421600,778128,54,1954559,0,407,1035,"Cluster","Xeon E5-2670 8C 2.600GHz","Intel SandyBridge",2600,"Linux","Linux","NVIDIA 2090",8,"Intel Xeon E5","Xtream-X GreenBlade 8204","Appro Xtreme-X","Infiniband","Infiniband QDR","Eastern Asia","Asia"
"21",2012-11-01,20,-3.347,21,55,"Information Technology Center, The University of Tokyo","Fujitsu","Oakleaf-FX","PRIMEHPC FX10, SPARC64 IXfx 16C 1.848GHz, Tofu interconnect","Japan",886.3018355,1176.8,76800,1043000,1135411,18,39,18,"Oakleaf-FX","PRIMEHPC FX10, SPARC64 IXfx 16C 1.848GHz, Tofu interconnect","Information Technology Center, The University of Tokyo","Fujitsu","Japan",2012,"Academic",76800,0,1043000,1135411,92,4058880,0,1177,886,"Cluster","SPARC64 IXfx 16C 1.848GHz","Sparc",1848,"Linux","Linux","None",16,"SPARC64 IXfx","PRIMEHPC FX10","Fujitsu Cluster","Custom Interconnect","Tofu interconnect","Eastern Asia","Asia"
