"","date","ExaRank","exascalar","green500rank","top500rank","rmax","power","mflopswatt","computer"
"1",2011-06-01,1,-5.429,499,444,42130,1689.6,24.9348958333333,"Novascale 3045, Itanium2 1.6 GHz, Infiniband"
"2",2011-06-01,2,-5.406,500,252,53000,2481.6,21.3571889103804,"PowerEdge 1850, 3.6 GHz, Infiniband"
"3",2011-06-01,3,-5.321,494,482,40730.6,1112.65,36.6068395272548,"Cluster Platform 3000 BL460c G6, Xeon L5520 2.26 GHz, GigE"
"4",2011-06-01,4,-5.288,497,253,52997.9,1689.6,31.3671283143939,"Cluster Platform 3000 SL160z, Xeon L55xx 2.26 GHz, GigE"
"5",2011-06-01,5,-5.287,498,228,54806,1800,30.4477777777778,"Cluster Platform SL165z G7, Opteron 6174 2.2 Ghz, Infiniband"
"6",2011-06-01,6,-5.278,481,483,40730.6,964.8,42.2166252072968,"Cluster Platform 3000 BL460c G6, Xeon L5520 2.26 GHz, GigE"
"7",2011-06-01,7,-5.263,485,333,48329.2,1296,37.291049382716,"Cluster Platform SL170z, Xeon X5650 2.66 Ghz, GigE"
"8",2011-06-01,8,-5.263,486,334,48329.2,1296,37.291049382716,"Cluster Platform SL170z, Xeon X5650 2.66 Ghz, GigE"
"9",2011-06-01,9,-5.249,474,461,41414.8,910.19,45.5012689658203,"Cluster Platform 3000 BL2x220, E5530 2.4 GHz, GigE"
"10",2011-06-01,10,-5.245,483,356,46920,1152,40.7291666666667,"Cluster Platform SL165z G7, Opteron 6174 2.2 Ghz, Infiniband"
"11",2011-06-01,11,-5.244,470,462,41347.9,892.32,46.3375246548323,"Cluster Platform 3000 BL460c G6, Xeon E5540 2.53 GHz, GigE"
"12",2011-06-01,12,-5.242,465,486,40594.2,855,47.4785964912281,"Cluster Platform 3000 BL460c G6, Xeon E5540 2.53 GHz, GigE"
"13",2011-06-01,13,-5.236,487,254,52922.9,1423.8,37.1701783958421,"Cluster Platform 3000 SL160z, Xeon X5550 2.66 GHz, GigE"
"14",2011-06-01,14,-5.236,488,255,52922.9,1423.8,37.1701783958421,"Cluster Platform 3000 SL160z, Xeon X5550 2.66 GHz, GigE"
"15",2011-06-01,15,-5.236,489,256,52922.9,1423.8,37.1701783958421,"Cluster Platform 3000 SL160z, Xeon X5550 2.66 GHz, GigE"
"16",2011-06-01,16,-5.236,490,257,52922.9,1423.8,37.1701783958421,"Cluster Platform 3000 SL160z, Xeon X5550 2.66 GHz, GigE"
"17",2011-06-01,17,-5.233,466,447,41879.4,882.9,47.4339109751954,"Cluster Platform 3000 BL460c G6, Xeon E5540 2.53 GHz, GigE"
"18",2011-06-01,18,-5.233,467,448,41879.4,882.9,47.4339109751954,"Cluster Platform 3000 BL460c G6, Xeon E5540 2.53 GHz, GigE"
"19",2011-06-01,19,-5.233,468,449,41879.4,882.9,47.4339109751954,"Cluster Platform 3000 BL460c G6, Xeon E5540 2.53 GHz, GigE"
"20",2011-06-01,20,-5.228,457,479,41260.5,842.29,48.9860974248774,"Cluster Platform 3000 BL460c G6, Xeon X5550 2.66 GHz, GigE"
"21",2011-06-01,21,-5.224,491,218,55208.2,1487.7,37.1097667540499,"Cluster Platform 3000 SL160z, Xeon X5650 2.66 GHz, GigE"
"22",2011-06-01,22,-5.224,492,219,55208.2,1487.7,37.1097667540499,"Cluster Platform 3000 SL160z, Xeon X5650 2.66 GHz, GigE"
"23",2011-06-01,23,-5.224,493,220,55208.2,1487.7,37.1097667540499,"Cluster Platform 3000 SL160z, Xeon X5650 2.66 GHz, GigE"
"24",2011-06-01,24,-5.221,455,463,41347,826.34,50.0363046687804,"Cluster Platform 3000 BL460c G1, Xeon L5410 2.33 GHz, GigE"
"25",2011-06-01,25,-5.217,469,394,44958,964.8,46.5982587064677,"Cluster Platform 3000 BL460c G6, Xeon E5540 2.53 GHz, GigE"
"26",2011-06-01,26,-5.216,472,387,45349.5,979.2,46.312806372549,"Cluster Platform 3000 BL460c G6, Xeon E5540 2.53 GHz, GigE"
"27",2011-06-01,27,-5.214,475,351,47301.4,1058.4,44.6914210128496,"Cluster Platform 4000 BL685c G7, Opteron 12C 2.1 Ghz, GigE"
"28",2011-06-01,28,-5.213,479,341,47885.8,1080,44.3387037037037,"Cluster Platform 3000 BL460c G6, Xeon E5530 2.4 GHz, GigE"
"29",2011-06-01,29,-5.208,462,403,44544.4,921.2,48.3547546678246,"Cluster Platform 3000 BL460c G6, Xeon E5520 2.26 GHz, GigE"
"30",2011-06-01,30,-5.207,471,363,46707.8,1008,46.3371031746032,"Cluster Platform 3000 BL460c G6, Xeon E5540 2.53 GHz, GigE"
"31",2011-06-01,31,-5.199,458,384,45532,932.26,48.8404522343552,"Cluster Platform 3000 BL460c G7, Xeon X5650 2.66 Ghz, GigE"
"32",2011-06-01,32,-5.198,453,424,43214.7,838.88,51.5147577722678,"Cluster Platform 4000 BL685c G7, Opteron 8C 2.4 Ghz, GigE"
"33",2011-06-01,33,-5.198,434,480,41199,761.508,54.1018610441387,"Cluster Platform 3000 BL460c G6, Xeon E5670 2.93 GHz, GigE"
"34",2011-06-01,34,-5.195,456,392,45056.8,903.17,49.887396614148,"Cluster Platform 3000 BL460c G1, Xeon L5410 2.33 GHz, GigE"
"35",2011-06-01,35,-5.194,476,306,50716.1,1138.37,44.5515078577264,"Cluster Platform 4000 BL685c G7, Opteron 12C 2.1 Ghz, GigE"
"36",2011-06-01,36,-5.19,477,285,51416.3,1154.83,44.522830200116,"Cluster Platform 4000 BL685c G7, Opteron 12C 2.1 Ghz, GigE"
"37",2011-06-01,37,-5.189,421,481,40759.7,723.63,56.3267139283888,"Cluster Platform 3000 BL2x220, L54xx 2.5 Ghz, GigE"
"38",2011-06-01,38,-5.184,459,342,47874.7,981.83,48.7606815843883,"Cluster Platform 3000 BL460c G7, Xeon X5650 2.66 Ghz, GigE"
"39",2011-06-01,39,-5.184,428,450,41840,751.8,55.6530992285182,"T-Platforms T-Blade 1.1/2.0, Xeon X5670 2,93 GHz, Infiniband"
"40",2011-06-01,40,-5.184,419,484,40610,706.56,57.4756567028986,"Evolocity II (LS Supersystem) Xeon 51xx 3.0 GHz IB"
"41",2011-06-01,41,-5.182,445,414,43752.4,814.58,53.7116059809963,"Cluster Platform 3000 BL460c G1, Xeon L5420 2.5 GHz, GigE"
"42",2011-06-01,42,-5.182,435,419,43447.4,804.19,54.0262873201607,"Cluster Platform 3000 BL460c G7, Xeon X5670 2.93 Ghz, GigE"
"43",2011-06-01,43,-5.177,436,409,44195.5,818.42,54.0010019305491,"Cluster Platform 3000 BL460c G6, Xeon X5570 2.93 GHz, GigE"
"44",2011-06-01,44,-5.173,426,421,43370.1,777.6,55.7743055555556,"Cluster Platform SL170z, Xeon X5650 2.66 Ghz, Infiniband"
"45",2011-06-01,45,-5.173,427,422,43322.8,777.6,55.7134773662552,"Cluster Platform 3000 BL460c, Xeon 54xx 3.0GHz, GigEthernet"
"46",2011-06-01,46,-5.172,478,229,54605.3,1230.1,44.3909438257052,"Cluster Platform 4000 BL685c G7, Opteron 12C 2.1 Ghz, GigE"
"47",2011-06-01,47,-5.172,460,312,49734.3,1021.31,48.6965759661611,"Cluster Platform 3000 BL460c G6, Xeon X5550 2.66 GHz, GigE"
"48",2011-06-01,48,-5.168,480,199,56414.8,1295.8,43.5366568914956,"Cluster Platform 3000 BL460c G7, Xeon E5620 2.4 Ghz, GigE"
"49",2011-06-01,49,-5.164,437,368,46158.6,855.83,53.934309383873,"Cluster Platform 3000 BL460c G6, Xeon X5670 2.93 GHz, GigE"
"50",2011-06-01,50,-5.16,438,362,46735.8,866.85,53.9145180827133,"Cluster Platform 3000 BL460c G6, Xeon E5670 2.93 GHz, GigE"
"51",2011-06-01,51,-5.154,422,375,45819.7,815.4,56.1929114545009,"Cluster Platform 3000 BL460c, Xeon 54xx 3.0GHz, GigEthernet"
"52",2011-06-01,52,-5.154,423,376,45819.7,815.4,56.1929114545009,"Cluster Platform 3000 BL460c, Xeon 54xx 3.0GHz, GigEthernet"
"53",2011-06-01,53,-5.151,482,178,61760,1470,42.0136054421769,"PowerEdge SC1435 Dual core Opteron 2.2 GHz, Infiniband"
"54",2011-06-01,54,-5.15,413,459,41460,660.8,62.7421307506053,"Megware Saxonid 6100, Opteron 12C 2.3 GHz, Infiniband QDR"
"55",2011-06-01,55,-5.149,425,364,46552,829.47,56.1225843008186,"Cluster Platform 3000 BL2x220, L54xx 2.5 Ghz, GigE"
