"","exascalar","green500rank","top500rank","rmax","power","mflopswatt","computer"
"1","-3.466",4,2,1271000,2580,492.64,"Nebulae"
"2","-3.559",7,3,1042000,2345.5,444.25,"BladeCenter QS22/LS21 Cluster, PowerXCell 8i 3.2 Ghz / Opteron DC 1.8 GHz, Voltaire Infiniband"
"3","-3.571",56,1,1759000,6950.6,253.07,"Cray XT5-HE Opteron Six Core 2.6 GHz"
"4","-3.692",19,5,825500,2268,363.98,"Blue Gene/P Solution"
"5","-3.797",11,7,563100,1484.8,379.24,"NUDT TH-1 Tianhe"
"6","-3.823",64,4,831700,3527.58,235.77,"Cray XT5-HE Opteron Six Core 2.6 GHz"
"7","-3.828",57,6,772700,3096,249.58,"SGI Altix ICE 8200EX/8400EX, Xeon HT QC 3.0/Xeon Westmere 2.93 Ghz, Infiniband"
"8","-3.872",19,9,458611,1260,363.98,"Blue Gene/P Solution"
"9","-3.900",19,12,415700,1134,366.58,"Blue Gene/P Solution"
"10","-4.035",112,8,478200,2329.6,205.27,"eServer Blue Gene Solution"
"11","-4.049",96,11,433200,2000,216.6,"SunBlade x6420, Opteron QC 2.3 Ghz, Infiniband"
"12","-4.064",8,19,207300,480,431.88,"Mole-8.5 Cluster Xeon L5520 2.26 Ghz, nVidia Tesla, Infiniband"
"13","-4.096",69,13,350100,1519.38,230.42,"T-Platforms T-Blade2, Xeon 5570 2.93 GHz, Infiniband QDR"
"14","-4.124",52,16,274700,1025.17,267.96,"Cray XT6m 12-Core 2.1 GHz"
"15","-4.129",12,23,190900,504,378.77,"Blue Gene/P Solution"
"16","-4.178",68,17,266300,1150,231.57,"Cray XT4 QuadCore 2.3 GHz"
"17","-4.191",98,15,274800,1275.96,215.37,"Sun Blade x6048,  X6275, IB QDR M9 switch, Sun HPC stack Linux edition"
"18","-4.197",5,35,126500,276,458.33,"BladeCenter QS22/LS21 Cluster, PowerXCell 8i 3.2 Ghz / Opteron DC 1.8 GHz, Infiniband"
"19","-4.224",80,18,237800,1064,223.5,"SGI Altix ICE 8200EX, Xeon E5472 3.0/X5560 2.8 GHz"
"20","-4.250",164,14,274800,1549,177.4,"Sun Constellation, NovaScale R422-E2, Intel Xeon X5570, 2.93 GHz, Sun M9/Mellanox  QDR Infiniband/Partec Parastation"
"21","-4.274",18,38,119310,315,378.76,"Blue Gene/P Solution"
"22","-4.281",70,22,191400,831.23,230.26,"BX900 Xeon X5570 2.93GHz , Infiniband QDR"
"23","-4.287",269,10,433500,4343.73,99.8,"Sun Blade x6275, Xeon X55xx 2.93 Ghz, Infiniband"
"24","-4.312",61,27,168700,713,236.61,"Cray XT5 SixCore 2.4 GHz"
"25","-4.342",12,58,95450,252,378.77,"Blue Gene/P Solution"
"26","-4.357",1,131,44500,57.54,773.38,"QPACE SFB TR Cluster, PowerXCell 8i, 3.2 GHz, 3D-Torus"
"27","-4.357",1,132,44500,57.54,773.38,"QPACE SFB TR Cluster, PowerXCell 8i, 3.2 GHz, 3D-Torus"
"28","-4.357",1,133,44500,57.54,773.38,"QPACE SFB TR Cluster, PowerXCell 8i, 3.2 GHz, 3D-Torus"
"29","-4.369",111,30,160200,774.5,206.84,"SGI Altix ICR 8200 Enh. LX, Xeon X5560 2.8Ghz"
"30","-4.373",122,28,168600,869.4,193.93,"iDataPlex, Xeon E55xx QC 2.53 GHz, GigE"
"31","-4.374",151,24,180600,1000,180.6,"Dawning 5000A, QC Opteron 1.9 Ghz, Infiniband, Windows HPC 2008"
"32","-4.410",5,88,63250,138,458.33,"BladeCenter QS22/LS21 Cluster, PowerXCell 8i 3.2 Ghz / Opteron DC 1.8 GHz, Infiniband"
"33","-4.437",224,20,205000,1580.71,129.69,"Cray XT4 QuadCore 2.1 GHz"
"34","-4.450",59,49,106100,442,240.05,"SGI Altix ICE 8200EX, Xeon quad core 3.0 GHz"
"35","-4.451",173,31,152200,912.8,166.74,"PowerEdge C6100 Cluster, Xeon X5660 2.8 Ghz, Infiniband"
"36","-4.454",71,43,109300,475,230.11,"SGI Altix ICE 8200 Enhanced LX, Xeon Nehalem quad core 2.8 GHz"
"37","-4.459",76,45,108500,477,227.46,"BULL Novascale R422-E2"
"38","-4.469",81,46,107448,482.38,222.75,"Cluster Platform 3000 BL460c/BL2x220, Xeon 54xx 3 Ghz, Infiniband"
"39","-4.489",172,33,132800,786,168.96,"Cluster Platform 3000 BL460c, Xeon 53xx 3GHz, Infiniband"
"40","-4.490",75,56,97940,429.78,227.88,"RIKEN Intergrated Cluster of Clusters, Xeon X5570 2.93GHz, Infiniband DDR"
"41","-4.497",34,76,75120,258.66,290.42,"Cray XT6m 12-Core 2.1 GHz"
"42","-4.515",182,32,133200,861.63,154.59,"SGI Altix ICE 8200, Xeon quad core 3.0 GHz"
"43","-4.524",25,83,66680,222.62,299.52,"iDataPlex, Xeon E55xx QC 2.26 GHz, Infiniband, Windows HPC2008 R2"
"44","-4.542",22,95,54610,158.2,345.2,"Cray XE6 12-core 2.0 GHz"
"45","-4.546",116,60,91290,448,203.77,"eServer Blue Gene Solution"
"46","-4.554",23,97,53180,155.7,341.55,"Cray XT6 12-Core 2.0/2.1/2.2 GHz"
"47","-4.555",12,117,47725,126,378.77,"Blue Gene/P Solution"
"48","-4.555",12,118,47725,126,378.77,"Blue Gene/P Solution"
"49","-4.555",12,119,47725,126,378.77,"Blue Gene/P Solution"
"50","-4.555",12,120,47725,126,378.77,"Blue Gene/P Solution"
"51","-4.557",65,72,77170,332,232.44,"Sun Blade x6048, Xeon X5560 2.8 Ghz, Infiniband QDR"
"52","-4.561",24,103,51880,152,341.32,"Sun Blade X6440, Opteron 2.5 Ghz, Infiniband QDR"
"53","-4.563",204,36,125128,888.82,140.78,"Cray XT4 QuadCore 2.3 GHz"
"54","-4.579",116,67,82161,403.2,203.77,"eServer Blue Gene Solution"
"55","-4.581",316,21,204200,2506,81.48,"Cray XT3/XT4"
"56","-4.608",248,34,131600,1139,115.54,"Appro XtremeServer 1143H, Opteron QC 2.2Ghz, Infiniband"
"57","-4.615",116,80,73032,358.4,203.77,"eServer Blue Gene Solution"
"58","-4.633",184,61,90840,588.9,154.25,"Cray XT5 QC 2.3 GHz"
"59","-4.634",121,81,70000,350.1,199.94,"SGI Altix ICE 8200 Enhanced LX, Xeon X5560 quad core 2.8 GHz"
"60","-4.636",48,110,50790,186,273.06,"NEC HPC 140Rb-1 Cluster, Xeon X5560 2.8Ghz, Infiniband"
"61","-4.646",211,52,102200,776.42,131.63,"Appro Xtreme-X3 Server - Quad Opteron Quad Core 2.3 GHz, Infiniband"
"62","-4.654",32,134,44248.4,149.6,295.78,"BladeCenter HS22 Cluster, Xeon QC X55xx 2.26 GHz, Infiniband"
"63","-4.659",226,51,102800,820,125.37,"DeepComp 7000, HS21/x3950 Cluster, Xeon QC HT 3 GHz/2.93 GHz, Infiniband"
"64","-4.666",246,47,107100,911.36,117.52,"SGI Altix ICE 8200EX, Xeon QC E5472 3.0 GHz/X5570 2.93 GHz"
"65","-4.666",246,48,107100,911.36,117.52,"SGI Altix ICE 8200EX, Xeon QC E5472 3.0 GHz/X5570 2.93 GHz"
"66","-4.666",9,331,30130,72,418.47,"iDataPlex, Xeon X56xx 6C 2.8 GHz, Infiniband"
"67","-4.670",229,53,101741,831.5,122.36,"Hitachi opteron QC 2.3 GHz Myrinet 10G"
"68","-4.674",179,73,76800,481,159.67,"Cray XT5 QC 2.3 GHz"
"69","-4.675",53,125,46040,173.21,265.8,"BladeCenter HS21 Cluster, Xeon QC HT 2.5 GHz, IB, Windows HPC 2008/CentOS"
"70","-4.681",261,42,110600,1020.5,108.38,"Fujitsu FX1, Quadcore  SPARC64 VII  2.52 GHz, Infiniband DDR"
"71","-4.694",363,25,179634,2806.85,64,"Cluster Platform 3000 BL2x220, L54xx 2.5 Ghz, Infiniband"
"72","-4.696",97,98,53050,246,215.65,"Altus 704 Cluster, 6C Opteron 8431 2.4 Ghz, Infiniband"
"73","-4.697",10,381,28624,72,397.56,"iDataPlex, Xeon X56xx 6C 2.66 GHz, Infiniband"
"74","-4.701",193,74,76510,520.8,146.91,"Cray XT5/XT4 QC 2.3 GHz"
"75","-4.703",79,113,49590,220,225.41,"Sun Blade x6048, Xeon X5560 2.93 Ghz, Infiniband QDR"
"76","-4.706",86,112,50370,229.14,219.82,"Intel Cluster, Xeon X5560 2.8 GHz, Xeon X5670 2.93 Ghz, Infiniband"
"77","-4.710",85,114,49590,225,220.4,"Sun Blade x6275, Xeon X55xx 2.8 Ghz, Infiniband QDR - Schroedinger"
"78","-4.721",50,171,38990,144.48,269.86,"iDataPlex, Xeon X55xx QC 2.8 GHz, Infiniband"
"79","-4.721",50,172,38990,144.48,269.86,"iDataPlex, Xeon X55xx QC 2.8 GHz, Infiniband"
"80","-4.724",297,41,115900,1288.69,89.94,"Power 575, p6 4.7 GHz, Infiniband"
"81","-4.728",275,44,108800,1150,94.61,"Bull bullx super-node S6010/S6030"
"82","-4.729",25,236,34274,114.43,299.52,"iDataPlex, Xeon E55xx QC 2.26 GHz, Infiniband"
"83","-4.732",268,54,101213,1009.78,100.23,"Cluster Platform 3000 BL2x220, E54xx 3.0 Ghz, Infiniband"
"84","-4.734",304,39,115900,1329.7,87.16,"Power 575, p6 4.7 GHz, Infiniband"
"85","-4.734",303,40,115900,1329.7,87.16,"Power 575, p6 4.7 GHz, Infiniband"
"86","-4.739",67,137,42690,183.7,232.39,"SGI Altix ICE 8200EX, Xeon X5560 quad core 2.8 GHz"
"87","-4.739",66,138,42690,183.7,232.39,"SGI Altix ICE 8200EX, Xeon X5560 quad core 2.8 GHz"
"88","-4.741",234,66,83080,700,118.69,"Appro Xtreme-X3 Opteron 2.0GHz, Infiniband DDR"
"89","-4.746",186,86,64630,430,150.3,"Sun Blade x6048, Xeon X5560 2.8 Ghz, Infiniband QDR"
