"","top500rank","green500rank.g","site.g","manufacturer.g","computer.g","country.g","mflopswatt.g","power.g","how.g","name.t","computer.t","site.t","manufacturer.t","country.t","year.t","segment.t","totalcores.t","acceleratorcores.t","rmax.t","rpeak.t","effeciency.t","nmax.t","nhalf.t","power.t","mflopswatt.t","architecture.t","processor.t","processortechnology.t","processorspeedmhz.t","oatingsystem.t","osfamily.t","accelerator.t","coressocket.t","processorgeneration.t","systemmodel.t","systemfamily.t","interconnectfamily.t","interconnect.t","region.t","continent.t"
"138",138,150,"Idaho National Laboratory","Appro International","Appro Xtreme-X3 Opteron 2.4GHz, Infiniband QDR","United States",252.86,360,"Derived","Fission","Appro Xtreme-X3 Opteron 2.4GHz, Infiniband QDR","Idaho National Laboratory","Appro International","United States",2011,"Research",12480,0,91030,119808,75.98,1630720,0,NA,NA,"Cluster","Opteron 6136 8C 2.40GHz","AMD x86_64",2400,"Linux","Linux","None",8,"Opteron 8 Core","Appro XtremeServers","Appro XtremeServer","Infiniband","Infiniband QDR","North America","Americas"
"139",139,60,"Government","National Research Center of Parallel Computer Engineering & Technology","Sunway 4000H Cluster, Xeon X56xx (Westmere-EP) 3.06 GHz, Infiniband QDR","China",455.39,199.5,"derived","","Sunway 4000H Cluster, Xeon X56xx (Westmere-EP) 3.06 GHz, Infiniband QDR","Government","National Research Center of Parallel Computer Engineering & Technology","China",2011,"Research",8400,0,90850,102816,88.36,1612800,0,NA,NA,"Cluster","Xeon X5675 6C 3.06GHz","Intel Nehalem",3060,"Linux","Linux","None",6,"Xeon X56xx (Westmere-EP)","Sunway 4000H Cluster","Sunway Cluster","Infiniband","Infiniband QDR","Eastern Asia","Asia"
"140",140,66,"Geoscience","IBM","iDataPlex DX360M3, Xeon X5660 6C 2.80 GHz, Infiniband QDR","United States",421.74,212.62,"Submission","","iDataPlex DX360M3, Xeon X5660 6C 2.80 GHz, Infiniband QDR","Geoscience","IBM","United States",2011,"Industry",9072,0,89670,101606.4,88.25,0,0,212.62,421.74,"Cluster","Xeon X5660 6C 2.80GHz","Intel Nehalem",2800,"Linux","Linux","None",6,"Xeon X56xx (Westmere-EP)","iDataPlex DX360M3","IBM iDataPlex","Infiniband","Infiniband QDR","North America","Americas"
"141",141,468,"IT Service Provider","Hewlett-Packard","Cluster Platform 3000 BL460c G7, Xeon X5670 2.93 GHz, Gigabit Ethernet","United States",52.43,1704.7,"derived","","Cluster Platform 3000 BL460c G7, Xeon X5670 2.93 GHz, Gigabit Ethernet","IT Service Provider","Hewlett-Packard","United States",2011,"Industry",14856,0,89369,174112,51.33,0,0,NA,NA,"Cluster","Xeon X5670 6C 2.93GHz","Intel Nehalem",2930,"Linux","Linux","None",6,"Xeon X56xx (Westmere-EP)","Cluster Platform 3000 BL460c G7","HP Cluster Platform 3000BL","Gigabit Ethernet","Gigabit Ethernet","North America","Americas"
"142",142,138,"University of Alaska - Arctic Region Supercomputing Center","Cray Inc.","Cray XE6 8-core 2.3 GHz","United States",277.29,320.68,"Derived","","Cray XE6 8-core 2.3 GHz","University of Alaska - Arctic Region Supercomputing Center","Cray Inc.","United States",2010,"Academic",11648,0,88920,107161.6,82.98,0,0,NA,NA,"MPP","Opteron 6134 8C 2.30GHz","AMD x86_64",2300,"Linux","Linux","None",8,"Opteron 8 Core","Cray XE6","Cray XE","Custom Interconnect","Custom","North America","Americas"
"143",143,273,"Financial Institution (P)","IBM","BladeCenter HS22 Cluster, Xeon E5540 4C 2.53 GHz, Gigabit Ethernet","United Kingdom",178.23,497.76,"Submission","","BladeCenter HS22 Cluster, Xeon E5540 4C 2.53 GHz, Gigabit Ethernet","Financial Institution (P)","IBM","United Kingdom",2010,"Industry",15744,0,88718,159329.28,55.68,0,0,497.76,178.23,"Cluster","Xeon E5540 4C 2.53GHz","Intel EM64T",2530,"Linux","Linux","None",4,"Xeon E55xx (Nehalem-EP)","BladeCenter HS22 Cluster","IBM BladeCenter","Gigabit Ethernet","Gigabit Ethernet","Northern Europe","Europe"
"144",144,87,"Automotive","IBM","BladeCenter HS22 Cluster, WM Xeon 6-core 2.93Ghz, Infiniband","United States",368.62,240.41,"Submission","","BladeCenter HS22 Cluster, WM Xeon 6-core 2.93Ghz, Infiniband","Automotive","IBM","United States",2011,"Industry",8568,0,88620,100416.96,88.25,0,0,240.41,368.62,"Cluster","Xeon X5670 6C 2.93GHz","Intel Nehalem",2930,"Linux","Linux","None",6,"Xeon X56xx (Westmere-EP)","BladeCenter HS22 Cluster (WM)","IBM BladeCenter","Infiniband","Infiniband","North America","Americas"
"145",145,88,"Automotive","IBM","BladeCenter HS22 Cluster, WM Xeon 6-core 2.93Ghz, Infiniband","United States",368.62,240.41,"Submission","","BladeCenter HS22 Cluster, WM Xeon 6-core 2.93Ghz, Infiniband","Automotive","IBM","United States",2011,"Industry",8568,0,88620,100416.96,88.25,0,0,240.41,368.62,"Cluster","Xeon X5670 6C 2.93GHz","Intel Nehalem",2930,"Linux","Linux","None",6,"Xeon X56xx (Westmere-EP)","BladeCenter HS22 Cluster (WM)","IBM BladeCenter","Infiniband","Infiniband","North America","Americas"
"146",146,381,"Manufacturing Company","Hewlett-Packard","Cluster Platform 3000 BL460c G6, Xeon X5570 2.93 GHz, Infiniband","France",105.36,840.45,"derived","","Cluster Platform 3000 BL460c G6, Xeon X5570 2.93 GHz, Infiniband","Manufacturing Company","Hewlett-Packard","France",2009,"Industry",8576,0,88550,100510.7,88.1,0,0,NA,NA,"Cluster","Xeon X5570 4C 2.93GHz","Intel EM64T",2930,"Linux","Linux","None",4,"Xeon X55xx (Nehalem-EP)","Cluster Platform 3000 BL460c G6","HP Cluster Platform 3000BL","Infiniband","Infinband DDR 4x","Western Europe","Europe"
"147",147,497,"Financial Services Company (G)","Hewlett-Packard","Cluster Platform 3000 DL165, Opteron 2.1 GHz 12C, GigE","United States",33.7,2598,"Derived","","Cluster Platform 3000 DL165, Opteron 2.1 GHz 12C, GigE","Financial Services Company (G)","Hewlett-Packard","United States",2011,"Industry",20784,0,87542.8,174585.6,50.14,0,0,NA,NA,"Cluster","Opteron 6172 12C 2.10GHz","AMD x86_64",2100,"Linux","Linux","None",12,"Opteron 12 Core","HP DL165 Cluster","HP Cluster Platform 3000","Gigabit Ethernet","Gigabit Ethernet","North America","Americas"
