"","exascalar","green500rank","top500rank","rmax","power","mflopswatt","computer"
"1","-2.044",49,1,33862700,17808,1901.54,"TH-IVB-FEP Cluster, Intel Xeon E5-2692 12C 2.200GHz, TH Express-2, Intel Xeon Phi 31S1P"
"2","-2.208",43,2,17590000,8208,2143.03,"Cray XK7 , Opteron 6274 16C 2.200GHz, Cray Gemini interconnect, NVIDIA K20x"
"3","-2.211",38,3,17173224,7890,2176.58,"BlueGene/Q, Power BQC 16C 1.60 GHz, Custom"
"4","-2.424",37,5,8586612,3945,2176.58,"BlueGene/Q, Power BQC 16C 1.60GHz, Custom"
"5","-2.438",5,6,5587000,1753.66,3185.91,"Cray XC30, Xeon E5-2670 8C 2.600GHz, Aries interconnect , NVIDIA K20x"
"6","-2.589",29,8,5008857,2301,2176.82,"BlueGene/Q, Power BQC 16C 1.600GHz, Custom Interconnect"
"7","-2.636",27,9,4293306,1972,2177.13,"BlueGene/Q, Power BQC 16C 1.600GHz, Custom Interconnect"
"8","-2.657",125,4,10510000,12659.89,830.18,"K computer, SPARC64 VIIIfx 2.0GHz, Tofu interconnect"
"9","-2.667",9,11,3003000,1067.49,2813.14,"iDataPlex DX360M4, Intel Xeon E5-2680v2 10C 2.8GHz, Infiniband FDR, NVIDIA K20x"
"10","-2.681",8,13,2739000,927.86,2951.94,"Cluster Platform SL390s G7, Xeon X5670 6C 2.93GHz, Infiniband QDR, NVIDIA K20x"
"11","-2.776",60,7,5168110,4510,1145.92,"PowerEdge C8220, Xeon E5-2680 8C 2.700GHz, Infiniband FDR, Intel Xeon Phi SE10P"
"12","-2.881",52,15,2345780,1307.6,1793.96,"Atipa Visione IF442 Blade Server, Xeon E5-2670 8C 2.600GHz, Infiniband FDR, Intel Xeon Phi 5110P"
"13","-2.905",39,17,1788878,821.88,2176.57,"BlueGene/Q, Power BQC 16C 1.60GHz, Custom"
"14","-2.974",26,23,1431102,657,2178.24,"BlueGene/Q, Power BQC 16C 1.60GHz, Custom"
"15","-3.047",121,12,2897000,3422.67,846.42,"iDataPlex DX360M4, Xeon E5-2680 8C 2.70GHz, Infiniband FDR"
"16","-3.062",31,33,1073327,493.12,2176.6,"BlueGene/Q, Power BQC 16C 1.60GHz, Custom"
"17","-3.098",72,16,2098090,2118,990.6,"SGI ICE X, Xeon E5-2670 8C 2.600GHz, Infiniband FDR"
"18","-3.118",30,43,894439,410.9,2176.78,"BlueGene/Q, Power BQC 16C 1.60GHz, Custom"
"19","-3.130",48,39,976763,510,1915.22,"Cluster Platform SL250s Gen8, Xeon E5-2670 8C 2.600GHz, Infiniband FDR, Intel Xeon Phi 5110P"
"20","-3.131",15,58,709700,269.94,2629.1,"iDataPlex DX360M4, Intel Xeon E5-2680v2 10C 2.800GHz, Infiniband, NVIDIA K20x"
"21","-3.173",187,14,2566000,4040,635.15,"NUDT YH MPP, Xeon X5670 6C 2.93 GHz, NVIDIA 2050"
"22","-3.186",205,10,3143520,6327.55,496.8,"Cray XC30, Intel Xeon E5-2697v2 12C 2.7GHz, Aries interconnect"
"23","-3.186",25,54,715551,328,2181.56,"BlueGene/Q, Power BQC 16C 1.600GHz, Custom Interconnect"
