"","date","ExaRank","exascalar","green500rank","top500rank","rmax","power","mflopswatt","computer"
"1",2011-11-01,1,-5.406,500,445,53000,2481.6,21.36,"PowerEdge 1850, 3.6 GHz, Infiniband"
"2",2011-11-01,2,-5.288,498,446,52997.9,1689.6,31.37,"Cluster Platform 3000 SL160z, Xeon L55xx 2.26 GHz, GigE"
"3",2011-11-01,3,-5.287,499,411,54806,1800,30.45,"Cluster Platform SL165z G7, Opteron 6174 2.2 Ghz, Infiniband"
"4",2011-11-01,4,-5.236,489,448,52922.9,1423.8,37.17,"Cluster Platform 3000 SL160z, Xeon X5550 2.66 GHz, GigE"
"5",2011-11-01,5,-5.236,490,449,52922.9,1423.8,37.17,"Cluster Platform 3000 SL160z, Xeon X5550 2.66 GHz, GigE"
"6",2011-11-01,6,-5.236,491,450,52922.9,1423.8,37.17,"Cluster Platform 3000 SL160z, Xeon X5550 2.66 GHz, GigE"
"7",2011-11-01,7,-5.236,492,451,52922.9,1423.8,37.17,"Cluster Platform 3000 SL160z, Xeon X5550 2.66 GHz, GigE"
"8",2011-11-01,8,-5.224,493,398,55208.2,1487.7,37.11,"Cluster Platform 3000 SL160z, Xeon X5650 2.66 GHz, GigE"
"9",2011-11-01,9,-5.224,494,399,55208.2,1487.7,37.11,"Cluster Platform 3000 SL160z, Xeon X5650 2.66 GHz, GigE"
"10",2011-11-01,10,-5.224,495,400,55208.2,1487.7,37.11,"Cluster Platform 3000 SL160z, Xeon X5650 2.66 GHz, GigE"
"11",2011-11-01,11,-5.19,484,485,51416.3,1154.83,44.52,"Cluster Platform 4000 BL685c G7, Opteron 12C 2.1 Ghz, GigE"
"12",2011-11-01,12,-5.172,485,412,54605.3,1230.1,44.39,"Cluster Platform 4000 BL685c G7, Opteron 12C 2.1 Ghz, GigE"
"13",2011-11-01,13,-5.168,486,369,56414.8,1295.8,43.54,"Cluster Platform 3000 BL460c G7, Xeon E5620 2.4 Ghz, GigE"
"14",2011-11-01,14,-5.154,472,447,52987,1090.61,48.58,"Cluster Platform 3000 BL460c G6, Xeon X5650 6C 2.66 GHz, Gigabit Ethernet"
"15",2011-11-01,15,-5.151,487,326,61760,1470,42.01,"PowerEdge SC1435 Dual core Opteron 2.2 GHz, Infiniband"
"16",2011-11-01,16,-5.147,473,418,54139,1115.41,48.54,"Cluster Platform 3000 BL460c G7, Xeon X5650 6C 2.66 GHz, Gigabit Ethernet"
"17",2011-11-01,17,-5.147,474,419,54139,1115.41,48.54,"Cluster Platform 3000 BL460c G7, Xeon X5650 6C 2.66 GHz, Gigabit Ethernet"
"18",2011-11-01,18,-5.139,475,387,55722.1,1149.14,48.49,"Cluster Platform 3000 BL460c G7, Xeon X5650 2.66 Ghz, GigE"
"19",2011-11-01,19,-5.134,467,474,52192.1,993,52.56,"Cluster Platform 3000 DL165, Opteron 2.5 GHz, 10GigE"
"20",2011-11-01,20,-5.132,453,486,51409.2,956.36,53.76,"Cluster Platform 3000 BL460c G6, Xeon E5670 2.93 GHz, GigE"
"21",2011-11-01,21,-5.132,454,487,51409.2,956.36,53.76,"Cluster Platform 3000 BL460c G6, Xeon E5670 2.93 GHz, GigE"
"22",2011-11-01,22,-5.132,455,488,51409.2,956.36,53.76,"Cluster Platform 3000 BL460c G6, Xeon E5670 2.93 GHz, GigE"
